Species Family,Species,ID,Date,Time,User,City,District,Place,Altitude,Latitude,Longitude,Description
晏蜓科,碧翠晏蜓,71780,2020-11-01,15:01:17,ysc3679,嘉義縣,東石鄉,東石農場,1,23.49347666096087,120.135498046875,
晏蜓科,碧翠晏蜓,71719,2020-10-29,10:00:00,allenhu1999925,宜蘭縣,頭城鎮,頭城鎮復興路37巷29號,0,,,
晏蜓科,碧翠晏蜓,65979,2020-07-10,20:15:00,fisher1952,苗栗縣,三義鄉,忘憂谷,368,24.389559859337208,120.7656787539978,
晏蜓科,碧翠晏蜓,64993,2020-06-27,17:00:00,Leo,屏東縣,牡丹鄉,東源水上草原,291,22.20168000536358,120.85148692131042,
晏蜓科,碧翠晏蜓,62026,2020-04-16,17:28:00,skink,基隆市,信義區,天外天復育公園,112,25.121584789135838,121.7788016796112,
晏蜓科,碧翠晏蜓,58187,2019-12-08,10:15:00,3aolyhoo,台北市,北投區,關渡平原,,,,
晏蜓科,碧翠晏蜓,57784,2019-11-20,08:05:00,vansion,台北市,松山區,松山國小,12,25.050963171637957,121.57865524291992,
晏蜓科,碧翠晏蜓,57597,2019-11-16,10:15:00,3aolyhoo,台北市,北投區,關渡平原,,,,
晏蜓科,碧翠晏蜓,57564,2019-11-13,10:18:00,skink,新竹縣,橫山鄉,豐田村油羅,226,24.708703746594985,121.16616368293762,
晏蜓科,碧翠晏蜓,55787,2019-10-15,12:48:54,王振芳,雲林縣,四湖鄉,三條崙海水浴場,0,23.661054127320007,120.15275001525879,
晏蜓科,碧翠晏蜓,65980,2019-07-26,20:29:00,fisher1952,南投縣,集集鎮,特生中心,251,23.82663089964936,120.80230593681334,
晏蜓科,碧翠晏蜓,50128,2019-05-25,11:46:00,penshing,金門縣,金湖鎮,青年農莊,,,,
晏蜓科,碧翠晏蜓,46604,2019-03-28,11:00:00,roach,桃園市,蘆竹區,山鼻子,,,,
晏蜓科,碧翠晏蜓,45449,2019-03-12,09:30:00,neo,宜蘭縣,大同鄉,前候橋,142,24.681897997344404,121.61807774274769,
晏蜓科,碧翠晏蜓,45150,2019-03-01,16:28:00,skink,宜蘭縣,宜蘭市,陽明大學附設醫院蘭陽院區大門水池,8,24.750078299912683,121.75851076841354,
晏蜓科,碧翠晏蜓,42568,2018-12-16,09:20:00,3aolyhoo,台北市,北投區,關渡平原,,,,
晏蜓科,碧翠晏蜓,42537,2018-12-10,15:00:00,3aolyhoo,台北市,北投區,關渡平原,,,,
晏蜓科,碧翠晏蜓,42371,2018-12-03,15:00:00,3aolyhoo,台北市,北投區,關渡平原,,,,
晏蜓科,碧翠晏蜓,42317,2018-12-01,09:00:00,3aolyhoo,台北市,北投區,關渡平原,,,,
晏蜓科,碧翠晏蜓,42340,2018-12-01,12:10:00,skink,新竹縣,橫山鄉,豐田村油羅,226,24.708703746594985,121.16616368293762,
晏蜓科,碧翠晏蜓,41813,2018-11-15,07:00:00,3aolyhoo,台北市,北投區,關渡平原,,,,
晏蜓科,碧翠晏蜓,41732,2018-11-11,07:41:22,Tyus Ma,台北市,北投區,皇冠大車隊,3,25.126769619623794,121.48206934662267,
晏蜓科,碧翠晏蜓,41739,2018-11-11,08:00:00,ysc3679,新北市,貢寮區,田寮洋,352,24.98605802116759,121.8988037109375,
晏蜓科,碧翠晏蜓,41577,2018-11-06,15:00:00,3aolyhoo,台北市,北投區,關渡平原,0,,,
晏蜓科,碧翠晏蜓,41487,2018-11-03,08:00:00,3aolyhoo,台北市,北投區,關渡平原,,,,
晏蜓科,碧翠晏蜓,41374,2018-10-29,15:00:00,3aolyhoo,台北市,北投區,關渡平原,,,,
晏蜓科,碧翠晏蜓,41199,2018-10-28,10:00:00,3aolyhoo,台北市,北投區,關渡平原,,,,
晏蜓科,碧翠晏蜓,41136,2018-10-26,07:00:00,3aolyhoo,台北市,北投區,關渡平原,,,,
晏蜓科,碧翠晏蜓,41173,2018-10-26,15:30:00,3aolyhoo,台北市,北投區,關渡平原,,,,
晏蜓科,碧翠晏蜓,41192,2018-10-26,14:27:00,趙偉凱,新北市,貢寮區,田寮洋,8,25.018650995875994,121.92417204380035,
晏蜓科,碧翠晏蜓,41093,2018-10-25,07:15:00,3aolyhoo,台北市,北投區,關渡平原,,,,
晏蜓科,碧翠晏蜓,41296,2018-10-22,10:08:00,skink,宜蘭縣,宜蘭市,宜蘭科技園區,3,24.72950765229441,121.7451220750263,
晏蜓科,碧翠晏蜓,41275,2018-10-21,16:55:00,skink,新竹縣,竹東鎮,竹東生態河濱公園,106,24.746680674532257,121.08767339097528,
晏蜓科,碧翠晏蜓,40358,2018-10-05,09:00:00,簡庭威,基隆市,安樂區,內寮濕地公園,67,25.157404708460007,121.69341087341309,
晏蜓科,碧翠晏蜓,40361,2018-10-05,09:36:00,江上飄,基隆市,安樂區,內寮濕地公園,66,25.155632413542175,121.69441938400268,
晏蜓科,碧翠晏蜓,40536,2018-10-05,10:25:00,趙偉凱,基隆市,安樂區,內寮濕地公園,62,25.15635104581758,121.69422626495361,
晏蜓科,碧翠晏蜓,46668,2018-07-28,20:19:00,philliplan,台南市,麻豆區,麻豆、官田區交界,,,,
晏蜓科,碧翠晏蜓,34231,2018-05-12,09:52:00,天空遊民,新竹縣,關西鎮,牛欄河親水公園,144,24.79182582059713,121.18066045310377,
晏蜓科,碧翠晏蜓,33687,2018-04-27,14:10:00,江上飄,新北市,鶯歌區,後村堰,,,,
晏蜓科,碧翠晏蜓,33441,2018-04-22,11:09:00,江上飄,新北市,鶯歌區,後村堰,,,,
晏蜓科,碧翠晏蜓,33442,2018-04-22,13:05:00,江上飄,新北市,樹林區,河濱公園,,,,
晏蜓科,碧翠晏蜓,33406,2018-04-21,08:42:00,江上飄,新北市,鶯歌區,後村堰,,,,
晏蜓科,碧翠晏蜓,33407,2018-04-21,11:05:00,江上飄,新北市,樹林區,河濱公園,,,,
晏蜓科,碧翠晏蜓,33021,2018-04-08,12:06:00,江上飄,新北市,鶯歌區,後村堰,,,,
晏蜓科,碧翠晏蜓,32697,2018-03-24,12:06:00,江上飄,新北市,鶯歌區,後村堰,,,,
晏蜓科,碧翠晏蜓,32698,2018-03-24,12:39:00,江上飄,新北市,樹林區,樹林河濱公園,18,24.966409384277845,121.38911247338001,
晏蜓科,碧翠晏蜓,32682,2018-03-23,09:05:00,江上飄,新北市,樹林區,樹林河濱公園,18,24.966409384277845,121.38911247338001,
晏蜓科,碧翠晏蜓,32683,2018-03-23,12:18:00,江上飄,新北市,鶯歌區,後村堰,,,,
晏蜓科,碧翠晏蜓,30653,2017-11-28,08:20:00,hsulan,台北市,萬華區,華中河濱公園,3,25.014431509761042,121.49222373962402,
晏蜓科,碧翠晏蜓,30654,2017-11-17,08:20:00,hsulan,台北市,萬華區,華中河濱公園,3,25.014431509761042,121.49222373962402,
晏蜓科,碧翠晏蜓,30655,2017-11-15,08:20:00,hsulan,台北市,萬華區,華中河濱公園,3,25.014431509761042,121.49222373962402,
晏蜓科,碧翠晏蜓,30042,2017-11-10,09:42:00,cclin,新北市,貢寮區,田寮洋,9,25.017581554589093,121.9242525100708,
晏蜓科,碧翠晏蜓,30656,2017-11-10,08:20:00,hsulan,台北市,萬華區,華中河濱公園,3,25.014431509761042,121.49222373962402,
晏蜓科,碧翠晏蜓,29605,2017-10-26,17:05:00,skink,台北市,北投區,關渡平原大業路517巷,5,25.127521831851972,121.48828625679016,
晏蜓科,碧翠晏蜓,28509,2017-10-08,12:00:00,ysc3679,苗栗縣,竹南鎮,中港溪口,5,24.675312450975355,120.83431005477905,
晏蜓科,碧翠晏蜓,25408,2017-08-08,18:15:00,joanne,台北市,士林區,芝山岩,24,25.102453219601518,121.53183460235596,
晏蜓科,碧翠晏蜓,25279,2017-08-06,18:25:00,skink,宜蘭縣,員山鄉,員山公園,20,24.745074765745002,121.72124708241427,
晏蜓科,碧翠晏蜓,25106,2017-07-08,16:00:00,allenhu1999925,宜蘭縣,羅東鎮,羅東運動公園,12,24.683170031294733,121.75325632095337,
晏蜓科,碧翠晏蜓,32323,2017-06-27,16:52:00,fisher1952,台南市,新化區,崎埤,31,23.0265812833919,120.33172159455694,
晏蜓科,碧翠晏蜓,22530,2017-06-07,07:08:00,江上飄,新北市,樹林區,樹林河濱公園,18,24.966409384277845,121.38911247338001,
晏蜓科,碧翠晏蜓,22180,2017-05-29,10:00:00,Leo,新北市,樹林區,柑園生態河濱公園,20,24.966811273164314,121.39017105102539,
晏蜓科,碧翠晏蜓,22196,2017-05-29,10:48:34,fernslu,新北市,鶯歌區,樹林河濱公園,25,24.96741429934073,121.38922691345215,
