Species Family,Species,ID,Date,Time,User,City,Dictrict,Place,Altitude,Latitude,Longitude,Description
晏蜓科,李斯晏蜓,66076,2020/7/13,09:00:00,allenhu1999925,宜蘭縣,冬山鄉,佛光慈惠寺,,,,
晏蜓科,李斯晏蜓,66301,2020/7/13,10:06:00,yosi,台北市,士林區,帕米爾公園,0,,,
晏蜓科,李斯晏蜓,56670,2019/10/25,15:21:00,王振芳,南投縣,鹿谷鄉,長源圳古道,658,23.71764495,120.772469,
晏蜓科,李斯晏蜓,55560,2019/10/11,10:30:00,Tyus Ma,屏東縣,瑪家鄉,瑪筏道路,793,22.6687078,120.6915411,
晏蜓科,李斯晏蜓,54934,2019/10/2,14:00:00,macintosh,南投縣,鹿谷鄉,長源圳生態步道,646,23.71809679,120.7716751,
晏蜓科,李斯晏蜓,54581,2019/9/24,10:00:00,jerry9207,新竹縣,尖石鄉,水田林道,0,,,
晏蜓科,李斯晏蜓,54606,2019/9/24,10:00:00,Leo,南投縣,埔里鎮,觀音瀑布,666,23.99229069,121.0353041,
晏蜓科,李斯晏蜓,54175,2019/9/17,12:00:00,jerry9207,新竹縣,五峰鄉,大鹿林道西線,2095,24.49777115,121.1096549,
晏蜓科,李斯晏蜓,54524,2019/9/17,15:00:00,regina,南投縣,竹山鎮,杉林溪自然教育中心,,,,
晏蜓科,李斯晏蜓,54065,2019/9/16,09:20:00,skink,宜蘭縣,員山鄉,福山植物園,662,24.76006479,121.583443,
晏蜓科,李斯晏蜓,54087,2019/9/16,09:25:00,skink,新北市,烏來區,福山植物園福山池,666,24.75963369,121.5840948,
晏蜓科,李斯晏蜓,53534,2019/9/2,15:00:00,3aolyhoo,基隆市,七堵區,天使宮,,,,
晏蜓科,李斯晏蜓,53450,2019/9/1,09:33:00,cclin,新竹縣,尖石鄉,水田林道,659,24.74983228,121.2702227,
晏蜓科,李斯晏蜓,51536,2019/7/21,10:40:00,3aolyhoo,台北市,士林區,帕米爾公園,,,,
晏蜓科,李斯晏蜓,51680,2019/7/21,15:00:00,skink,屏東縣,獅子鄉,內文三號橋,317,22.22336293,120.8551669,
晏蜓科,李斯晏蜓,51256,2019/7/14,09:00:00,yorklin,基隆市,七堵區,天使宮,,,,
晏蜓科,李斯晏蜓,50813,2019/7/3,09:00:00,allenhu1999925,宜蘭縣,員山鄉,阿玉林道至草埤,,,,
晏蜓科,李斯晏蜓,50509,2019/6/28,10:30:00,allenhu1999925,宜蘭縣,大同鄉,北橫63.5k,,,,
晏蜓科,李斯晏蜓,50235,2019/6/21,10:54:00,skink,新北市,三峽區,滿月圓森林遊樂區處女瀑布,601,24.81938506,121.4535356,
晏蜓科,李斯晏蜓,44373,2019/2/3,12:00:00,簡庭威,南投縣,鹿谷鄉,銀杏森林,1471,23.6797436,120.7623196,
晏蜓科,李斯晏蜓,40716,2018/10/7,16:10:00,skink,新竹縣,五峰鄉,大鹿林道9公里攔砂壩,1142,24.52939929,121.0945702,
晏蜓科,李斯晏蜓,40078,2018/9/29,09:15:00,skink,南投縣,竹山鎮,杉林溪森林生態渡假園區松瀧部落,1720,23.62011569,120.8016638,
晏蜓科,李斯晏蜓,40086,2018/9/29,11:40:00,skink,南投縣,竹山鎮,忘憂森林,1974,23.64881374,120.7944005,
晏蜓科,李斯晏蜓,40065,2018/9/28,10:30:00,skink,南投縣,竹山鎮,杉林步道入口,1565,23.62477081,120.7122419,
晏蜓科,李斯晏蜓,40068,2018/9/28,10:50:00,skink,雲林縣,古坑鄉,五元兩角,1566,23.62363846,120.7142643,
晏蜓科,李斯晏蜓,39765,2018/9/21,15:10:00,3aolyhoo,台北市,士林區,帕米爾公園,,,,
晏蜓科,李斯晏蜓,39176,2018/9/6,15:20:00,3aolyhoo,台北市,士林區,帕米爾公園,,,,
晏蜓科,李斯晏蜓,39070,2018/9/3,15:40:00,3aolyhoo,新北市,新店區,平廣溪上游,,,,
晏蜓科,李斯晏蜓,38924,2018/8/30,09:34:00,江上飄,新北市,三峽區,滿月圓森林遊樂區,345,24.83683416,121.4461899,
晏蜓科,李斯晏蜓,38445,2018/8/16,08:03:00,江上飄,新北市,三峽區,滿月圓森林遊樂區,345,24.83683416,121.4461899,
晏蜓科,李斯晏蜓,38446,2018/8/16,15:20:00,3aolyhoo,台北市,士林區,帕米爾公園,,,,
晏蜓科,李斯晏蜓,38179,2018/8/11,16:00:00,Leo,台北市,士林區,帕米爾公園,352,25.12203163,121.5937829,
晏蜓科,李斯晏蜓,38171,2018/8/10,14:40:41,Tyus Ma,台北市,士林區,帕米爾公園,463,25.12255284,121.5967011,
晏蜓科,李斯晏蜓,38175,2018/8/10,15:20:00,3aolyhoo,台北市,士林區,帕米爾公園,,,,
晏蜓科,李斯晏蜓,38106,2018/8/9,15:10:00,3aolyhoo,台北市,士林區,帕米爾公園,,,,
晏蜓科,李斯晏蜓,38041,2018/8/8,09:06:00,江上飄,新北市,三峽區,滿月圓森林遊樂區,345,24.83683416,121.4461899,
晏蜓科,李斯晏蜓,38559,2018/8/8,10:30:00,liou5417,新北市,三峽區,滿月圓,,,,
晏蜓科,李斯晏蜓,37786,2018/8/7,16:00:00,allenhu1999925,宜蘭縣,礁溪鄉,櫻花陵園營地,733,24.82360636,121.7033887,
晏蜓科,李斯晏蜓,37730,2018/8/5,10:00:00,Leo,南投縣,埔里鎮,南山溪,944,24.03047319,121.0790541,
晏蜓科,李斯晏蜓,37705,2018/8/3,15:00:00,3aolyhoo,新北市,新店區,平廣溪上游,,,,
晏蜓科,李斯晏蜓,37690,2018/8/2,15:05:00,3aolyhoo,新北市,新店區,平廣路一段,,,,
晏蜓科,李斯晏蜓,37662,2018/8/1,08:30:57,Tyus Ma,新北市,三峽區,滿月圓,507,24.82134388,121.4496303,
晏蜓科,李斯晏蜓,37669,2018/8/1,15:30:00,3aolyhoo,新北市,新店區,平廣路二段,,,,
晏蜓科,李斯晏蜓,37671,2018/8/1,08:42:00,江上飄,新北市,三峽區,滿月圓森林遊樂區,345,24.83683416,121.4461899,
晏蜓科,李斯晏蜓,37530,2018/7/30,15:10:00,3aolyhoo,新北市,平溪區,薯榔尖,,,,
晏蜓科,李斯晏蜓,37322,2018/7/23,11:00:00,allenhu1999925,宜蘭縣,員山鄉,阿玉林道至草埤,,,,
晏蜓科,李斯晏蜓,37107,2018/7/17,09:08:00,江上飄,新北市,三峽區,滿月圓森林遊樂區,345,24.83683416,121.4461899,
晏蜓科,李斯晏蜓,34095,2018/5/8,10:00:00,allenhu1999925,宜蘭縣,員山鄉,福山植物園,644,24.7564186,121.5946198,
晏蜓科,李斯晏蜓,32291,2018/3/11,14:00:00,allenhu1999925,宜蘭縣,礁溪鄉,林尾路,510,24.82085287,121.7214485,
晏蜓科,李斯晏蜓,30687,2017/11/29,08:30:00,Leo,宜蘭縣,大同鄉,明池山莊,1188,24.65377273,121.4703771,
晏蜓科,李斯晏蜓,29800,2017/11/3,09:24:00,cclin,桃園市,復興區,東眼山森林遊樂區,912,24.82824134,121.4098263,
晏蜓科,李斯晏蜓,29785,2017/11/2,11:08:00,江上飄,新北市,三峽區,滿月圓森林遊樂區門口,345,24.83683416,121.4461899,
晏蜓科,李斯晏蜓,29218,2017/10/20,13:10:00,skink,南投縣,竹山鎮,八卦茶園回音亭,1213,23.6627527,120.743469,
晏蜓科,李斯晏蜓,28588,2017/10/10,09:00:00,allenhu1999925,新北市,坪林區,金瓜寮溪六號橋,381,24.88563842,121.660881,
晏蜓科,李斯晏蜓,27964,2017/10/1,10:00:00,Leo,宜蘭縣,大同鄉,明池山莊,1188,24.65377273,121.4703771,
晏蜓科,李斯晏蜓,32357,2017/9/30,09:52:00,fisher1952,宜蘭縣,員山鄉,草埤,755,24.77548383,121.6165709,
晏蜓科,李斯晏蜓,27731,2017/9/26,16:00:00,Leo,宜蘭縣,大同鄉,明池駐在所,1158,24.6504496,121.473459,
晏蜓科,李斯晏蜓,29175,2017/9/24,10:30:00,hsulan,宜蘭縣,大同鄉,明池,0,,,
晏蜓科,李斯晏蜓,27533,2017/9/23,14:00:00,fernslu,新北市,烏來區, 烘爐地山桶後溪源頭,1031,24.83907406,121.7026842,
晏蜓科,李斯晏蜓,26834,2017/9/8,08:50:00,趙偉凱,宜蘭縣,員山鄉,阿玉山林道到草埤（來回）,,,,
晏蜓科,李斯晏蜓,26697,2017/9/5,15:30:00,Leo,台北市,士林區,帕米爾公園,352,25.12203163,121.5937829,
晏蜓科,李斯晏蜓,27546,2017/9/5,17:00:00,fernslu,台北市,士林區,帕米爾公園,377,25.12099495,121.59382,
晏蜓科,李斯晏蜓,26632,2017/9/3,10:20:21,Tyus Ma,宜蘭縣,大同鄉,台7線80.6K,714,24.60753568,121.4919019,
晏蜓科,李斯晏蜓,29447,2017/8/31,09:06:00,江上飄,新北市,三峽區,滿月圓森林遊樂區,345,24.83683416,121.4461899,
晏蜓科,李斯晏蜓,29440,2017/8/29,09:00:00,江上飄,新北市,三峽區,滿月圓森林遊樂區,345,24.83683416,121.4461899,
晏蜓科,李斯晏蜓,26398,2017/8/26,15:00:47,Tyus Ma,台北市,士林區,帕米爾公園,378,25.1218923,121.5944481,
晏蜓科,李斯晏蜓,26115,2017/8/22,11:40:00,skink,宜蘭縣,冬山鄉,佛光慈惠寺,54,24.6155894,121.8035987,
晏蜓科,李斯晏蜓,26014,2017/8/21,07:00:00,allenhu1999925,宜蘭縣,員山鄉,苦力寮,519,24.75780207,121.6227293,
晏蜓科,李斯晏蜓,26019,2017/8/21,08:00:00,allenhu1999925,宜蘭縣,員山鄉,阿玉林道入口,583,24.75782156,121.6137385,
晏蜓科,李斯晏蜓,26030,2017/8/21,13:30:00,allenhu1999925,宜蘭縣,員山鄉,福山植物園,644,24.7564186,121.5946198,
晏蜓科,李斯晏蜓,25953,2017/8/20,09:15:00,Leo,宜蘭縣,大同鄉,北橫64k,1114,24.64611272,121.4621374,
晏蜓科,李斯晏蜓,29974,2017/8/19,10:30:00,hsulan,新北市,三峽區,滿月圓,0,,,
晏蜓科,李斯晏蜓,25899,2017/8/18,11:00:00,Leo,宜蘭縣,大同鄉,北橫64k,1114,24.64611272,121.4621374,
晏蜓科,李斯晏蜓,25753,2017/8/14,15:05:03,Tyus Ma,台北市,士林區,帕米爾公園,477,25.12424305,121.5956712,
晏蜓科,李斯晏蜓,25777,2017/8/14,15:30:00,allenhu1999925,台北市,士林區,帕米爾公園,357,25.12123509,121.5935898,
晏蜓科,李斯晏蜓,26245,2017/8/14,16:50:00,skink,基隆市,暖暖區,暖東峽谷,151,25.07633597,121.7544848,
晏蜓科,李斯晏蜓,26235,2017/8/13,15:40:00,skink,新北市,石門區,阿里磅溪,75,25.26829421,121.5850067,
晏蜓科,李斯晏蜓,25567,2017/8/12,09:23:18,Tyus Ma,宜蘭縣,大同鄉,台7線64K攔砂壩,1103,24.64381532,121.4591575,
晏蜓科,李斯晏蜓,25618,2017/8/12,09:30:00,趙偉凱,宜蘭縣,大同鄉,北橫64k,,,,
晏蜓科,李斯晏蜓,25648,2017/8/12,18:00:00,allenhu1999925,桃園市,復興區,北橫57k,0,,,
晏蜓科,李斯晏蜓,29977,2017/8/12,10:30:00,hsulan,宜蘭縣,大同鄉,太平山,0,,,
晏蜓科,李斯晏蜓,25416,2017/8/9,09:10:00,Leo,宜蘭縣,大同鄉,明池山莊,1188,24.65377273,121.4703771,
晏蜓科,李斯晏蜓,25379,2017/8/8,11:00:00,neo,宜蘭縣,員山鄉,雙溪口,494,24.75447,121.62322,
晏蜓科,李斯晏蜓,25127,2017/8/6,10:09:00,江上飄,新北市,三峽區,組合山（腰）,,,,
晏蜓科,李斯晏蜓,25229,2017/8/6,17:30:00,fernslu,宜蘭縣,大同鄉,明池,1172,24.65331639,121.4699292,
晏蜓科,李斯晏蜓,25077,2017/8/5,11:07:00,mom460209,新北市,三峽區,滿月圓,,,,
晏蜓科,李斯晏蜓,25074,2017/8/4,09:00:00,lily,桃園市,復興區,東眼山,,,,
晏蜓科,李斯晏蜓,25030,2017/8/2,08:00:00,skink,桃園市,復興區,東眼山國家森林遊樂區,891,24.83114298,121.4085388,
晏蜓科,李斯晏蜓,24984,2017/8/1,10:28:00,mom460209,台北市,士林區,帕米爾公園,,,,
晏蜓科,李斯晏蜓,25018,2017/8/1,14:35:00,skink,桃園市,復興區,東眼山林道1.5公里,842,24.83874244,121.4077985,
晏蜓科,李斯晏蜓,25020,2017/8/1,14:50:00,skink,桃園市,復興區,東眼山林道1.7公里溪溝,870,24.836542,121.4102018,
晏蜓科,李斯晏蜓,25024,2017/8/1,15:00:00,skink,桃園市,復興區,東眼山國家森林遊樂區,891,24.83114298,121.4085388,
晏蜓科,李斯晏蜓,24867,2017/7/28,08:10:00,江上飄,新北市,三峽區,滿月圓森林遊樂區,345,24.83683416,121.4461899,
晏蜓科,李斯晏蜓,24809,2017/7/27,10:34:47,Tyus Ma,新北市,三峽區,滿月圓,695,24.81859781,121.4560032,
晏蜓科,李斯晏蜓,24822,2017/7/27,10:00:00,neo,新北市,三峽區,滿月圓森林遊樂區,395,24.8303056,121.4445662,
晏蜓科,李斯晏蜓,24828,2017/7/27,11:50:00,skink,基隆市,暖暖區,暖東峽谷,151,25.07633597,121.7544848,
晏蜓科,李斯晏蜓,24806,2017/7/26,13:12:16,Tyus Ma,新北市,三峽區,滿月圓,507,24.82134388,121.4496303,
晏蜓科,李斯晏蜓,24689,2017/7/24,14:41:00,chiuchu29,台北市,士林區,帕米爾公園,358,25.12122051,121.5935978,
晏蜓科,李斯晏蜓,24579,2017/7/23,08:15:00,江上飄,新北市,三峽區,滿月圓森林遊樂區,345,24.83683416,121.4461899,
晏蜓科,李斯晏蜓,24600,2017/7/23,14:00:00,Leo,台北市,士林區,帕米爾公園,352,25.12203163,121.5937829,
晏蜓科,李斯晏蜓,24404,2017/7/19,12:41:56,Tyus Ma,新北市,雙溪區,燦光寮登山步道,296,25.08351613,121.8644071,
晏蜓科,李斯晏蜓,24406,2017/7/19,13:00:00,Leo,新北市,雙溪區,燦光寮登山步道,219,25.08161493,121.8576425,
晏蜓科,李斯晏蜓,24247,2017/7/15,08:08:00,江上飄,新北市,三峽區,滿月圓森林遊樂區,345,24.83683416,121.4461899,
晏蜓科,李斯晏蜓,24209,2017/7/12,15:48:00,chiuchu29,台北市,士林區,帕米爾公園,357,25.12123509,121.5935898,
晏蜓科,李斯晏蜓,24116,2017/7/9,11:07:47,Tyus Ma,新北市,三峽區,蚋仔溪生態步道,361,24.83529085,121.445446,
晏蜓科,李斯晏蜓,23479,2017/6/26,11:40:00,Leo,宜蘭縣,大同鄉,北橫63.5k,1085,24.64348233,121.4600706,
晏蜓科,李斯晏蜓,23424,2017/6/25,12:00:00,Leo,宜蘭縣,大同鄉,北橫63.9k,1095,24.64566912,121.4610612,
晏蜓科,李斯晏蜓,23385,2017/6/24,07:00:04,簡庭威,新北市,石門區,尖山湖,269,25.24148383,121.5641177,
晏蜓科,李斯晏蜓,23304,2017/6/23,09:00:00,Leo,宜蘭縣,大同鄉,北橫63.9k,1095,24.64566912,121.4610612,
晏蜓科,李斯晏蜓,21172,2017/4/30,10:00:00,skink,宜蘭縣,大同鄉,明池台七線67K黃肩點,1186,24.64476457,121.4768493,
晏蜓科,李斯晏蜓,19932,2017/2/6,12:00:00,吳登立,雲林縣,古坑鄉,石壁山區,1622,23.61683533,120.7057196,
晏蜓科,李斯晏蜓,18477,2016/10/30,15:00:00,Leo,屏東縣,獅子鄉,女乃山,355,22.2071532,120.7928753,
晏蜓科,李斯晏蜓,45875,2016/10/2,10:30:00,regina,南投縣,竹山鎮,杉林溪溪山林道,,,,
晏蜓科,李斯晏蜓,17529,2016/9/25,14:15:00,gekko,宜蘭縣,冬山鄉,新寮瀑布步道,,,,
晏蜓科,李斯晏蜓,17391,2016/9/21,10:20:00,江上飄,新北市,三峽區,滿月圓森林遊樂區,345,24.83683416,121.4461899,
晏蜓科,李斯晏蜓,17062,2016/9/11,09:00:00,lily,桃園市,復興區,東眼山,,,,
晏蜓科,李斯晏蜓,32356,2016/8/22,08:24:00,fisher1952,新北市,三峽區,滿月圓,660,24.81916916,121.4549722,
