Species Family,Species,ID,Date,Time,User,City,Dictrict,Place,Altitude,Latitude,Longitude,Description
珈蟌科,白痣珈蟌,78346,2021-05-22,09:00:00,Leo,南投縣,魚池鄉,青螢露營區,565,23.88433802185585,120.88748264694004,
珈蟌科,白痣珈蟌,78084,2021-05-16,10:00:00,neo,宜蘭縣,員山鄉,大湖湖前橋,19,24.743635367147288,121.69182300567627,
珈蟌科,白痣珈蟌,77984,2021-05-14,09:30:00,neo,宜蘭縣,員山鄉,大湖湖前橋,19,24.743635367147288,121.69182300567627,
珈蟌科,白痣珈蟌,78183,2021-05-14,09:00:00,chuntinglu,南投縣,水里鄉,益則坑,540,23.82311728296902,120.92368125915527,
珈蟌科,白痣珈蟌,77895,2021-05-12,10:00:00,lily,台北市,北投區,大屯瀑布,,,,
珈蟌科,白痣珈蟌,77761,2021-05-10,09:33:00,yosi,新竹縣,關西鎮,壽桃橋,0,,,
珈蟌科,白痣珈蟌,77763,2021-05-10,12:31:00,yosi,新竹縣,關西鎮,四寮溪,0,,,
珈蟌科,白痣珈蟌,77778,2021-05-10,16:03:00,ying-o hsiung,新竹縣,峨眉鄉,七星村石硬子,163,24.663554402466804,121.0308837890625,
珈蟌科,白痣珈蟌,77717,2021-05-09,10:27:00,skink,宜蘭縣,大同鄉,臺七甲2公里八重櫻花林(櫻緣青邨),400,24.586417169866404,121.50104284286498,
珈蟌科,白痣珈蟌,77786,2021-05-09,10:31:00,joanne,屏東縣,牡丹鄉,高士草澤,361,22.13939375199063,120.85372924804688,
珈蟌科,白痣珈蟌,77787,2021-05-09,15:00:00,joanne,屏東縣,牡丹鄉,高士草澤,361,22.13899623958268,120.85351467132567,
珈蟌科,白痣珈蟌,78440,2021-05-06,08:45:00,skink,新竹縣,關西鎮,天城橋,141,24.763140960313716,121.17379188537596,
珈蟌科,白痣珈蟌,78463,2021-05-06,08:31:00,skink,新竹縣,關西鎮,四寮溪溪流生態戶外教室,209,24.7911882770514,121.20477139949799,
珈蟌科,白痣珈蟌,78476,2021-05-06,08:21:00,skink,新竹縣,關西鎮,錦山里石牛坑溪登山口,311,24.784942288562245,121.2491512298584,
珈蟌科,白痣珈蟌,78499,2021-05-06,10:18:00,skink,新竹縣,關西鎮,錦山里錦發橋,241,24.775513050757304,121.23855113983154,
珈蟌科,白痣珈蟌,78513,2021-05-06,12:12:00,skink,新竹縣,關西鎮,錦山里而完窩溪源流,558,24.763667042793838,121.25746607780455,
珈蟌科,白痣珈蟌,78532,2021-05-06,08:38:00,skink,新竹縣,關西鎮,四寮溪溪流生態戶外教室,209,24.7911882770514,121.20477139949799,
珈蟌科,白痣珈蟌,78546,2021-05-06,11:31:00,skink,新竹縣,關西鎮,壽桃橋,218,24.769766385811515,121.22445240617708,
珈蟌科,白痣珈蟌,78386,2021-05-05,09:00:00,skink,新竹縣,關西鎮,湖肚茄苳窩,163,24.78379554158035,121.18742529305109,
珈蟌科,白痣珈蟌,78402,2021-05-05,08:42:00,skink,新竹縣,關西鎮,湖肚茄苳窩,163,24.78379554158035,121.18742529305109,
珈蟌科,白痣珈蟌,78408,2021-05-05,12:40:00,skink,新竹縣,關西鎮,老社寮野塘,164,24.768182492433702,121.17959082126617,
珈蟌科,白痣珈蟌,78413,2021-05-05,12:50:00,skink,新竹縣,關西鎮,老社寮野塘,164,24.768182492433702,121.17959082126617,
珈蟌科,白痣珈蟌,78369,2021-05-04,08:45:00,skink,新竹縣,關西鎮,七寮,246,24.79114769337063,121.21830761421734,
珈蟌科,白痣珈蟌,77377,2021-04-27,14:27:00,ying-o hsiung,新竹縣,峨眉鄉,七星村石硬子,221,24.66577740206342,121.03830814361571,
珈蟌科,白痣珈蟌,77324,2021-04-26,12:20:00,skink,新北市,深坑區,清涼山北德寺,288,24.993361076999378,121.61797642707825,
珈蟌科,白痣珈蟌,77388,2021-04-26,14:04:00,ying-o hsiung,新竹縣,峨眉鄉,七星村石硬子,237,24.665894400945064,121.03890895843504,
珈蟌科,白痣珈蟌,77261,2021-04-25,13:05:00,ying-o hsiung,新竹縣,峨眉鄉,石硬子,221,24.667766368129726,121.04470252990723,
珈蟌科,白痣珈蟌,77269,2021-04-24,11:05:00,skink,新北市,烏來區,福山植物園福山池,666,24.75963368683815,121.58409476280212,
珈蟌科,白痣珈蟌,77165,2021-04-22,13:09:00,skink,台北市,文山區,小坑溪,105,24.982829368184813,121.58337593078613,
珈蟌科,白痣珈蟌,78275,2021-04-22,08:10:00,skink,新竹縣,關西鎮,湖肚茄苳窩,163,24.78379554158035,121.18742529305109,
珈蟌科,白痣珈蟌,78289,2021-04-22,08:50:00,skink,新竹縣,關西鎮,湖肚茄苳窩,163,24.78379554158035,121.18742529305109,
珈蟌科,白痣珈蟌,78308,2021-04-22,12:40:00,skink,新竹縣,關西鎮,老社寮野塘,164,24.768182492433702,121.17959082126617,
珈蟌科,白痣珈蟌,78318,2021-04-22,12:37:00,skink,新竹縣,關西鎮,老社寮野塘,164,24.768182492433702,121.17959082126617,
珈蟌科,白痣珈蟌,78328,2021-04-22,09:01:00,skink,新竹縣,關西鎮,壽桃橋,218,24.769766385811515,121.22445240617708,
珈蟌科,白痣珈蟌,77140,2021-04-21,12:17:00,skink,台北市,文山區,小坑溪,105,24.982829368184813,121.58337593078613,
珈蟌科,白痣珈蟌,78069,2021-04-21,10:12:00,skink,新竹縣,關西鎮,錦山里錦發橋,241,24.775513050757304,121.23855113983154,
珈蟌科,白痣珈蟌,78085,2021-04-21,12:22:00,skink,新竹縣,關西鎮,錦山里而完窩溪源流,558,24.763667042793838,121.25746607780455,
珈蟌科,白痣珈蟌,78138,2021-04-21,08:05:00,skink,新竹縣,關西鎮,天城橋,141,24.763140960313716,121.17379188537596,
珈蟌科,白痣珈蟌,78160,2021-04-21,10:21:00,skink,新竹縣,關西鎮,阿化窩溪源流,307,24.77865056161526,121.22848644853548,
珈蟌科,白痣珈蟌,78245,2021-04-21,09:00:00,skink,新竹縣,關西鎮,四寮溪溪流生態戶外教室,209,24.7911882770514,121.20477139949799,
珈蟌科,白痣珈蟌,78265,2021-04-21,09:00:00,skink,新竹縣,關西鎮,四寮溪溪流生態戶外教室,209,24.7911882770514,121.20477139949799,
珈蟌科,白痣珈蟌,77040,2021-04-19,14:43:00,ying-o hsiung,新竹縣,峨眉鄉,石硬子,211,24.66647939370752,121.04199886322021,
珈蟌科,白痣珈蟌,77047,2021-04-18,12:27:00,ying-o hsiung,新竹縣,峨眉鄉,石硬子,202,24.665387404998903,121.0417413711548,
珈蟌科,白痣珈蟌,76929,2021-04-17,09:07:00,skink,宜蘭縣,員山鄉,深溝水源生態園區,25,24.722564981781126,121.70472845816153,
珈蟌科,白痣珈蟌,76921,2021-04-15,14:13:00,ying-o hsiung,新竹縣,峨眉鄉,石硬子,227,24.66866334245162,121.04586124420166,
珈蟌科,白痣珈蟌,76869,2021-04-13,12:50:00,ying-o hsiung,新竹縣,峨眉鄉,石硬子,224,24.667922364127246,121.04487419128417,
珈蟌科,白痣珈蟌,76836,2021-04-12,13:22:00,ying-o hsiung,新竹縣,峨眉鄉,石硬子,217,24.667571372858543,121.04508876800537,
珈蟌科,白痣珈蟌,76894,2021-04-12,13:10:00,lily,屏東縣,牡丹鄉,倪好切仔麵,,,,
珈蟌科,白痣珈蟌,76843,2021-04-11,13:42:00,ying-o hsiung,新竹縣,峨眉鄉,石硬子,220,24.66862434370216,121.04573249816896,
珈蟌科,白痣珈蟌,76847,2021-04-11,15:20:00,skink,宜蘭縣,頭城鎮,北勢溪橋,30,24.906620244284916,121.86496496200562,
珈蟌科,白痣珈蟌,76856,2021-04-11,16:04:00,skink,宜蘭縣,頭城鎮,梗枋北溪橋,13,24.904615641071643,121.8632698059082,
珈蟌科,白痣珈蟌,76821,2021-04-10,15:32:00,skink,宜蘭縣,頭城鎮,微笑灣休閒農場入口小溪,219,24.872007075135315,121.8193084001541,
珈蟌科,白痣珈蟌,77750,2021-04-10,08:20:00,skink,新竹縣,關西鎮,老社寮野塘,164,24.768182492433702,121.17959082126617,
珈蟌科,白痣珈蟌,77828,2021-04-10,09:37:00,skink,新竹縣,關西鎮,七寮,246,24.79114769337063,121.21830761421734,
珈蟌科,白痣珈蟌,77835,2021-04-10,11:10:00,skink,新竹縣,關西鎮,湖肚茄苳窩,163,24.78379554158035,121.18742529305109,
珈蟌科,白痣珈蟌,77838,2021-04-10,11:15:00,skink,新竹縣,關西鎮,湖肚茄苳窩,163,24.78379554158035,121.18742529305109,
珈蟌科,白痣珈蟌,76722,2021-04-08,12:23:00,ying-o hsiung,新竹縣,峨眉鄉,石硬子,220,24.66870234118886,121.04581832885742,
珈蟌科,白痣珈蟌,77635,2021-04-08,09:47:00,skink,新竹縣,關西鎮,錦山里錦發橋,241,24.775513050757304,121.23855113983154,
珈蟌科,白痣珈蟌,77640,2021-04-08,11:24:00,skink,新竹縣,關西鎮,錦山里而完窩溪源流,558,24.763667042793838,121.25746607780455,
珈蟌科,白痣珈蟌,76728,2021-04-07,13:28:00,ying-o hsiung,新竹縣,峨眉鄉,石硬子,220,24.668585344940514,121.04568958282472,
珈蟌科,白痣珈蟌,76588,2021-04-06,14:36:00,ying-o hsiung,新竹縣,峨眉鄉,石硬子,220,24.66870234118886,121.04581832885742,
珈蟌科,白痣珈蟌,76351,2021-04-03,13:18:00,ying-o hsiung,新竹縣,峨眉鄉,石硬子,228,24.668780338626814,121.04616165161131,
珈蟌科,白痣珈蟌,77653,2021-04-03,09:30:00,skink,新竹縣,關西鎮,四寮溪溪流生態戶外教室,209,24.7911882770514,121.20477139949799,
珈蟌科,白痣珈蟌,77666,2021-04-03,09:50:00,skink,新竹縣,關西鎮,壽桃橋,218,24.769766385811515,121.22445240617708,
珈蟌科,白痣珈蟌,76332,2021-04-02,14:46:00,ying-o hsiung,新竹縣,峨眉鄉,石硬子,219,24.667688370057828,121.04472398757936,
珈蟌科,白痣珈蟌,76293,2021-03-30,13:31:00,ying-o hsiung,新竹縣,峨眉鄉,石硬子,228,24.66870234118886,121.0459041595459,
珈蟌科,白痣珈蟌,76252,2021-03-29,12:26:00,skink,台北市,文山區,小坑溪,105,24.982829368184813,121.58337593078613,
珈蟌科,白痣珈蟌,76217,2021-03-28,12:00:00,lj19990809,南投縣,魚池鄉,水社水尾溪,,,,
珈蟌科,白痣珈蟌,76251,2021-03-28,13:27:00,skink,新竹縣,尖石鄉,水田林道0.7公里溪流,741,24.751410690835883,121.27493262290955,
珈蟌科,白痣珈蟌,76186,2021-03-27,10:23:58,天空遊民,新竹縣,關西鎮,四寮溪生態教室,214,24.78936443221541,121.20939016342163,
珈蟌科,白痣珈蟌,76225,2021-03-27,10:30:00,skink,南投縣,魚池鄉,十三哩橋水社水尾溪,665,23.88799587194254,120.90339303016661,
珈蟌科,白痣珈蟌,76245,2021-03-27,16:23:00,skink,南投縣,魚池鄉,十三哩橋水社水尾溪,665,23.88799587194254,120.90339303016661,
珈蟌科,白痣珈蟌,76221,2021-03-26,14:25:00,skink,新竹縣,關西鎮,四寮溪溪流生態戶外教室,209,24.7911882770514,121.20477139949799,
珈蟌科,白痣珈蟌,76158,2021-03-25,10:52:00,天空遊民,新竹縣,關西鎮,四寮溪生態教室,214,24.78936443221541,121.20939016342163,
珈蟌科,白痣珈蟌,76196,2021-03-25,11:25:00,skink,宜蘭縣,頭城鎮,菩提觀福澤橋,188,24.874056008808545,121.80696487426758,
珈蟌科,白痣珈蟌,76210,2021-03-25,14:20:00,skink,宜蘭縣,頭城鎮,微笑灣休閒農場入口小溪,219,24.872007075135315,121.8193084001541,
珈蟌科,白痣珈蟌,76056,2021-03-20,15:20:00,skink,南投縣,魚池鄉,水社水尾溪,697,23.88740728312737,120.9041118621826,
珈蟌科,白痣珈蟌,76270,2021-03-20,09:10:00,skink,新竹縣,關西鎮,湖肚茄苳窩,163,24.78379554158035,121.18742529305109,
珈蟌科,白痣珈蟌,76278,2021-03-20,09:12:00,skink,新竹縣,關西鎮,湖肚茄苳窩,163,24.78379554158035,121.18742529305109,
珈蟌科,白痣珈蟌,76025,2021-03-19,12:28:00,skink,新北市,深坑區,清涼山北德寺,288,24.993361076999378,121.61797642707825,
珈蟌科,白痣珈蟌,76262,2021-03-19,08:40:00,skink,新竹縣,關西鎮,四寮溪溪流生態戶外教室,209,24.7911882770514,121.20477139949799,
珈蟌科,白痣珈蟌,75883,2021-03-14,12:12:00,skink,宜蘭縣,頭城鎮,福德坑溪邊,65,24.8663565143534,121.80837035179138,
珈蟌科,白痣珈蟌,75886,2021-03-14,12:52:00,skink,宜蘭縣,頭城鎮,靈山寺,93,24.87350606082531,121.81111693382263,
珈蟌科,白痣珈蟌,75889,2021-03-14,14:34:00,skink,宜蘭縣,頭城鎮,石燭坑溪,80,24.862764550743062,121.7984461784363,
珈蟌科,白痣珈蟌,75834,2021-03-11,12:43:00,ying-o hsiung,新竹縣,峨眉鄉,石硬子,220,24.668692591505703,121.0456359386444,
珈蟌科,白痣珈蟌,75799,2021-03-09,13:00:00,neo,宜蘭縣,頭城鎮,福德坑溪,103,24.87148631935797,121.81044101715088,
珈蟌科,白痣珈蟌,74751,2021-01-30,12:20:00,skink,台北市,文山區,小坑溪,105,24.982829368184813,121.58337593078613,
珈蟌科,白痣珈蟌,74391,2021-01-14,12:16:00,skink,台北市,文山區,小坑溪,105,24.982829368184813,121.58337593078613,
珈蟌科,白痣珈蟌,74404,2021-01-14,11:40:00,tertiary,嘉義縣,梅山鄉,龍眼村鹿寮坪清水溪支流上游,0,,,
