Species Family,Species,ID,Date,Time,User,City,District,Place,Altitude,Latitude,Longitude,Description
珈蟌科,中華珈蟌南臺亞種,75541,2021-02-21,11:37:00,tertiary,嘉義縣,梅山鄉,龍眼村鹿寮坪清水溪支流上游,720,23.586407198090974,120.63820838928223,
珈蟌科,中華珈蟌南臺亞種,74405,2021-01-14,11:49:00,tertiary,嘉義縣,梅山鄉,龍眼村鹿寮坪清水溪支流上游,0,,,
珈蟌科,中華珈蟌南臺亞種,74343,2021-01-13,14:10:00,tertiary,嘉義縣,梅山鄉,龍眼村鹿寮坪清水溪支流上游,0,,,
珈蟌科,中華珈蟌南臺亞種,73451,2020-12-15,10:40:00,chuntinglu,南投縣,魚池鄉,蓮華池,727,23.9187557184356,120.88299751281738,
珈蟌科,中華珈蟌南臺亞種,73392,2020-12-14,09:25:00,chuntinglu,南投縣,魚池鄉,水上步道,565,23.92913159157789,120.91501235961914,
珈蟌科,中華珈蟌南臺亞種,72445,2020-11-21,11:30:00,lj19990809,嘉義縣,梅山鄉,龍眼村清水溪支流,,,,
珈蟌科,中華珈蟌南臺亞種,72388,2020-11-19,09:58:00,skink,雲林縣,古坑鄉,樟湖村石橋,604,23.60970821097264,120.63841223716736,
珈蟌科,中華珈蟌南臺亞種,72401,2020-11-19,11:08:00,skink,雲林縣,古坑鄉,竿蓁籠,515,23.606203491922965,120.64424872398376,
珈蟌科,中華珈蟌南臺亞種,72407,2020-11-19,11:30:00,skink,雲林縣,古坑鄉,竿蓁籠附近小溪流,450,23.60789933542096,120.64679145812988,
珈蟌科,中華珈蟌南臺亞種,72426,2020-11-19,13:32:00,skink,嘉義縣,梅山鄉,三川茶園附近銅寮溪,906,23.57429296921507,120.62582731246948,
珈蟌科,中華珈蟌南臺亞種,74405,2021-01-14,11:49:00,tertiary,嘉義縣,梅山鄉,龍眼村鹿寮坪清水溪支流上游,0,,,
珈蟌科,中華珈蟌南臺亞種,74343,2021-01-13,14:10:00,tertiary,嘉義縣,梅山鄉,龍眼村鹿寮坪清水溪支流上游,0,,,
珈蟌科,中華珈蟌南臺亞種,73451,2020-12-15,10:40:00,chuntinglu,南投縣,魚池鄉,蓮華池,727,23.9187557184356,120.88299751281738,
珈蟌科,中華珈蟌南臺亞種,72445,2020-11-21,11:30:00,lj19990809,嘉義縣,梅山鄉,龍眼村清水溪支流,,,,
珈蟌科,中華珈蟌南臺亞種,72401,2020-11-19,11:08:00,skink,雲林縣,古坑鄉,竿蓁籠,515,23.606203491922965,120.64424872398376,
珈蟌科,中華珈蟌南臺亞種,72407,2020-11-19,11:30:00,skink,雲林縣,古坑鄉,竿蓁籠附近小溪流,450,23.60789933542096,120.64679145812988,
珈蟌科,中華珈蟌南臺亞種,72426,2020-11-19,13:32:00,skink,嘉義縣,梅山鄉,三川茶園附近銅寮溪,906,23.57429296921507,120.62582731246948,
珈蟌科,中華珈蟌南臺亞種,72346,2020-11-18,11:10:00,skink,嘉義縣,梅山鄉,鹿寮坪清水溪支流,720,23.586367867988177,120.63825130462646,
珈蟌科,中華珈蟌南臺亞種,72353,2020-11-18,11:38:00,skink,嘉義縣,梅山鄉,鹿寮坪下方道路上,678,23.58703647813279,120.64052581787108,
珈蟌科,中華珈蟌南臺亞種,72362,2020-11-18,12:13:00,skink,嘉義縣,梅山鄉,鹿寮坪下方清水溪支流,536,23.58542394198464,120.6428325176239,
珈蟌科,中華珈蟌南臺亞種,72368,2020-11-18,12:43:00,skink,嘉義縣,梅山鄉,三川茶園附近銅寮溪,910,23.57389963135875,120.62576293945312,
珈蟌科,中華珈蟌南臺亞種,72374,2020-11-18,14:00:00,skink,嘉義縣,梅山鄉,溪園嶺附近銅寮溪,788,23.57541397564123,120.63142776489258,
珈蟌科,中華珈蟌南臺亞種,72226,2020-11-15,10:00:00,ysc3679,南投縣,魚池鄉,蓮華池新山林道,,,,
珈蟌科,中華珈蟌南臺亞種,72226,2020-11-15,10:00:00,ysc3679,南投縣,魚池鄉,蓮華池新山林道,,,,
珈蟌科,中華珈蟌南臺亞種,72227,2020-11-15,12:00:00,ysc3679,南投縣,鹿谷鄉,麒麟路,,,,
珈蟌科,中華珈蟌南臺亞種,72155,2020-11-12,09:00:00,chuntinglu,南投縣,魚池鄉,水上步道,569,23.93148517080396,120.91507673263548,
珈蟌科,中華珈蟌南臺亞種,72065,2020-11-11,09:10:00,chuntinglu,南投縣,魚池鄉,蓮華池,727,23.918912637658543,120.88286876678467,
珈蟌科,中華珈蟌南臺亞種,72178,2020-11-08,15:00:00,Leo,高雄市,六龜區,彩蝶谷,438,23.023578906638974,120.62499046325684,
珈蟌科,中華珈蟌南臺亞種,71965,2020-11-07,10:00:00,Leo,嘉義縣,梅山鄉,金鳳寮,906,23.57428313578303,120.6255805492401,
珈蟌科,中華珈蟌南臺亞種,71781,2020-11-01,09:30:00,chuntinglu,嘉義縣,梅山鄉,龍眼村金鳳寮,906,23.57403729974249,120.62582731246948,
珈蟌科,中華珈蟌南臺亞種,71822,2020-11-01,10:25:00,skink,嘉義縣,梅山鄉,三川茶園附近銅寮溪,908,23.5743519697919,120.62581658363341,
珈蟌科,中華珈蟌南臺亞種,71830,2020-11-01,11:33:00,skink,嘉義縣,梅山鄉,鹿寮坪清水溪支流,720,23.586367867988177,120.63825130462646,
珈蟌科,中華珈蟌南臺亞種,71834,2020-11-01,11:43:00,skink,嘉義縣,梅山鄉,鹿寮坪下方清水溪支流,689,23.586072891841397,120.63932418823242,
珈蟌科,中華珈蟌南臺亞種,71843,2020-11-01,12:26:00,skink,嘉義縣,梅山鄉,鹿寮坪清水溪支流,720,23.586367867988177,120.63825130462646,
珈蟌科,中華珈蟌南臺亞種,71773,2020-10-31,12:30:00,吳登立,嘉義縣,梅山鄉,金鳳寮,949,23.575295975415504,120.62463641166687,
珈蟌科,中華珈蟌南臺亞種,71778,2020-10-31,15:00:00,lj19990809,南投縣,魚池鄉,蓮華池,,,,
珈蟌科,中華珈蟌南臺亞種,71789,2020-10-31,10:10:00,skink,嘉義縣,梅山鄉,三川茶園附近銅寮溪,141,24.763140960313716,121.17379188537596,
珈蟌科,中華珈蟌南臺亞種,71797,2020-10-31,12:20:00,skink,嘉義縣,梅山鄉,鹿寮坪下方清水溪支流,536,23.58542394198464,120.6428325176239,
珈蟌科,中華珈蟌南臺亞種,71807,2020-10-31,13:25:00,skink,嘉義縣,梅山鄉,鹿寮坪下方諾亞農場,532,23.586505523296438,120.64410924911498,
珈蟌科,中華珈蟌南臺亞種,71984,2020-10-31,11:31:00,lyajhoo,嘉義縣,梅山鄉,金鳳寮,905,23.574238885329695,120.62559127807617,
珈蟌科,中華珈蟌南臺亞種,71680,2020-10-28,11:30:00,吳登立,嘉義縣,梅山鄉,金鳳寮,949,23.575295975415504,120.62463641166687,
珈蟌科,中華珈蟌南臺亞種,71522,2020-10-26,11:30:00,吳登立,嘉義縣,梅山鄉,金鳳寮,949,23.575295975415504,120.62463641166687,
珈蟌科,中華珈蟌南臺亞種,71424,2020-10-22,09:20:00,chuntinglu,南投縣,埔里鎮,桃米里黃金濕地,592,23.938447591456818,120.91763019561768,
珈蟌科,中華珈蟌南臺亞種,71417,2020-10-17,10:46:00,regina,南投縣,魚池鄉,蓮華池,,,,
珈蟌科,中華珈蟌南臺亞種,71149,2020-10-16,11:00:00,Leo,南投縣,魚池鄉,蓮華池木屋教室,760,23.919579542229428,120.88106632232666,
珈蟌科,中華珈蟌南臺亞種,71242,2020-10-14,10:55:00,chuntinglu,南投縣,魚池鄉,蓮華池,757,23.918912637658543,120.88119506835936,
珈蟌科,中華珈蟌南臺亞種,71290,2020-10-14,12:15:00,skink,南投縣,魚池鄉,蓮華池木屋教室生態池,762,23.923345526949117,120.88364124298096,
珈蟌科,中華珈蟌南臺亞種,70968,2020-10-09,10:30:00,lj19990809,南投縣,魚池鄉,蓮華池,,,,
