Species Family,Species,ID,Date,Time,User,City,District,Place,Altitude,Latitude,Longitude,Description
鼓蟌科,朱環鼓蟌,74340,2020-12-17,10:28:00,tertiary,嘉義縣,梅山鄉,龍眼村銅寮溪中支流上游處,0,,,
鼓蟌科,朱環鼓蟌,74341,2020-12-17,12:00:00,tertiary,嘉義縣,梅山鄉,龍眼村金鳳寮,0,,,
鼓蟌科,朱環鼓蟌,74342,2020-12-17,13:35:00,tertiary,嘉義縣,梅山鄉,龍眼村鹿寮坪清水溪支流上游,0,,,
鼓蟌科,朱環鼓蟌,72445,2020-11-21,11:30:00,lj19990809,嘉義縣,梅山鄉,龍眼村清水溪支流,,,,
鼓蟌科,朱環鼓蟌,72440,2020-11-20,09:35:00,tertiary,嘉義縣,梅山鄉,龍眼村銅寮溪北支流上游處,0,,,
鼓蟌科,朱環鼓蟌,72441,2020-11-20,09:41:00,tertiary,嘉義縣,梅山鄉,龍眼村銅寮溪中北支流上游之間,0,,,
鼓蟌科,朱環鼓蟌,72442,2020-11-20,09:46:00,tertiary,嘉義縣,梅山鄉,龍眼村銅寮溪中支流上游處,0,,,
鼓蟌科,朱環鼓蟌,72443,2020-11-20,11:55:00,tertiary,嘉義縣,梅山鄉,龍眼村金鳳寮,0,,,
鼓蟌科,朱環鼓蟌,72444,2020-11-20,13:00:00,tertiary,嘉義縣,梅山鄉,龍眼村鹿寮坪清水溪支流上游,0,,,
鼓蟌科,朱環鼓蟌,72427,2020-11-19,13:32:00,skink,嘉義縣,梅山鄉,三川茶園附近銅寮溪,906,23.57429296921507,120.62582731246948,
鼓蟌科,朱環鼓蟌,74340,2020-12-17,10:28:00,tertiary,嘉義縣,梅山鄉,龍眼村銅寮溪中支流上游處,0,,,
鼓蟌科,朱環鼓蟌,74341,2020-12-17,12:00:00,tertiary,嘉義縣,梅山鄉,龍眼村金鳳寮,0,,,
鼓蟌科,朱環鼓蟌,74342,2020-12-17,13:35:00,tertiary,嘉義縣,梅山鄉,龍眼村鹿寮坪清水溪支流上游,0,,,
鼓蟌科,朱環鼓蟌,72445,2020-11-21,11:30:00,lj19990809,嘉義縣,梅山鄉,龍眼村清水溪支流,,,,
鼓蟌科,朱環鼓蟌,72440,2020-11-20,09:35:00,tertiary,嘉義縣,梅山鄉,龍眼村銅寮溪北支流上游處,0,,,
鼓蟌科,朱環鼓蟌,72441,2020-11-20,09:41:00,tertiary,嘉義縣,梅山鄉,龍眼村銅寮溪中北支流上游之間,0,,,
鼓蟌科,朱環鼓蟌,72442,2020-11-20,09:46:00,tertiary,嘉義縣,梅山鄉,龍眼村銅寮溪中支流上游處,0,,,
鼓蟌科,朱環鼓蟌,72443,2020-11-20,11:55:00,tertiary,嘉義縣,梅山鄉,龍眼村金鳳寮,0,,,
鼓蟌科,朱環鼓蟌,72444,2020-11-20,13:00:00,tertiary,嘉義縣,梅山鄉,龍眼村鹿寮坪清水溪支流上游,0,,,
鼓蟌科,朱環鼓蟌,72427,2020-11-19,13:32:00,skink,嘉義縣,梅山鄉,三川茶園附近銅寮溪,906,23.57429296921507,120.62582731246948,
鼓蟌科,朱環鼓蟌,72348,2020-11-18,11:10:00,skink,嘉義縣,梅山鄉,鹿寮坪清水溪支流,720,23.586367867988177,120.63825130462646,
鼓蟌科,朱環鼓蟌,72354,2020-11-18,11:38:00,skink,嘉義縣,梅山鄉,鹿寮坪下方道路上,678,23.58703647813279,120.64052581787108,
鼓蟌科,朱環鼓蟌,72369,2020-11-18,12:43:00,skink,嘉義縣,梅山鄉,三川茶園附近銅寮溪,906,23.57429296921507,120.62576293945312,
鼓蟌科,朱環鼓蟌,72375,2020-11-18,14:00:00,skink,嘉義縣,梅山鄉,溪園嶺附近銅寮溪,788,23.57541397564123,120.63142776489258,
鼓蟌科,朱環鼓蟌,72439,2020-11-12,13:16:00,tertiary,嘉義縣,梅山鄉,太興村溪底,750,23.541838636251224,120.6309986114502,
鼓蟌科,朱環鼓蟌,71967,2020-11-07,10:00:00,Leo,嘉義縣,梅山鄉,金鳳寮,906,23.57428313578303,120.6255805492401,
鼓蟌科,朱環鼓蟌,71782,2020-11-01,09:30:00,chuntinglu,嘉義縣,梅山鄉,龍眼村金鳳寮,906,23.57403729974249,120.62582731246948,
