Species Family,Species,ID,Date,Time,User,City,Dictrict,Place,Altitude,Latitude,Longitude,Description
細蟌科,亞東細蟌,69362,2020-09-07,10:32:00,skink,台北市,文山區,臺北市立動物園紅鶴池,27,24.998276538032474,121.581552028656,
細蟌科,亞東細蟌,69368,2020-09-07,09:30:00,lily,新北市,三芝區,青山路,,,,
細蟌科,亞東細蟌,55708,2019-10-13,09:10:00,天空遊民,基隆市,信義區,秋紅湖,86,25.135912075311673,121.78229928016663,
細蟌科,亞東細蟌,55613,2019-10-05,10:18:00,lyajhoo,基隆市,安樂區,內寮濕地,63,25.155821783268767,121.69467687606812,
細蟌科,亞東細蟌,54893,2019-09-30,09:30:00,秋寒煙,基隆市,信義區,秋紅湖草皮,,,,
細蟌科,亞東細蟌,54875,2019-09-29,13:55:00,skink,宜蘭縣,宜蘭市,宜蘭大學校園,12,24.74616873404757,121.74495756626129,
細蟌科,亞東細蟌,54835,2019-09-28,14:00:00,vansion,基隆市,信義區,基隆天外天復育公園,150,25.12249304326007,121.77401125431061,
細蟌科,亞東細蟌,54850,2019-09-28,09:30:00,秋寒煙,基隆市,信義區,秋紅湖,,,,
細蟌科,亞東細蟌,54687,2019-09-26,16:10:00,skink,台北市,文山區,臺北市立動物園車輛調度場,49,24.997749022700436,121.58833533525467,
細蟌科,亞東細蟌,54690,2019-09-26,13:18:00,Fenabi,新北市,石門區,麟山鼻,2,25.283128105120976,121.51028037071228,
細蟌科,亞東細蟌,54499,2019-09-23,10:42:00,skink,台北市,文山區,臺北市立動物園車輛調度場,49,24.997749022700436,121.58833533525467,
細蟌科,亞東細蟌,54500,2019-09-23,09:14:00,yosi,台北市,內湖區,金瑞治水園區,0,,,
細蟌科,亞東細蟌,54504,2019-09-23,10:50:00,趙偉凱,基隆市,安樂區,內寮濕地公園,62,25.15635104581758,121.69422626495361,
細蟌科,亞東細蟌,54531,2019-09-23,12:30:00,skink,基隆市,信義區,天外天復育公園,112,25.121584789135838,121.7788016796112,
細蟌科,亞東細蟌,54547,2019-09-23,17:30:00,skink,基隆市,信義區,天外天復育公園,112,25.121584789135838,121.7788016796112,
細蟌科,亞東細蟌,54480,2019-09-22,09:35:00,Leo,基隆市,安樂區,內寮濕地公園,63,25.155782938220604,121.69457495212555,
細蟌科,亞東細蟌,54481,2019-09-22,10:00:00,yorklin,基隆市,安樂區,內寮濕地,,,,
細蟌科,亞東細蟌,54484,2019-09-22,15:00:00,skink,台北市,文山區,臺北市立動物園車輛調度場,49,24.997749022700436,121.58833533525467,
細蟌科,亞東細蟌,54486,2019-09-22,08:10:00,Tyus Ma,基隆市,安樂區,內寮濕地公園,69,25.15545912784575,121.69429063796997,
細蟌科,亞東細蟌,54487,2019-09-22,11:50:00,Tyus Ma,基隆市,中正區,天外天復育公園,108,25.12197167829056,121.77783608436584,
細蟌科,亞東細蟌,54489,2019-09-22,09:50:00,Jasonlin,基隆市,安樂區,內寮濕地,,,,
細蟌科,亞東細蟌,54490,2019-09-22,13:00:00,allenhu1999925,宜蘭縣,頭城鎮,大坑海灘,,,,
細蟌科,亞東細蟌,54326,2019-09-21,10:00:00,Leo,基隆市,安樂區,內寮濕地公園,63,25.155782938220604,121.69457495212555,
細蟌科,亞東細蟌,54404,2019-09-21,13:00:00,Leo,基隆市,安樂區,內寮濕地公園,63,25.155782938220604,121.69457495212555,
細蟌科,亞東細蟌,54479,2019-09-21,09:56:01,Tyus Ma,基隆市,安樂區,內寮濕地公園,69,25.15545912784575,121.69429063796997,
細蟌科,亞東細蟌,54491,2019-09-21,11:00:00,leowang,桃園市,新屋區,永安漁港往南2K,8,24.97712327979194,121.01584246382117,
細蟌科,亞東細蟌,54603,2019-09-21,08:00:00,秋寒煙,基隆市,安樂區,基金一路新崙里濕地,,,,
細蟌科,亞東細蟌,54289,2019-09-20,08:48:00,cclin,基隆市,安樂區,內寮濕地,63,25.155802360746222,121.6944944858551,
細蟌科,亞東細蟌,54397,2019-09-20,10:00:00,allenhu1999925,基隆市,安樂區,內寮濕地,,,,
細蟌科,亞東細蟌,54256,2019-09-19,14:00:00,cslin,新北市,中和區,漳和濕地,0,,,
細蟌科,亞東細蟌,54268,2019-09-19,13:42:00,skink,台北市,文山區,臺北市立動物園車輛調度場,49,24.997749022700436,121.58833533525467,
細蟌科,亞東細蟌,54276,2019-09-19,12:31:00,skink,基隆市,安樂區,內寮生態公園,62,25.155579001514873,121.69482707977295,
細蟌科,亞東細蟌,54186,2019-09-18,09:48:00,skink,台北市,文山區,臺北市立動物園非洲動物區斑點鬣狗場地,56,24.994897483567765,121.58873498439789,
細蟌科,亞東細蟌,54106,2019-09-17,12:40:00,hsulan,台北市,大安區,臺大校園,,,,
細蟌科,亞東細蟌,41739,2018-11-11,08:00:00,ysc3679,新北市,貢寮區,田寮洋,352,24.98605802116759,121.8988037109375,
細蟌科,亞東細蟌,41441,2018-10-27,07:31:00,江上飄,台北市,中正區,臺北植物園,11,25.032290416114506,121.51111721992493,
細蟌科,亞東細蟌,41456,2018-10-27,16:21:00,王振芳,新北市,貢寮區,福隆國小,12,25.017462050337915,121.94816910185239,
細蟌科,亞東細蟌,41135,2018-10-26,11:40:00,江上飄,新北市,石門區,麟山鼻步道,46,25.27940243289744,121.51519803985138,
細蟌科,亞東細蟌,41133,2018-10-25,08:52:00,江上飄,新北市,坪林區,親水公園,350,24.885325023397957,121.66434302322159,
細蟌科,亞東細蟌,41057,2018-10-22,15:00:00,3aolyhoo,新北市,淡水區,灰瑤子溪出海口,,,,
細蟌科,亞東細蟌,41062,2018-10-22,14:05:00,江上飄,基隆市,安樂區,澳底橋,,,,
細蟌科,亞東細蟌,41063,2018-10-22,13:46:00,江上飄,基隆市,安樂區,內寮濕地公園,66,25.155632413542175,121.69441938400268,
細蟌科,亞東細蟌,41036,2018-10-21,08:30:00,3aolyhoo,新北市,三芝區,正良休閒漁樂園,,,,
細蟌科,亞東細蟌,41040,2018-10-21,08:07:00,江上飄,新北市,貢寮區,桃源谷步道（山上）,486,24.969174729820345,121.89811706542969,
細蟌科,亞東細蟌,41041,2018-10-21,09:33:00,江上飄,新北市,貢寮區,桃源谷步道（山下水池）,486,24.969174729820345,121.89811706542969,
細蟌科,亞東細蟌,41044,2018-10-21,10:33:00,江上飄,新北市,貢寮區,黃腹細蟌點路傍,,,,
細蟌科,亞東細蟌,41032,2018-10-20,11:00:00,3aolyhoo,基隆市,安樂區,內寮濕地,,,,
細蟌科,亞東細蟌,41033,2018-10-20,14:00:00,Fenabi,基隆市,安樂區,內寮濕地,,,,
細蟌科,亞東細蟌,41023,2018-10-19,13:48:00,skink,台北市,文山區,臺北市立動物園檢疫舍沉砂池,37,24.999613548315686,121.58756822347641,
細蟌科,亞東細蟌,41002,2018-10-18,12:40:00,skink,基隆市,安樂區,內寮生態公園,62,25.155579001514873,121.69482707977295,
細蟌科,亞東細蟌,41018,2018-10-18,10:20:00,skink,基隆市,安樂區,澳底橋,26,25.169407605842597,121.70708238521979,
細蟌科,亞東細蟌,40961,2018-10-17,09:50:07,neo,宜蘭縣,冬山鄉,仁山植物園-英式庭園,185,24.62458698213876,121.75941467285156,
細蟌科,亞東細蟌,40957,2018-10-16,12:05:00,江上飄,新北市,坪林區,九芎根親水公園,338,24.88554108874611,121.66526913642883,
細蟌科,亞東細蟌,40958,2018-10-16,13:09:00,江上飄,新北市,坪林區,九芎根親水公園上游,377,24.885492425405694,121.6613906621933,
細蟌科,亞東細蟌,46666,2018-10-16,09:20:00,philliplan,台北市,北投區,貴子坑,,,,
細蟌科,亞東細蟌,40911,2018-10-15,11:46:00,江上飄,新北市,樹林區,樹林河濱公園,18,24.966409384277845,121.38911247338001,
細蟌科,亞東細蟌,40913,2018-10-15,13:23:00,江上飄,新北市,鶯歌區,後村堰,,,,
細蟌科,亞東細蟌,40927,2018-10-15,15:00:00,3aolyhoo,基隆市,安樂區,澳底橋,,,,
細蟌科,亞東細蟌,41325,2018-10-15,08:00:00,hsulan,台北市,大安區,台大體育館,18,25.021403331488195,121.53596594032274,
細蟌科,亞東細蟌,40855,2018-10-14,10:30:00,skink,台北市,文山區,臺北市立動物園檢疫舍沉砂池,37,24.999613548315686,121.58756822347641,
細蟌科,亞東細蟌,40875,2018-10-14,15:20:00,skink,台北市,文山區,臺北市立動物園木屑堆置場,49,24.99833652318876,121.58861048946903,
細蟌科,亞東細蟌,40940,2018-10-14,14:30:00,趙偉凱,宜蘭縣,壯圍鄉,蘭陽溪口北岸防風林第五條,10,24.72753621399412,121.82500513092145,
細蟌科,亞東細蟌,40941,2018-10-14,14:30:00,趙偉凱,宜蘭縣,壯圍鄉,蘭陽溪口北岸防風林第五條內,10,24.72753621399412,121.82500513092145,
細蟌科,亞東細蟌,40986,2018-10-14,15:22:00,tasmanliu,台北市,北投區,洲美橋下,0,,,
細蟌科,亞東細蟌,41099,2018-10-14,09:44:00,skink,台北市,文山區,臺北市立動物園熱帶雨林館,44,24.996341493750894,121.5824693441391,
細蟌科,亞東細蟌,41304,2018-10-14,11:00:00,hsulan,新北市,林口區,水牛坑越野場地,12,25.120920258847832,121.31845079073787,
細蟌科,亞東細蟌,40686,2018-10-13,08:00:00,3aolyhoo,基隆市,安樂區,澳底橋,,,,
細蟌科,亞東細蟌,40687,2018-10-13,06:30:00,3aolyhoo,基隆市,安樂區,內寮濕地,,,,
細蟌科,亞東細蟌,40821,2018-10-13,11:05:00,skink,基隆市,安樂區,內寮生態公園,62,25.155579001514873,121.69482707977295,
細蟌科,亞東細蟌,40845,2018-10-13,13:55:00,skink,新北市,八里區,北堤沙灘,2,25.16533910410895,121.40991841426546,
細蟌科,亞東細蟌,41065,2018-10-13,11:30:00,liou5417,新北市,八里區,挖仔尾,,,,
細蟌科,亞東細蟌,41294,2018-10-13,11:00:00,hsulan,新北市,八里區,新北北堤,7,25.166940669769065,121.41291618347168,
細蟌科,亞東細蟌,40652,2018-10-12,07:30:00,hsulan,台北市,大安區,霧裡薜圳支流遺址,19,25.021603502711752,121.53325929387097,
