Species Family,Species,ID,Date,Time,User,City,District,Place,Altitude,Latitude,Longitude,Description,weather
細蟌科,蔚藍細蟌,79241,2021-06-09,10:00:00,bikupeter,桃園市,桃園區,桃園1-4號生態埤塘,108,24.980845455025655,121.29000663757324,
細蟌科,蔚藍細蟌,76933,2021-04-17,09:07:00,skink,宜蘭縣,員山鄉,深溝水源生態園區,25,24.722564981781126,121.70472845816153,
細蟌科,蔚藍細蟌,76174,2021-03-26,19:47:00,lyajhoo,台中市,清水區,高北野塘,8,24.325655789779802,120.55713750658401,
細蟌科,蔚藍細蟌,75442,2021-02-20,09:40:00,skink,宜蘭縣,員山鄉,深溝水源生態園區,25,24.722564981781126,121.70472845816153,
細蟌科,蔚藍細蟌,73543,2020-12-18,09:40:00,skink,宜蘭縣,員山鄉,深溝水源生態園區,25,24.722564981781126,121.70472845816153,
細蟌科,蔚藍細蟌,72615,2020-11-26,09:34:00,skink,宜蘭縣,員山鄉,深溝水源生態園區,25,24.722564981781126,121.70472845816153,
細蟌科,蔚藍細蟌,71890,2020-11-01,15:45:00,lily,台南市,東山區,正宗東山鴨頭,,,,
細蟌科,蔚藍細蟌,71046,2020-10-11,11:25:00,lyajhoo,台中市,清水區,高北野塘,8,24.325655789779802,120.55713750658401,
細蟌科,蔚藍細蟌,68476,2020-08-19,09:32:00,skink,連江縣,莒光鄉,東莒福正水庫,32,25.965645834645073,119.97836351394652,
細蟌科,蔚藍細蟌,68444,2020-08-18,09:56:00,skink,連江縣,莒光鄉,東莒福正水庫,32,25.965645834645073,119.97836351394652,
細蟌科,蔚藍細蟌,68409,2020-08-17,10:00:00,skink,連江縣,莒光鄉,東莒福正水庫,32,25.965645834645073,119.97836351394652,
細蟌科,蔚藍細蟌,68328,2020-08-16,15:52:00,skink,連江縣,南竿鄉,志清發電廠水池,77,26.149221496661553,119.93030369281767,
細蟌科,蔚藍細蟌,67649,2020-08-08,07:55:00,趙偉凱,宜蘭縣,員山鄉,深溝水源生態園區,25,24.721295657730842,121.70601725578307,
細蟌科,蔚藍細蟌,67673,2020-08-08,08:05:00,skink,宜蘭縣,員山鄉,深溝水源生態園區,25,24.722564981781126,121.70472845816153,
細蟌科,蔚藍細蟌,67356,2020-08-02,09:00:00,yangda,宜蘭縣,頭城鎮,龜山島,,,,
細蟌科,蔚藍細蟌,67357,2020-07-25,09:00:00,yangda,宜蘭縣,頭城鎮,龜山島,,,,
細蟌科,蔚藍細蟌,65916,2020-07-11,08:05:00,skink,宜蘭縣,員山鄉,深溝水源生態園區,25,24.722564981781126,121.70472845816153,
細蟌科,蔚藍細蟌,65905,2020-07-10,10:00:00,趙偉凱,高雄市,鳳山區,衛武營,,,,
細蟌科,蔚藍細蟌,65583,2020-07-05,08:52:00,skink,連江縣,莒光鄉,東莒福正水庫,32,25.965645834645073,119.97836351394652,
細蟌科,蔚藍細蟌,65674,2020-07-05,15:02:00,skink,連江縣,南竿鄉,津沙水庫,63,26.145672517882684,119.9156641960144,
細蟌科,蔚藍細蟌,65452,2020-07-04,09:04:00,skink,連江縣,南竿鄉,津沙水庫,63,26.145672517882684,119.9156641960144,
細蟌科,蔚藍細蟌,64700,2020-06-17,09:07:00,skink,連江縣,南竿鄉,志清發電廠水池,77,26.149221496661553,119.93030369281767,
細蟌科,蔚藍細蟌,64729,2020-06-17,10:19:00,skink,連江縣,南竿鄉,津沙水庫,63,26.145672517882684,119.9156641960144,
細蟌科,蔚藍細蟌,64532,2020-06-16,09:11:00,skink,連江縣,莒光鄉,東莒福正水庫,32,25.965645834645073,119.97836351394652,
細蟌科,蔚藍細蟌,64575,2020-06-16,10:51:00,skink,連江縣,莒光鄉,東莒福正水庫,32,25.965645834645073,119.97836351394652,
細蟌科,蔚藍細蟌,64391,2020-06-15,14:02:00,skink,連江縣,南竿鄉,津沙水庫,63,26.145672517882684,119.9156641960144,
