Species Family,Species,ID,Date,Time,User,City,Dictrict,Place,Altitude,Latitude,Longitude,Description
勾蜓科,斑翼勾蜓,66451,2020/7/16,12:28:00,skink,新北市,深坑區,清涼山北德寺,288,24.99336108,121.6179764,
勾蜓科,斑翼勾蜓,65523,2020/7/7,08:40:00,allenhu1999925,宜蘭縣,大同鄉,北橫67k,,,,
勾蜓科,斑翼勾蜓,63552,2020/6/30,14:00:00,allenhu1999925,宜蘭縣,礁溪鄉,櫻花陵園,,,,
勾蜓科,斑翼勾蜓,66205,2020/6/26,06:43:00,lyajhoo,屏東縣,獅子鄉,內文一號橋,318,22.22260811,120.8507466,
勾蜓科,斑翼勾蜓,66219,2020/6/26,11:00:00,lyajhoo,台東縣,達仁鄉,安朔國小附近,41,22.29207455,120.865016,
勾蜓科,斑翼勾蜓,64773,2020/6/24,10:00:00,neo,宜蘭縣,員山鄉,阿玉山林道至草埤,589,24.75821126,121.6136312,
勾蜓科,斑翼勾蜓,64354,2020/6/14,10:00:00,neo,宜蘭縣,員山鄉,福山植物園,,,,
勾蜓科,斑翼勾蜓,63428,2020/5/31,10:30:00,Leo,屏東縣,獅子鄉,內文三號橋,319,22.2235417,120.8564919,
勾蜓科,斑翼勾蜓,63702,2020/5/31,09:05:00,skink,宜蘭縣,冬山鄉,三富休閒農場,74,24.61822778,121.7531919,
勾蜓科,斑翼勾蜓,62745,2020/5/5,09:00:00,趙偉凱,宜蘭縣,大同鄉,出水溪清靜寺,236,24.61450184,121.6661596,
勾蜓科,斑翼勾蜓,62717,2020/5/4,07:00:00,allenhu1999925,屏東縣,獅子鄉,內文,,,,
勾蜓科,斑翼勾蜓,62842,2020/5/4,14:00:00,rswu,屏東縣,獅子鄉,內文溪一號橋,320,22.22125736,120.8501244,
勾蜓科,斑翼勾蜓,61986,2020/4/16,12:06:00,skink,台北市,士林區,田仔尾橋,352,25.13480966,121.5863156,
勾蜓科,斑翼勾蜓,62005,2020/4/16,14:13:00,skink,台北市,士林區,大崎頭步道,332,25.13083144,121.5854364,
勾蜓科,斑翼勾蜓,51924,2019/7/30,07:35:00,Tyus Ma,新北市,三芝區,二子坪蝴蝶步道往面天山,835,25.17839504,121.5140891,
勾蜓科,斑翼勾蜓,51268,2019/7/15,06:59:00,Tyus Ma,台北市,士林區,聖人瀑布,252,25.12679824,121.5889388,
勾蜓科,斑翼勾蜓,51264,2019/7/13,09:00:00,joanne,新北市,萬里區,鏡湖,,,,
勾蜓科,斑翼勾蜓,51184,2019/7/12,10:00:00,neo,宜蘭縣,員山鄉,阿玉山林道,581,24.75786053,121.6138458,
勾蜓科,斑翼勾蜓,50984,2019/7/7,15:16:00,skink,宜蘭縣,員山鄉,雙連埤,469,24.75074815,121.6403675,
勾蜓科,斑翼勾蜓,50902,2019/7/6,10:00:00,Jasonlin,台北市,士林區,帕米爾公園,,,,
勾蜓科,斑翼勾蜓,50962,2019/7/6,13:25:00,skink,台北市,士林區,福田園教育休閒農場,432,25.14382293,121.5683073,
勾蜓科,斑翼勾蜓,50696,2019/7/1,09:00:00,allenhu1999925,宜蘭縣,員山鄉,冷埤前粗坑溪,,,,
勾蜓科,斑翼勾蜓,50567,2019/6/29,09:00:00,ysc3679,新北市,雙溪區,泰平里,386,24.97236484,121.8280792,
勾蜓科,斑翼勾蜓,50508,2019/6/28,09:00:00,allenhu1999925,宜蘭縣,大同鄉,北橫64k,,,,
勾蜓科,斑翼勾蜓,50509,2019/6/28,10:30:00,allenhu1999925,宜蘭縣,大同鄉,北橫63.5k,,,,
勾蜓科,斑翼勾蜓,50149,2019/6/23,09:15:41,ysc3679,南投縣,竹山鎮,大鞍里,,,,
勾蜓科,斑翼勾蜓,50237,2019/6/21,10:54:00,skink,新北市,三峽區,滿月圓森林遊樂區處女瀑布,601,24.81938506,121.4535356,
勾蜓科,斑翼勾蜓,50144,2019/6/19,16:00:00,neo,宜蘭縣,員山鄉,福山植物園,669,24.75934141,121.5850067,
勾蜓科,斑翼勾蜓,50301,2019/6/17,11:00:00,吳登立,雲林縣,古坑鄉,嵙角溪中游,359,23.59381088,120.5927342,
勾蜓科,斑翼勾蜓,49601,2019/6/8,13:00:00,3aolyhoo,基隆市,七堵區,天使宮,,,,
勾蜓科,斑翼勾蜓,48856,2019/5/26,10:40:00,3aolyhoo,新北市,深坑區,阿柔洋產業道路,,,,
勾蜓科,斑翼勾蜓,48870,2019/5/24,14:20:00,tasmanliu,屏東縣,獅子鄉,內文,0,,,
勾蜓科,斑翼勾蜓,47503,2019/4/25,10:00:00,roach,屏東縣,獅子鄉,內文,308,22.22336293,120.8497596,
勾蜓科,斑翼勾蜓,38318,2018/8/11,14:55:00,skink,宜蘭縣,員山鄉,冷埤林道(從冷埤到內城國中小化育分校),235,24.72202375,121.6580887,
勾蜓科,斑翼勾蜓,38041,2018/8/8,09:06:00,江上飄,新北市,三峽區,滿月圓森林遊樂區,345,24.83683416,121.4461899,
勾蜓科,斑翼勾蜓,38559,2018/8/8,10:30:00,liou5417,新北市,三峽區,滿月圓,,,,
勾蜓科,斑翼勾蜓,37755,2018/8/2,11:37:00,skink,桃園市,復興區,東眼山林道1.7公里溪溝,867,24.83650135,121.4100401,
勾蜓科,斑翼勾蜓,37500,2018/7/29,08:34:00,3aolyhoo,新北市,淡水區,二子坪,0,,,
勾蜓科,斑翼勾蜓,37506,2018/7/29,11:00:00,neo,宜蘭縣,員山鄉,雙溪口,494,24.75447,121.62322,
勾蜓科,斑翼勾蜓,37322,2018/7/23,11:00:00,allenhu1999925,宜蘭縣,員山鄉,阿玉林道至草埤,,,,
勾蜓科,斑翼勾蜓,37131,2018/7/18,10:00:00,skink,台北市,文山區,臺北市立動物園雨林區,46,24.9951807,121.5832686,
勾蜓科,斑翼勾蜓,36527,2018/7/4,16:37:00,skink,台北市,文山區,新光路二段74巷土地公廟,161,24.98687138,121.5971977,
勾蜓科,斑翼勾蜓,36532,2018/7/4,16:57:00,skink,台北市,文山區,猴山坑涼亭,324,24.98477435,121.60007,
勾蜓科,斑翼勾蜓,36536,2018/7/4,17:50:00,skink,台北市,文山區,萬壽路,182,24.98241768,121.5893484,
勾蜓科,斑翼勾蜓,36460,2018/7/2,16:00:00,neo,宜蘭縣,員山鄉,雙溪口,494,24.75447,121.62322,
勾蜓科,斑翼勾蜓,36422,2018/7/1,15:00:00,neo,宜蘭縣,員山鄉,雙溪口,494,24.75447,121.62322,
勾蜓科,斑翼勾蜓,36425,2018/7/1,11:45:00,cclin,桃園市,復興區,西村,1208,24.64815811,121.444886,
勾蜓科,斑翼勾蜓,36231,2018/6/25,14:35:00,skink,宜蘭縣,冬山鄉,牛寮坑瀑布,73,24.61536262,121.8020162,
勾蜓科,斑翼勾蜓,36191,2018/6/24,12:44:00,skink,新北市,汐止區,白匏湖福德宮,92,25.05283583,121.6517675,
勾蜓科,斑翼勾蜓,36201,2018/6/21,16:20:00,neo,宜蘭縣,大同鄉,北橫64km攔砂壩,1111,24.64619804,121.4619255,
勾蜓科,斑翼勾蜓,35738,2018/6/9,09:41:00,martina,宜蘭縣,員山鄉,阿玉林道,587,24.75861649,121.6131487,
勾蜓科,斑翼勾蜓,35739,2018/6/9,14:09:00,martina,宜蘭縣,大同鄉,台7縣67K,1186,24.64481397,121.4769235,
勾蜓科,斑翼勾蜓,35334,2018/6/3,14:30:00,skink,宜蘭縣,大同鄉,微丹民宿,200,24.66798313,121.5890087,
勾蜓科,斑翼勾蜓,35342,2018/6/3,10:30:00,allenhu1999925,宜蘭縣,大同鄉,松蘿湖登山口停車場,668,24.67663833,121.5768528,
勾蜓科,斑翼勾蜓,35742,2018/6/3,10:00:00,martina,宜蘭縣,員山鄉,冷埤,349,24.72253558,121.6469937,
勾蜓科,斑翼勾蜓,34881,2018/5/21,09:30:00,skink,屏東縣,獅子鄉,內文一號橋,305,22.22267267,120.8508325,
勾蜓科,斑翼勾蜓,34903,2018/5/21,11:49:00,skink,屏東縣,獅子鄉,內文三號橋,317,22.22336293,120.8551669,
勾蜓科,斑翼勾蜓,36106,2018/5/21,08:00:00,liou5417,宜蘭縣,員山鄉,阿玉山林道入口處,,,,
勾蜓科,斑翼勾蜓,34785,2018/5/20,09:05:00,skink,屏東縣,滿州鄉,港仔山草澤,365,22.14231543,120.8558321,
勾蜓科,斑翼勾蜓,34585,2018/5/19,09:00:00,秋寒煙,新北市,瑞芳區,猴洞,,,,
勾蜓科,斑翼勾蜓,34139,2018/5/10,14:35:00,skink,台北市,文山區,臺北市立動物園體能鍛鍊場,112,24.99155271,121.5920153,
勾蜓科,斑翼勾蜓,26254,2017/8/15,07:50:00,skink,基隆市,七堵區,櫻花步道(仙洞湖亭到茶花園),62,25.12292088,121.6804177,
勾蜓科,斑翼勾蜓,25651,2017/8/13,08:55:00,allenhu1999925,宜蘭縣,大同鄉,北橫 60.3k,0,,,
勾蜓科,斑翼勾蜓,25223,2017/8/5,10:00:00,fernslu,桃園市,復興區,霞雲坪庫志道路,423,24.80989159,121.3870465,
勾蜓科,斑翼勾蜓,24838,2017/7/28,08:02:38,Tyus Ma,新竹縣,五峰鄉,大鹿林道6.8K攔砂壩,,,,
勾蜓科,斑翼勾蜓,24829,2017/7/27,11:50:00,skink,基隆市,暖暖區,暖東峽谷,151,25.07633597,121.7544848,
勾蜓科,斑翼勾蜓,24143,2017/7/11,09:53:58,Tyus Ma,宜蘭縣,大同鄉,台7線63.5K,1110,24.64436141,121.4575267,
勾蜓科,斑翼勾蜓,24148,2017/7/11,11:13:24,Tyus Ma,宜蘭縣,大同鄉,台7線64K攔砂壩,1127,24.64619469,121.4623976,
勾蜓科,斑翼勾蜓,24151,2017/7/11,10:00:00,Leo,宜蘭縣,大同鄉,北橫63.5k,1085,24.64348233,121.4600706,
勾蜓科,斑翼勾蜓,25109,2017/7/7,10:00:00,allenhu1999925,宜蘭縣,員山鄉,雙連埤,469,24.75078712,121.6354537,
勾蜓科,斑翼勾蜓,23839,2017/7/3,10:00:00,Leo,宜蘭縣,大同鄉,北橫63.5k,1085,24.64348233,121.4600706,
勾蜓科,斑翼勾蜓,23607,2017/6/27,11:00:00,neo,宜蘭縣,員山鄉,雙溪口,494,24.75447,121.62322,
勾蜓科,斑翼勾蜓,23491,2017/6/26,09:30:00,Leo,宜蘭縣,大同鄉,北橫63.9k,1095,24.64566912,121.4610612,
勾蜓科,斑翼勾蜓,23424,2017/6/25,12:00:00,Leo,宜蘭縣,大同鄉,北橫63.9k,1095,24.64566912,121.4610612,
勾蜓科,斑翼勾蜓,23507,2017/6/25,12:00:00,簡庭威,宜蘭縣,大同鄉,北橫63.9K,1103,24.64604202,121.461668,
勾蜓科,斑翼勾蜓,23509,2017/6/25,09:06:00,江上飄,基隆市,七堵區,天使宮,117,25.11442477,121.6853428,
勾蜓科,斑翼勾蜓,23361,2017/6/24,09:22:00,天空遊民,新竹縣,關西鎮,石牛山溪,328,24.78132,121.24476,
勾蜓科,斑翼勾蜓,23310,2017/6/23,12:50:00,江上飄,新北市,鶯歌區,百年大榕樹,330,24.97611894,121.3685739,
勾蜓科,斑翼勾蜓,23562,2017/6/22,10:00:00,roach,新北市,雙溪區,丁子蘭溪支流,183,25.01587043,121.8645734,
勾蜓科,斑翼勾蜓,22895,2017/6/13,05:20:00,skink,屏東縣,獅子鄉,內文一號橋,305,22.22267267,120.8508325,
勾蜓科,斑翼勾蜓,22912,2017/6/13,07:50:00,skink,屏東縣,獅子鄉,內文三號橋,317,22.22336293,120.8551669,
勾蜓科,斑翼勾蜓,22860,2017/6/12,12:05:00,skink,台東縣,達仁鄉,森永,49,22.2875428,120.8620468,
勾蜓科,斑翼勾蜓,22713,2017/6/11,15:00:00,cclin,宜蘭縣,員山鄉,阿玉山林道,,,,
勾蜓科,斑翼勾蜓,22809,2017/6/11,10:15:00,skink,屏東縣,滿州鄉,港仔山草澤,365,22.14231543,120.8558321,
勾蜓科,斑翼勾蜓,22562,2017/6/10,08:30:00,Tyus Ma,宜蘭縣,員山鄉,阿玉林道至草埤,659,24.76224132,121.6103268,
勾蜓科,斑翼勾蜓,25116,2017/6/10,08:30:00,allenhu1999925,宜蘭縣,員山鄉,阿玉林道至草埤,,,,
勾蜓科,斑翼勾蜓,22634,2017/6/9,08:04:00,江上飄,宜蘭縣,員山鄉,草埤,808,24.76730085,121.6079664,
勾蜓科,斑翼勾蜓,22037,2017/5/24,11:10:00,skink,宜蘭縣,冬山鄉,仁山植物園,74,24.6212026,121.7549086,
勾蜓科,斑翼勾蜓,21648,2017/5/15,08:00:00,neo,宜蘭縣,員山鄉,阿玉山林道至草埤,589,24.75821126,121.6136312,
勾蜓科,斑翼勾蜓,32385,2017/5/4,08:59:00,fisher1952,屏東縣,牡丹鄉,內文溪,318,22.22377013,120.8596434,
勾蜓科,斑翼勾蜓,20929,2017/4/21,09:14:00,江上飄,桃園市,大溪區,永福里,231,24.90974554,121.3223076,
勾蜓科,斑翼勾蜓,16083,2016/8/14,10:27:00,skink,宜蘭縣,大同鄉,明池台七線64K攔砂壩,1116,24.64594451,121.4622205,
勾蜓科,斑翼勾蜓,15482,2016/7/25,13:30:00,趙偉凱,桃園市,復興區,北橫60.3K,1183,24.64758274,121.444636,
勾蜓科,斑翼勾蜓,15355,2016/7/19,08:00:00,趙偉凱,宜蘭縣,大同鄉,明池前轉角,,,,
勾蜓科,斑翼勾蜓,15248,2016/7/17,11:02:00,skink,新北市,新店區,翡翠水庫管理局駐衛警察隊,99,24.90486865,121.5617801,
勾蜓科,斑翼勾蜓,14668,2016/7/3,10:18:00,skink,台北市,士林區,聖人橋,235,25.12446009,121.5880966,
勾蜓科,斑翼勾蜓,14686,2016/7/3,11:10:00,skink,台北市,士林區,天溪園生態教育中心停車場,338,25.13225513,121.5921897,
勾蜓科,斑翼勾蜓,14714,2016/7/3,13:15:00,skink,台北市,士林區,頭湖,535,25.15297635,121.5652804,
勾蜓科,斑翼勾蜓,14749,2016/7/3,11:00:00,iluen,宜蘭縣,大同鄉,明池,1173,24.65319938,121.4701223,
勾蜓科,斑翼勾蜓,14647,2016/7/2,10:30:00,skink,新北市,坪林區,坪林茶葉博物館,199,24.93430428,121.7123044,
勾蜓科,斑翼勾蜓,14373,2016/6/29,08:35:00,skink,新竹縣,關西鎮,金廣成文化館,217,24.78821589,121.2123799,
勾蜓科,斑翼勾蜓,14236,2016/6/26,11:00:00,skink,基隆市,七堵區,富民親水公園,95,25.13316331,121.67371,
勾蜓科,斑翼勾蜓,14033,2016/6/20,05:48:00,江上飄,屏東縣,獅子鄉,內文溪(一號橋下游),51,22.54947701,120.6199734,
勾蜓科,斑翼勾蜓,13870,2016/6/19,12:00:00,skink,新北市,新店區,翡翠水庫大壩公廁後山溝,213,24.91220815,121.5777647,
勾蜓科,斑翼勾蜓,13877,2016/6/19,12:30:00,skink,新北市,新店區,翡翠水庫大壩左岸山溝,101,24.90788527,121.5749806,
勾蜓科,斑翼勾蜓,13882,2016/6/19,13:10:00,skink,新北市,新店區,翡翠水庫二號橋,67,24.90489866,121.567845,
勾蜓科,斑翼勾蜓,13644,2016/6/15,12:00:00,skink,基隆市,七堵區,大同街52號,79,25.13071823,121.6936547,
