Species Family,Species,ID,Date,Time,User,City,District,Place,Altitude,Latitude,Longitude,Description
弓蜓科,海神弓蜓,71915,2020-11-05,13:28:00,王振芳,南投縣,集集鎮,7-ELEVEN 集寶門市,243,23.827867513050602,120.79229593276978,
弓蜓科,海神弓蜓,73309,2020-08-21,07:08:00,skink,新竹縣,關西鎮,渡船頭,126,24.78504138570657,121.17604285480411,
弓蜓科,海神弓蜓,73335,2020-08-21,09:38:00,skink,新竹縣,關西鎮,壽桃橋,218,24.769766385811515,121.22445240617708,
弓蜓科,海神弓蜓,67649,2020-08-08,07:55:00,趙偉凱,宜蘭縣,員山鄉,深溝水源生態園區,25,24.721295657730842,121.70601725578307,
弓蜓科,海神弓蜓,71915,2020-11-05,13:28:00,王振芳,南投縣,集集鎮,7-ELEVEN 集寶門市,243,23.827867513050602,120.79229593276978,
弓蜓科,海神弓蜓,67649,2020-08-08,07:55:00,趙偉凱,宜蘭縣,員山鄉,深溝水源生態園區,25,24.721295657730842,121.70601725578307,
弓蜓科,海神弓蜓,71915,2020-11-05,13:28:00,王振芳,南投縣,集集鎮,7-ELEVEN 集寶門市,243,23.827867513050602,120.79229593276978,
弓蜓科,海神弓蜓,67649,2020-08-08,07:55:00,趙偉凱,宜蘭縣,員山鄉,深溝水源生態園區,25,24.721295657730842,121.70601725578307,
弓蜓科,海神弓蜓,67677,2020-08-08,08:05:00,skink,宜蘭縣,員山鄉,深溝水源生態園區,25,24.722564981781126,121.70472845816153,
弓蜓科,海神弓蜓,67335,2020-08-02,08:00:00,Jasonlin,台北市,士林區,聖人瀑布,,,,
弓蜓科,海神弓蜓,67265,2020-08-01,09:00:00,Leo,南投縣,魚池鄉,田頂步道,576,23.921639078727754,120.92167496681212,
弓蜓科,海神弓蜓,67353,2020-07-31,08:06:00,cclin,新竹縣,關西鎮,壽桃橋,222,24.769804507077055,121.22456073760985,
弓蜓科,海神弓蜓,66971,2020-07-27,09:00:00,allenhu1999925,宜蘭縣,礁溪鄉,得子口溪,,,,
弓蜓科,海神弓蜓,66890,2020-07-24,07:47:00,cclin,新竹縣,關西鎮,壽桃橋,222,24.769804507077055,121.22456073760985,
弓蜓科,海神弓蜓,66555,2020-07-19,07:24:00,cclin,新竹縣,關西鎮,壽桃橋,222,24.769804507077055,121.22456073760985,
弓蜓科,海神弓蜓,66561,2020-07-19,08:00:00,Jasonlin,新竹縣,關西鎮,壽桃橋,,,,
弓蜓科,海神弓蜓,66519,2020-07-17,12:00:00,allenhu1999925,宜蘭縣,羅東鎮,中山路二段133巷,0,,,
弓蜓科,海神弓蜓,65906,2020-07-11,09:00:00,neo,宜蘭縣,大同鄉,崙埤河濱公園,136,24.67747674707302,121.611270904541,
弓蜓科,海神弓蜓,65432,2020-07-05,08:30:00,allenhu1999925,新竹縣,關西鎮,蛙子窟,,,,
弓蜓科,海神弓蜓,65537,2020-07-05,06:10:00,fisher1952,新竹縣,關西鎮,壽桃橋,233,24.773384355248428,121.23413709858698,
弓蜓科,海神弓蜓,65411,2020-07-03,08:21:00,cclin,桃園市,大溪區,百吉,281,24.825398050248264,121.3060140609741,
弓蜓科,海神弓蜓,64904,2020-06-27,07:35:00,Leo,屏東縣,獅子鄉,內文一號橋,306,22.224142579991735,120.84956109523772,
弓蜓科,海神弓蜓,64909,2020-06-27,09:00:00,Jasonlin,基隆市,七堵區,大同街52號,,,,
弓蜓科,海神弓蜓,70533,2020-06-19,07:55:00,skink,新竹縣,關西鎮,天城橋,141,24.763140960313716,121.17379188537596,
弓蜓科,海神弓蜓,64114,2020-06-10,10:00:00,neo,宜蘭縣,員山鄉,大湖湖前橋,19,24.743635367147288,121.69182300567627,
弓蜓科,海神弓蜓,63875,2020-06-06,11:00:00,Leo,南投縣,魚池鄉,田頂步道,576,23.921639078727754,120.92167496681212,
弓蜓科,海神弓蜓,69224,2020-06-05,08:07:00,skink,新竹縣,關西鎮,錦山里石牛坑溪登山口,311,24.784942288562245,121.2491512298584,
弓蜓科,海神弓蜓,63387,2020-05-30,07:30:00,allenhu1999925,宜蘭縣,員山鄉,湖前橋,,,,
弓蜓科,海神弓蜓,67785,2020-05-24,11:05:00,skink,新竹縣,關西鎮,錦山里而完窩溪源流,558,24.763667042793838,121.25746607780455,
弓蜓科,海神弓蜓,67390,2020-05-20,13:38:00,skink,新竹縣,關西鎮,湖肚茄苳窩,163,24.78379554158035,121.18742529305109,
弓蜓科,海神弓蜓,63103,2020-05-16,07:45:00,Leo,南投縣,魚池鄉,田頂步道,576,23.921639078727754,120.92167496681212,
弓蜓科,海神弓蜓,63106,2020-05-16,11:00:00,Leo,南投縣,埔里鎮,水上步道,574,23.92687603789487,120.91460466384888,
弓蜓科,海神弓蜓,71410,2020-05-16,10:31:00,regina,嘉義縣,番路鄉,草山村,,,,
弓蜓科,海神弓蜓,63027,2020-05-11,09:21:00,tasmanliu,屏東縣,獅子鄉,內文,305,22.22267266519259,120.85083246231079,
弓蜓科,海神弓蜓,63030,2020-05-11,09:21:00,tasmanliu,屏東縣,獅子鄉,內文,0,,,
弓蜓科,海神弓蜓,62895,2020-05-10,09:30:00,neo,宜蘭縣,員山鄉,大湖湖前橋,19,24.743635367147288,121.69182300567627,
弓蜓科,海神弓蜓,67127,2020-05-09,08:51:00,skink,新竹縣,關西鎮,壽桃橋,218,24.769766385811515,121.22445240617708,
弓蜓科,海神弓蜓,66088,2020-05-08,08:38:00,skink,新竹縣,關西鎮,錦山里石牛坑溪登山口,311,24.784942288562245,121.2491512298584,
弓蜓科,海神弓蜓,62787,2020-05-06,08:18:00,tasmanliu,屏東縣,牡丹鄉,高士,0,,,
弓蜓科,海神弓蜓,62794,2020-05-06,14:27:00,tasmanliu,屏東縣,獅子鄉,內文,0,,,
弓蜓科,海神弓蜓,62965,2020-05-06,14:27:00,tasmanliu,屏東縣,獅子鄉,內文,0,,,
弓蜓科,海神弓蜓,62694,2020-05-04,07:00:00,macintosh,屏東縣,獅子鄉,內文,376,22.237485324669706,120.84059715270996,
弓蜓科,海神弓蜓,62717,2020-05-04,07:00:00,allenhu1999925,屏東縣,獅子鄉,內文,,,,
弓蜓科,海神弓蜓,62632,2020-05-03,13:30:00,skink,宜蘭縣,南澳鄉,朝陽福德廟,18,24.46123759163318,121.81871831417084,
弓蜓科,海神弓蜓,62503,2020-05-01,12:21:00,skink,新北市,深坑區,清涼山北德寺,288,24.993361076999378,121.61797642707825,
弓蜓科,海神弓蜓,63926,2020-04-28,08:56:00,skink,新竹縣,關西鎮,錦山里石牛坑溪登山口,311,24.784942288562245,121.2491512298584,
弓蜓科,海神弓蜓,58548,2019-12-23,11:00:11,cgwn,新竹縣,竹東鎮,上坪惠昌大橋下,0,,,
弓蜓科,海神弓蜓,56889,2019-10-28,12:00:00,skink,台北市,文山區,臺北市立動物園保育區,53,24.996867799640658,121.58813148736954,
弓蜓科,海神弓蜓,55799,2019-10-15,11:05:00,skink,宜蘭縣,員山鄉,深溝水源生態園區,25,24.722564981781126,121.70472845816153,
弓蜓科,海神弓蜓,55035,2019-10-04,12:20:00,skink,新北市,深坑區,清涼山北德寺,288,24.993361076999378,121.61797642707825,
弓蜓科,海神弓蜓,58094,2019-09-03,08:00:00,skink,新竹縣,關西鎮,渡船頭,126,24.78504138570657,121.17604285480411,
弓蜓科,海神弓蜓,52819,2019-08-17,08:25:00,Leo,基隆市,七堵區,大同街52號,79,25.13064274339576,121.69378101825714,
弓蜓科,海神弓蜓,52820,2019-08-17,08:22:32,Tyus Ma,基隆市,七堵區,大同街,90,25.13199439727633,121.69002056121826,
弓蜓科,海神弓蜓,57065,2019-08-17,11:10:00,skink,新竹縣,關西鎮,壽桃橋,218,24.769766385811515,121.22445240617708,
弓蜓科,海神弓蜓,57776,2019-08-15,14:42:00,王振芳,雲林縣,斗六市,鎮南國小,54,23.69871513604059,120.5398241399505,
弓蜓科,海神弓蜓,52736,2019-08-04,09:00:00,liou5417,花蓮縣,光復鄉,芙登溪,,,,
弓蜓科,海神弓蜓,56536,2019-08-04,08:05:00,skink,新竹縣,關西鎮,渡船頭,126,24.78504138570657,121.17604285480411,
弓蜓科,海神弓蜓,56558,2019-08-04,10:55:00,skink,新竹縣,關西鎮,壽桃橋,218,24.769766385811515,121.22445240617708,
弓蜓科,海神弓蜓,52244,2019-08-03,09:00:00,neo,南投縣,中寮鄉,中寮廣福橋,210,23.87181,120.7765,
弓蜓科,海神弓蜓,51746,2019-07-23,09:36:00,skink,屏東縣,牡丹鄉,東源水上草原步道,290,22.198928428026548,120.84986686706543,
弓蜓科,海神弓蜓,51633,2019-07-21,10:00:00,skink,屏東縣,牡丹鄉,東源水上草原步道,290,22.198928428026548,120.84986686706543,
弓蜓科,海神弓蜓,56084,2019-07-17,10:15:00,skink,新竹縣,關西鎮,壽桃橋,218,24.769766385811515,121.22445240617708,
弓蜓科,海神弓蜓,51268,2019-07-15,06:59:00,Tyus Ma,台北市,士林區,聖人瀑布,252,25.126798241398173,121.58893883228302,
弓蜓科,海神弓蜓,51327,2019-07-15,12:00:00,neo,屏東縣,獅子鄉,內文村,327,22.22455474928101,120.86166858673096,
弓蜓科,海神弓蜓,51262,2019-07-14,08:00:00,neo,新竹縣,關西鎮,石牛山溪,294,24.785007314216603,121.24964758831995,
弓蜓科,海神弓蜓,51221,2019-07-13,08:38:00,skink,宜蘭縣,員山鄉,深溝水源生態園區,25,24.722564981781126,121.70472845816153,
弓蜓科,海神弓蜓,51097,2019-07-08,07:00:00,neo,宜蘭縣,員山鄉,大湖湖前橋,19,24.743635367147288,121.69182300567627,
弓蜓科,海神弓蜓,51112,2019-07-06,10:30:00,王振芳,南投縣,魚池鄉,山楂腳巷,639,23.898943135724608,120.91063499450682,
弓蜓科,海神弓蜓,55893,2019-07-03,08:15:00,skink,新竹縣,關西鎮,錦山里錦發橋,241,24.775513050757304,121.23855113983154,
弓蜓科,海神弓蜓,55909,2019-07-03,10:35:00,skink,新竹縣,關西鎮,壽桃橋,218,24.769766385811515,121.22445240617708,
弓蜓科,海神弓蜓,50811,2019-07-02,11:00:00,allenhu1999925,宜蘭縣,礁溪鄉,得子口溪,93,24.830919119658653,121.74660602510664,
弓蜓科,海神弓蜓,50567,2019-06-29,09:00:00,ysc3679,新北市,雙溪區,泰平里,386,24.972364838003802,121.82807922363281,
弓蜓科,海神弓蜓,50221,2019-06-25,08:00:00,allenhu1999925,宜蘭縣,員山鄉,湖前橋,,,,
弓蜓科,海神弓蜓,50143,2019-06-22,09:00:00,neo,宜蘭縣,員山鄉,大湖湖前橋,19,24.743635367147288,121.69182300567627,
弓蜓科,海神弓蜓,49784,2019-06-15,12:00:00,3aolyhoo,新北市,汐止區,鄉長路,,,,
