Species Family,Species,ID,Date,Time,User,City,District,Place,Altitude,Latitude,Longitude,Description
幽蟌科,短腹幽蟌,76254,2021-03-29,12:26:00,skink,台北市,文山區,小坑溪,105,24.982829368184813,121.58337593078613,
幽蟌科,短腹幽蟌,76178,2021-03-27,09:21:37,天空遊民,新竹縣,關西鎮,牛欄河親水公園,144,24.79182582059713,121.18066045310377,
幽蟌科,短腹幽蟌,76187,2021-03-27,10:23:58,天空遊民,新竹縣,關西鎮,四寮溪生態教室,214,24.78936443221541,121.20939016342163,
幽蟌科,短腹幽蟌,76230,2021-03-27,12:25:00,skink,南投縣,魚池鄉,五城派出所後面水社水尾溪,605,23.88097187073477,120.88739633560179,
幽蟌科,短腹幽蟌,76232,2021-03-27,12:52:00,skink,南投縣,魚池鄉,青螢露營區旁溪流,539,23.885621880673877,120.88773965835571,
幽蟌科,短腹幽蟌,76244,2021-03-27,15:50:00,skink,南投縣,魚池鄉,合興宮,570,23.902940225538234,120.89152693748474,
幽蟌科,短腹幽蟌,76178,2021-03-27,09:21:37,天空遊民,新竹縣,關西鎮,牛欄河親水公園,144,24.79182582059713,121.18066045310377,
幽蟌科,短腹幽蟌,76187,2021-03-27,10:23:58,天空遊民,新竹縣,關西鎮,四寮溪生態教室,214,24.78936443221541,121.20939016342163,
幽蟌科,短腹幽蟌,76163,2021-03-25,13:02:00,ying-o hsiung,新竹縣,峨眉鄉,石硬子,227,24.66859509463207,121.04583978652953,
幽蟌科,短腹幽蟌,76167,2021-03-25,13:40:00,熊光明,台北市,內湖區,,0,,,
幽蟌科,短腹幽蟌,76028,2021-03-19,12:28:00,skink,新北市,深坑區,清涼山北德寺,288,24.993361076999378,121.61797642707825,
幽蟌科,短腹幽蟌,76002,2021-03-17,09:13:00,skink,宜蘭縣,員山鄉,深溝水源生態園區,25,24.722564981781126,121.70472845816153,
幽蟌科,短腹幽蟌,75820,2021-03-11,12:21:00,skink,台北市,文山區,小坑溪,105,24.982829368184813,121.58337593078613,
