Species Family,Species,ID,Date,Time,User,City,Dictrict,Place,Altitude,Latitude,Longitude,Description
春蜓科,鉸剪春蜓,66560,2020-07-18,10:34:00,Fenabi,宜蘭縣,大同鄉,思源埡口,1959,24.39411380489678,121.35443329811095,
春蜓科,鉸剪春蜓,66639,2020-07-17,11:55:00,skink,台中市,和平區,思源菜園站,1939,24.391055435186516,121.35253429412842,
春蜓科,鉸剪春蜓,66026,2020-07-11,13:02:00,yosi,宜蘭縣,大同鄉,710林道,0,,,
春蜓科,鉸剪春蜓,66027,2020-07-11,13:02:00,yosi,宜蘭縣,大同鄉,思源埡口710林道,0,,,
春蜓科,鉸剪春蜓,66371,2020-07-10,08:53:00,tasmanliu,新竹縣,五峰鄉,大鹿林道,0,,,
春蜓科,鉸剪春蜓,62897,2020-05-10,11:50:00,Leo,南投縣,信義鄉,郡大林道19K支線,2110,23.605559557196518,120.93644320964813,
春蜓科,鉸剪春蜓,52437,2019-07-26,09:36:00,Fenabi,宜蘭縣,大同鄉,思源,2013,24.394455790518066,121.3584351539612,
春蜓科,鉸剪春蜓,50508,2019-06-28,09:00:00,allenhu1999925,宜蘭縣,大同鄉,北橫64k,,,,
春蜓科,鉸剪春蜓,49704,2019-06-09,12:19:00,tasmanliu,花蓮縣,秀林鄉,慈恩,0,,,
春蜓科,鉸剪春蜓,38557,2018-08-12,12:03:00,cclin,台中市,和平區,南湖大山登山口,1988,24.38893879744532,121.35477075646395,
春蜓科,鉸剪春蜓,37694,2018-08-01,09:29:00,neo,新竹縣,五峰鄉,大鹿林道9k,1135,24.529677463659564,121.09466671943665,
春蜓科,鉸剪春蜓,37723,2018-07-29,09:00:00,ysc3679,新竹縣,五峰鄉,大鹿林道,1370,24.534971715180596,121.1143087774933,
春蜓科,鉸剪春蜓,37232,2018-07-18,08:30:00,liou5417,宜蘭縣,大同鄉,章傑橋,,,,
春蜓科,鉸剪春蜓,37233,2018-07-18,10:00:00,liou5417,台中市,和平區,南湖大山登山口,,,,
春蜓科,鉸剪春蜓,37107,2018-07-17,09:08:00,江上飄,新北市,三峽區,滿月圓森林遊樂區,345,24.83683416316203,121.44618988080765,
春蜓科,鉸剪春蜓,36492,2018-07-01,11:06:00,fisher1952,宜蘭縣,大同鄉,130林道,1695,24.609761349095308,121.42169237136841,
春蜓科,鉸剪春蜓,36494,2018-07-01,08:03:00,mom460209,花蓮縣,秀林鄉,碧綠神木,,,,
春蜓科,鉸剪春蜓,36746,2018-07-01,10:35:00,lyajhoo,宜蘭縣,大同鄉,130林道,1710,24.59717800504951,121.42557274012017,
春蜓科,鉸剪春蜓,36359,2018-06-28,11:20:00,cclin,台中市,和平區,南湖大山登山口,1962,24.389912385588634,121.35267165209962,
春蜓科,鉸剪春蜓,35964,2018-06-18,10:00:00,ysc3679,新竹縣,五峰鄉,大鹿林道,1370,24.534971715180596,121.1143087774933,
