Species Family,Species,ID,Date,Time,User,City,Dictrict,Place,Altitude,Latitude,Longitude,Description
絲蟌科,隱紋絲蟌,69304,2020-09-05,12:00:00,yangda,新北市,貢寮區,雞母嶺,176,25.070177296248573,121.89711928367615,
絲蟌科,隱紋絲蟌,67487,2020-08-04,10:00:00,allenhu1999925,新北市,貢寮區,貢寮內寮,,,,
絲蟌科,隱紋絲蟌,67087,2020-07-25,09:40:00,chuntinglu,南投縣,埔里鎮,廣成里,575,24.01822381672978,120.94292879104614,
絲蟌科,隱紋絲蟌,67087,2020-07-25,09:40:00,chuntinglu,南投縣,埔里鎮,廣成里,575,24.01822381672978,120.94292879104614,
絲蟌科,隱紋絲蟌,66375,2020-07-09,08:27:00,tasmanliu,新北市,貢寮區,內坑蕭家莊,0,,,
絲蟌科,隱紋絲蟌,63867,2020-06-06,08:35:00,Leo,南投縣,魚池鄉,擅腳巷,637,23.900492942271054,120.91184735298155,
絲蟌科,隱紋絲蟌,63661,2020-05-28,12:35:00,skink,苗栗縣,銅鑼鄉,泳豐大閘蟹養殖場,229,24.426151922800823,120.81338558085565,
絲蟌科,隱紋絲蟌,63578,2020-05-27,13:00:00,skink,台南市,南化區,南化水庫源之旅休閒公園青蛙戲水生態池,134,23.092088991100457,120.53251810368238,
絲蟌科,隱紋絲蟌,63290,2020-05-23,12:00:00,Leo,南投縣,魚池鄉,擅腳巷,637,23.900492942271054,120.91184735298155,
絲蟌科,隱紋絲蟌,66123,2020-05-08,08:34:00,skink,新竹縣,關西鎮,東光十股公埤,205,24.77233779705628,121.20350807905197,
絲蟌科,隱紋絲蟌,62577,2020-05-02,11:49:00,skink,新北市,貢寮區,內坑蕭家莊,323,24.97063119953426,121.88694030046463,
絲蟌科,隱紋絲蟌,62533,2020-04-29,10:00:00,chuntinglu,南投縣,埔里鎮,廣成里,506,24.018008218947596,120.94694137573241,
絲蟌科,隱紋絲蟌,61471,2020-03-29,10:00:00,chuntinglu,南投縣,埔里鎮,廣成里,549,24.018204216946327,120.9433364868164,
絲蟌科,隱紋絲蟌,53729,2019-09-08,09:00:00,Leo,南投縣,魚池鄉,擅腳巷,637,23.900492942271054,120.91184735298155,
絲蟌科,隱紋絲蟌,53749,2019-09-08,09:00:00,allenhu1999925,南投縣,魚池鄉,擅腳巷,,,,
絲蟌科,隱紋絲蟌,52979,2019-08-23,11:59:00,ying-o hsiung,苗栗縣,銅鑼鄉,新隆村,473,24.415051388720443,120.82119941711426,
絲蟌科,隱紋絲蟌,52851,2019-08-18,09:20:00,Jasonlin,南投縣,魚池鄉,山楂巷,,,,
絲蟌科,隱紋絲蟌,52841,2019-08-17,10:22:00,yosi,新北市,貢寮區,吉林里,0,,,
絲蟌科,隱紋絲蟌,52247,2019-08-03,11:30:00,吳登立,南投縣,魚池鄉,新城村山楂巷,639,23.90977177512224,120.9147548675537,
絲蟌科,隱紋絲蟌,52186,2019-07-25,10:30:00,liou5417,新北市,貢寮區,,,,,
絲蟌科,隱紋絲蟌,51511,2019-07-21,09:15:00,Leo,南投縣,魚池鄉,擅腳巷,637,23.900492942271054,120.91184735298155,
絲蟌科,隱紋絲蟌,51011,2019-07-09,07:00:00,Leo,南投縣,魚池鄉,擅腳巷,637,23.900492942271054,120.91184735298155,
絲蟌科,隱紋絲蟌,51112,2019-07-06,10:30:00,王振芳,南投縣,魚池鄉,山楂腳巷,639,23.898943135724608,120.91063499450682,
