Species Family,Species,ID,Date,Time,User,City,Dictrict,Place,Altitude,Latitude,Longitude,Description
蜻蜓科,善變蜻蜓,69380,2020-09-08,07:50:00,chenjn,新北市,永和區,永和社大生態教育園區,7,25.005155908507557,121.53112649917603,
蜻蜓科,善變蜻蜓,69453,2020-09-08,09:32:00,skink,台北市,文山區,臺北市立動物園保育區,53,24.996867799640658,121.58813148736954,
蜻蜓科,善變蜻蜓,69462,2020-09-08,12:18:00,skink,台北市,文山區,小坑溪,105,24.982829368184813,121.58337593078613,
蜻蜓科,善變蜻蜓,69471,2020-09-08,13:59:00,skink,台北市,文山區,臺北市立動物園公務門,33,24.99973144761539,121.58284485340118,
蜻蜓科,善變蜻蜓,69473,2020-09-08,14:01:00,skink,台北市,文山區,臺北市立動物園節能屋,63,24.995481135207736,121.58548656832863,
蜻蜓科,善變蜻蜓,69475,2020-09-08,14:17:00,skink,台北市,文山區,臺北市立動物園新光特展館,36,24.997384379442142,121.58313721418381,
蜻蜓科,善變蜻蜓,69476,2020-09-08,14:18:00,skink,台北市,文山區,臺北市立動物園節能屋,63,24.995481135207736,121.58548656832863,
蜻蜓科,善變蜻蜓,69477,2020-09-08,14:21:00,skink,台北市,文山區,臺北市立動物園車輛調度場,49,24.997749022700436,121.58833533525467,
蜻蜓科,善變蜻蜓,69326,2020-09-07,13:00:00,Leo,南投縣,魚池鄉,蓮華池研究中心,653,23.91843697567722,120.88552951812744,
蜻蜓科,善變蜻蜓,69339,2020-09-07,09:34:00,skink,台北市,文山區,臺北市立動物園熱帶雨林館,44,24.996341493750894,121.5824693441391,
蜻蜓科,善變蜻蜓,69357,2020-09-07,10:19:00,skink,台北市,文山區,臺北市立動物園兒童動物園,27,24.99858040528338,121.58224537968636,
蜻蜓科,善變蜻蜓,69388,2020-09-07,10:32:00,skink,台北市,文山區,臺北市立動物園紅鶴池,27,24.998276538032474,121.581552028656,
蜻蜓科,善變蜻蜓,69393,2020-09-07,10:38:00,skink,台北市,文山區,臺北市立動物園臺灣動物區入口水池,29,24.997892448752204,121.58111482858658,
蜻蜓科,善變蜻蜓,69400,2020-09-07,10:41:00,skink,台北市,文山區,臺北市立動物園教育中心前長臂猿島水池,28,24.998046813892042,121.58179610967636,
蜻蜓科,善變蜻蜓,69406,2020-09-07,10:51:00,skink,台北市,文山區,臺北市立動物園臺灣動物區,32,24.9973199590207,121.58088147640228,
蜻蜓科,善變蜻蜓,69419,2020-09-07,11:02:00,skink,台北市,文山區,臺北市立動物園昆蟲館,65,24.993724516679826,121.58088952302933,
蜻蜓科,善變蜻蜓,69428,2020-09-07,11:21:00,skink,台北市,文山區,臺北市立動物園行政大樓附近,36,24.99698570157485,121.5824881196022,
蜻蜓科,善變蜻蜓,69446,2020-09-07,17:14:00,skink,台北市,文山區,臺北市立動物園檢疫舍沉砂池,37,24.999613548315686,121.58756822347641,
蜻蜓科,善變蜻蜓,69300,2020-09-06,10:30:00,c.k.huang,台北市,內湖區,大湖山莊內的農園,,,,
蜻蜓科,善變蜻蜓,69311,2020-09-06,11:30:00,chenjn,台北市,大安區,大安森林公園,13,25.03095862219178,121.5363621711731,
蜻蜓科,善變蜻蜓,69186,2020-09-05,11:41:00,skink,台北市,文山區,臺北市政府公務人員訓練處,92,25.00433915534552,121.56389236450195,
蜻蜓科,善變蜻蜓,69198,2020-09-05,12:51:00,skink,台北市,文山區,臺北市立動物園公務門,33,24.99973144761539,121.58284485340118,
蜻蜓科,善變蜻蜓,69201,2020-09-05,13:07:00,skink,台北市,文山區,臺北市立動物園獸醫室,51,24.99698327060826,121.58834472298622,
蜻蜓科,善變蜻蜓,69205,2020-09-05,13:09:00,skink,台北市,文山區,臺北市立動物園收容中心,55,24.997011332289325,121.58789264037296,
蜻蜓科,善變蜻蜓,69261,2020-09-05,11:55:00,chenjn,台北市,大安區,大安森林公園,14,25.031036391577395,121.53643727302551,
蜻蜓科,善變蜻蜓,69304,2020-09-05,12:00:00,yangda,新北市,貢寮區,雞母嶺,176,25.070177296248573,121.89711928367615,
蜻蜓科,善變蜻蜓,69053,2020-09-04,08:20:00,chenjn,台北市,中正區,台北植物園,11,25.032008504738478,121.51126205921173,
蜻蜓科,善變蜻蜓,69108,2020-09-04,08:57:00,skink,台北市,文山區,臺北市立動物園公務門,33,24.99973144761539,121.58284485340118,
蜻蜓科,善變蜻蜓,69115,2020-09-04,09:06:00,skink,台北市,文山區,臺北市立動物園昆蟲館,65,24.993724516679826,121.58088952302933,
蜻蜓科,善變蜻蜓,69117,2020-09-04,09:16:00,skink,台北市,文山區,臺北市立動物園獸醫室,51,24.99698327060826,121.58834472298622,
蜻蜓科,善變蜻蜓,69154,2020-09-04,09:37:00,skink,台北市,文山區,臺北市立動物園兒童動物園,27,24.99858040528338,121.58224537968636,
蜻蜓科,善變蜻蜓,69158,2020-09-04,09:45:00,skink,台北市,文山區,新光路二段景美溪竹林,21,25.00040116210952,121.58215284347534,
蜻蜓科,善變蜻蜓,69165,2020-09-04,11:15:00,skink,台北市,文山區,臺北市立動物園行政大樓附近,36,24.99698570157485,121.5824881196022,
