Species Family,Species,ID,Date,Time,User,City,District,Place,Altitude,Latitude,Longitude,Description,weather
蜻蜓科,白刃蜻蜓,77616,2021-05-06,09:25:00,samson711,台北市,文山區,動物園,50,24.995860158908414,121.58307552337646,
蜻蜓科,白刃蜻蜓,69368,2020-09-07,09:30:00,lily,新北市,三芝區,青山路,,,,
蜻蜓科,白刃蜻蜓,68602,2020-08-20,10:59:00,skink,連江縣,南竿鄉,下腰山,71,26.149452634005637,119.93108689785004,
蜻蜓科,白刃蜻蜓,68321,2020-08-16,15:24:00,skink,連江縣,南竿鄉,下腰山,71,26.149452634005637,119.93108689785004,
蜻蜓科,白刃蜻蜓,68333,2020-08-16,15:52:00,skink,連江縣,南竿鄉,志清發電廠水池,77,26.149221496661553,119.93030369281767,
蜻蜓科,白刃蜻蜓,66515,2020-07-17,08:30:00,thkai,新北市,貢寮區,下坪,332,24.982839093170483,121.9006758928299,
蜻蜓科,白刃蜻蜓,65527,2020-07-07,08:36:00,thkai,新北市,貢寮區,下坪,332,24.982839093170483,121.9006758928299,
蜻蜓科,白刃蜻蜓,65611,2020-07-05,14:09:00,skink,連江縣,南竿鄉,下腰山,71,26.149452634005637,119.93108689785004,
蜻蜓科,白刃蜻蜓,64645,2020-06-17,08:41:00,skink,連江縣,南竿鄉,下腰山,71,26.149452634005637,119.93108689785004,
蜻蜓科,白刃蜻蜓,64694,2020-06-17,09:03:00,skink,連江縣,南竿鄉,志清坑道旁水池,77,26.149221496661553,119.93030369281767,
蜻蜓科,白刃蜻蜓,64371,2020-06-15,11:10:00,skink,連江縣,南竿鄉,下腰山,71,26.149452634005637,119.93108689785004,
蜻蜓科,白刃蜻蜓,52821,2019-08-17,10:20:00,Tyus Ma,新北市,萬里區,二坪,302,25.17118706431201,121.64525985717773,
蜻蜓科,白刃蜻蜓,52822,2019-08-17,10:00:00,Leo,新北市,萬里區,二坪,296,25.171385513033666,121.64617449045181,
蜻蜓科,白刃蜻蜓,52269,2019-08-03,10:28:00,fernslu,新北市,石門區,尖山湖,0,,,
蜻蜓科,白刃蜻蜓,51585,2019-07-23,14:20:00,Tyus Ma,新北市,石門區,尖山湖,194,25.24643601865587,121.56269073486328,
蜻蜓科,白刃蜻蜓,51304,2019-07-14,10:27:00,skink,新北市,石門區,山溪里15鄰尖山湖16號下面梯田,226,25.243744938473196,121.56425714492796,
蜻蜓科,白刃蜻蜓,51264,2019-07-13,09:00:00,joanne,新北市,萬里區,鏡湖,,,,
蜻蜓科,白刃蜻蜓,50556,2019-06-29,08:00:00,fernslu,新北市,石門區,尖山湖,0,,,
蜻蜓科,白刃蜻蜓,50357,2019-06-25,11:03:00,skink,新北市,萬里區,麻斯廩,203,25.182874354295016,121.64602160453796,
蜻蜓科,白刃蜻蜓,50377,2019-06-25,12:45:00,skink,新北市,萬里區,二坪尾,296,25.17141326422023,121.64620411127657,
蜻蜓科,白刃蜻蜓,48345,2019-05-16,11:00:00,roach,新北市,三芝區,三芝圓山里,,,,
蜻蜓科,白刃蜻蜓,40358,2018-10-05,09:00:00,簡庭威,基隆市,安樂區,內寮濕地公園,67,25.157404708460007,121.69341087341309,
蜻蜓科,白刃蜻蜓,40361,2018-10-05,09:36:00,江上飄,基隆市,安樂區,內寮濕地公園,66,25.155632413542175,121.69441938400268,
蜻蜓科,白刃蜻蜓,38453,2018-08-17,10:19:00,江上飄,新北市,三芝區,青山路,345,25.21994050738175,121.53754502534866,
蜻蜓科,白刃蜻蜓,38050,2018-08-06,11:33:00,fisher1952,新北市,三芝區,木屐寮,467,25.229314253445903,121.54480637234963,
蜻蜓科,白刃蜻蜓,37416,2018-07-28,09:30:00,Jasonlin,新北市,三芝區,青山路,0,,,
蜻蜓科,白刃蜻蜓,38551,2018-07-27,10:00:00,liou5417,新北市,三芝區,內柑宅,,,,
蜻蜓科,白刃蜻蜓,26393,2017-08-25,09:35:00,cclin,新北市,三芝區,青山路,,,,
蜻蜓科,白刃蜻蜓,26418,2017-08-25,10:30:00,陳淑蕙,新北市,萬里區,二坪,,,,
蜻蜓科,白刃蜻蜓,25716,2017-08-14,08:55:32,Tyus Ma,新北市,石門區,尖山湖,194,25.24643601865587,121.56269073486328,
蜻蜓科,白刃蜻蜓,25762,2017-08-14,09:00:00,allenhu1999925,新北市,石門區,尖山湖,196,25.246326241703105,121.56275510787964,
蜻蜓科,白刃蜻蜓,25645,2017-08-13,14:25:00,趙偉凱,新北市,三芝區,青山路,,,,
蜻蜓科,白刃蜻蜓,24741,2017-07-26,08:41:00,江上飄,新北市,三芝區,青山路,345,25.21994050738175,121.53754502534866,
蜻蜓科,白刃蜻蜓,24927,2017-07-26,09:00:00,天空遊民,新北市,三芝區,青山路,,,,
蜻蜓科,白刃蜻蜓,24632,2017-07-24,09:38:00,江上飄,新北市,三芝區,青山路,345,25.21994050738175,121.53754502534866,
蜻蜓科,白刃蜻蜓,24562,2017-07-22,08:31:00,thkai,新北市,貢寮區,田邊聊寮,304,24.977230079993607,121.89302623271942,
蜻蜓科,白刃蜻蜓,24299,2017-07-17,09:00:00,thkai,新北市,石門區,出磺口農場,209,25.250387316414947,121.56574308872223,
蜻蜓科,白刃蜻蜓,23954,2017-07-06,11:00:00,Leo,新北市,萬里區,二坪,296,25.171385513033666,121.64617449045181,
蜻蜓科,白刃蜻蜓,23955,2017-07-06,10:36:56,Tyus Ma,新北市,萬里區,二坪,302,25.17118706431201,121.64525985717773,
蜻蜓科,白刃蜻蜓,32469,2017-06-10,09:34:00,fisher1952,新北市,三芝區,木屐寮,467,25.229314253445903,121.54480637234963,
蜻蜓科,白刃蜻蜓,15329,2016-07-20,10:05:00,thkai,新北市,貢寮區,田邊聊寮,314,24.97671949391994,121.8933454155922,
蜻蜓科,白刃蜻蜓,15302,2016-07-19,11:04:00,thkai,新北市,貢寮區,田邊聊寮,316,24.97660035686446,121.89351439476013,
蜻蜓科,白刃蜻蜓,15284,2016-07-18,09:09:00,江上飄,新北市,三芝區,青山路,345,25.21994050738175,121.53754502534866,
蜻蜓科,白刃蜻蜓,14750,2016-07-04,10:57:45,neo,新北市,三芝區,青山路梯田,339,25.22026808952648,121.53701663017273,
蜻蜓科,白刃蜻蜓,13996,2016-06-18,08:00:00,Leo,新北市,石門區,土地公嶺古道,271,25.24601571188531,121.56806588172913,
蜻蜓科,白刃蜻蜓,13997,2016-06-07,09:00:00,Leo,新北市,石門區,土地公嶺古道,271,25.24601571188531,121.56806588172913,
蜻蜓科,白刃蜻蜓,10438,2015-08-16,09:48:00,趙偉凱,新北市,貢寮區,內寮,322,24.97059472721432,121.88704490661621,
蜻蜓科,白刃蜻蜓,9782,2015-06-17,10:38:00,江上飄,新北市,三芝區,青山路,340,25.219552260734612,121.5376764535904,
蜻蜓科,白刃蜻蜓,9656,2015-06-06,12:00:00,skink,新北市,貢寮區,內坑蕭家莊,323,24.97063119953426,121.88694030046463,
蜻蜓科,白刃蜻蜓,9657,2015-06-06,13:50:00,skink,新北市,貢寮區,內寮街65號附近梯田,304,24.977242236779073,121.89298868179321,
蜻蜓科,白刃蜻蜓,32468,2015-04-28,11:17:00,fisher1952,新北市,三芝區,木屐寮,467,25.229314253445903,121.54480637234963,
蜻蜓科,白刃蜻蜓,8131,2014-10-16,13:39:00,江上飄,新北市,三芝區,青山路,345,25.21994050738175,121.53754502534866,
蜻蜓科,白刃蜻蜓,7455,2014-09-14,10:00:00,lmk620721,新北市,三芝區,青山路,,,,
蜻蜓科,白刃蜻蜓,7322,2014-09-06,09:00:00,lily,新北市,三芝區,埔坪里青山路,,,,
蜻蜓科,白刃蜻蜓,7288,2014-09-04,09:00:00,lily,新北市,三芝區,埔坪里青山路,,,,
蜻蜓科,白刃蜻蜓,7351,2014-09-04,08:27:00,江上飄,新北市,三芝區,青山路,345,25.21994050738175,121.53754502534866,
蜻蜓科,白刃蜻蜓,7201,2014-08-24,11:00:00,neo,新北市,三芝區,青山路梯田,339,25.22026808952648,121.53701663017273,
蜻蜓科,白刃蜻蜓,7209,2014-08-24,09:13:00,江上飄,新北市,三芝區,青山路,345,25.21994050738175,121.53754502534866,
蜻蜓科,白刃蜻蜓,7161,2014-08-21,10:00:00,neo,新北市,三芝區,青山路梯田,339,25.22026808952648,121.53701663017273,
蜻蜓科,白刃蜻蜓,7139,2014-08-17,10:00:00,mhtsou,新北市,三芝區,青山路,340,25.219612924354887,121.53763890266418,
蜻蜓科,白刃蜻蜓,6510,2014-06-21,10:50:00,skink,新北市,石門區,土地公嶺古道入口,271,25.244885182563518,121.56718075275421,
蜻蜓科,白刃蜻蜓,6482,2014-06-18,08:18:00,江上飄,新北市,萬里區,鏡湖,292,25.159735358474016,121.63036823272705,
蜻蜓科,白刃蜻蜓,6163,2014-05-17,09:00:00,秋寒煙,基隆市,七堵區,大華三路,,,,
蜻蜓科,白刃蜻蜓,566,2013-06-19,12:00:00,neo,新北市,萬里區,鏡湖,206,25.18327242699407,121.64637565612793,
蜻蜓科,白刃蜻蜓,3179,2012-07-28,10:24:00,江上飄,新北市,貢寮區,吉林村,338,24.990250524204995,121.8981197476387,
蜻蜓科,白刃蜻蜓,3150,2012-06-30,07:30:00,江上飄,新北市,萬里區,豐廩路,198,25.18513109374112,121.64784282445907,
蜻蜓科,白刃蜻蜓,2802,2011-07-25,07:29:00,江上飄,新北市,萬里區,豐廩路,198,25.18513109374112,121.64784282445907,
