Species Family,Species,ID,Date,Time,User,City,District,Place,Altitude,Latitude,Longitude,Description
琵蟌科,青黑琵蟌,73452,2020-12-15,10:40:00,chuntinglu,南投縣,魚池鄉,蓮華池,727,23.9187557184356,120.88299751281738,
琵蟌科,青黑琵蟌,72226,2020-11-15,10:00:00,ysc3679,南投縣,魚池鄉,蓮華池新山林道,,,,
琵蟌科,青黑琵蟌,72158,2020-11-12,09:00:00,chuntinglu,南投縣,魚池鄉,水上步道,569,23.93148517080396,120.91507673263548,
琵蟌科,青黑琵蟌,72066,2020-11-11,09:10:00,chuntinglu,南投縣,魚池鄉,蓮華池,727,23.918912637658543,120.88286876678467,
琵蟌科,青黑琵蟌,71778,2020-10-31,15:00:00,lj19990809,南投縣,魚池鄉,蓮華池,,,,
琵蟌科,青黑琵蟌,73452,2020-12-15,10:40:00,chuntinglu,南投縣,魚池鄉,蓮華池,727,23.9187557184356,120.88299751281738,
琵蟌科,青黑琵蟌,72226,2020-11-15,10:00:00,ysc3679,南投縣,魚池鄉,蓮華池新山林道,,,,
琵蟌科,青黑琵蟌,73452,2020-12-15,10:40:00,chuntinglu,南投縣,魚池鄉,蓮華池,727,23.9187557184356,120.88299751281738,
琵蟌科,青黑琵蟌,72226,2020-11-15,10:00:00,ysc3679,南投縣,魚池鄉,蓮華池新山林道,,,,
琵蟌科,青黑琵蟌,72158,2020-11-12,09:00:00,chuntinglu,南投縣,魚池鄉,水上步道,569,23.93148517080396,120.91507673263548,
琵蟌科,青黑琵蟌,72066,2020-11-11,09:10:00,chuntinglu,南投縣,魚池鄉,蓮華池,727,23.918912637658543,120.88286876678467,
琵蟌科,青黑琵蟌,71778,2020-10-31,15:00:00,lj19990809,南投縣,魚池鄉,蓮華池,,,,
琵蟌科,青黑琵蟌,71431,2020-10-22,09:20:00,chuntinglu,南投縣,埔里鎮,桃米里黃金濕地,592,23.938447591456818,120.91763019561768,
琵蟌科,青黑琵蟌,73452,2020-12-15,10:40:00,chuntinglu,南投縣,魚池鄉,蓮華池,727,23.9187557184356,120.88299751281738,
琵蟌科,青黑琵蟌,72226,2020-11-15,10:00:00,ysc3679,南投縣,魚池鄉,蓮華池新山林道,,,,
琵蟌科,青黑琵蟌,72158,2020-11-12,09:00:00,chuntinglu,南投縣,魚池鄉,水上步道,569,23.93148517080396,120.91507673263548,
琵蟌科,青黑琵蟌,72066,2020-11-11,09:10:00,chuntinglu,南投縣,魚池鄉,蓮華池,727,23.918912637658543,120.88286876678467,
琵蟌科,青黑琵蟌,71778,2020-10-31,15:00:00,lj19990809,南投縣,魚池鄉,蓮華池,,,,
琵蟌科,青黑琵蟌,73452,2020-12-15,10:40:00,chuntinglu,南投縣,魚池鄉,蓮華池,727,23.9187557184356,120.88299751281738,
琵蟌科,青黑琵蟌,72226,2020-11-15,10:00:00,ysc3679,南投縣,魚池鄉,蓮華池新山林道,,,,
琵蟌科,青黑琵蟌,72158,2020-11-12,09:00:00,chuntinglu,南投縣,魚池鄉,水上步道,569,23.93148517080396,120.91507673263548,
琵蟌科,青黑琵蟌,72066,2020-11-11,09:10:00,chuntinglu,南投縣,魚池鄉,蓮華池,727,23.918912637658543,120.88286876678467,
琵蟌科,青黑琵蟌,71778,2020-10-31,15:00:00,lj19990809,南投縣,魚池鄉,蓮華池,,,,
琵蟌科,青黑琵蟌,71431,2020-10-22,09:20:00,chuntinglu,南投縣,埔里鎮,桃米里黃金濕地,592,23.938447591456818,120.91763019561768,
琵蟌科,青黑琵蟌,71417,2020-10-17,10:46:00,regina,南投縣,魚池鄉,蓮華池,,,,
琵蟌科,青黑琵蟌,71149,2020-10-16,11:00:00,Leo,南投縣,魚池鄉,蓮華池木屋教室,760,23.919579542229428,120.88106632232666,
琵蟌科,青黑琵蟌,72226,2020-11-15,10:00:00,ysc3679,南投縣,魚池鄉,蓮華池新山林道,,,,
琵蟌科,青黑琵蟌,72158,2020-11-12,09:00:00,chuntinglu,南投縣,魚池鄉,水上步道,569,23.93148517080396,120.91507673263548,
琵蟌科,青黑琵蟌,72066,2020-11-11,09:10:00,chuntinglu,南投縣,魚池鄉,蓮華池,727,23.918912637658543,120.88286876678467,
琵蟌科,青黑琵蟌,71778,2020-10-31,15:00:00,lj19990809,南投縣,魚池鄉,蓮華池,,,,
琵蟌科,青黑琵蟌,71431,2020-10-22,09:20:00,chuntinglu,南投縣,埔里鎮,桃米里黃金濕地,592,23.938447591456818,120.91763019561768,
琵蟌科,青黑琵蟌,71417,2020-10-17,10:46:00,regina,南投縣,魚池鄉,蓮華池,,,,
琵蟌科,青黑琵蟌,71149,2020-10-16,11:00:00,Leo,南投縣,魚池鄉,蓮華池木屋教室,760,23.919579542229428,120.88106632232666,
琵蟌科,青黑琵蟌,71384,2020-10-16,18:51:00,lyajhoo,台中市,豐原區,豪傑一巷,290,24.22926700016451,120.75092554092407,
琵蟌科,青黑琵蟌,71243,2020-10-14,10:55:00,chuntinglu,南投縣,魚池鄉,蓮華池,757,23.918912637658543,120.88119506835936,
琵蟌科,青黑琵蟌,71292,2020-10-14,12:15:00,skink,南投縣,魚池鄉,蓮華池木屋教室生態池,762,23.923345526949117,120.88364124298096,
琵蟌科,青黑琵蟌,72226,2020-11-15,10:00:00,ysc3679,南投縣,魚池鄉,蓮華池新山林道,,,,
琵蟌科,青黑琵蟌,72158,2020-11-12,09:00:00,chuntinglu,南投縣,魚池鄉,水上步道,569,23.93148517080396,120.91507673263548,
琵蟌科,青黑琵蟌,72226,2020-11-15,10:00:00,ysc3679,南投縣,魚池鄉,蓮華池新山林道,,,,
琵蟌科,青黑琵蟌,72158,2020-11-12,09:00:00,chuntinglu,南投縣,魚池鄉,水上步道,569,23.93148517080396,120.91507673263548,
琵蟌科,青黑琵蟌,72066,2020-11-11,09:10:00,chuntinglu,南投縣,魚池鄉,蓮華池,727,23.918912637658543,120.88286876678467,
琵蟌科,青黑琵蟌,71778,2020-10-31,15:00:00,lj19990809,南投縣,魚池鄉,蓮華池,,,,
琵蟌科,青黑琵蟌,71431,2020-10-22,09:20:00,chuntinglu,南投縣,埔里鎮,桃米里黃金濕地,592,23.938447591456818,120.91763019561768,
琵蟌科,青黑琵蟌,71417,2020-10-17,10:46:00,regina,南投縣,魚池鄉,蓮華池,,,,
琵蟌科,青黑琵蟌,71149,2020-10-16,11:00:00,Leo,南投縣,魚池鄉,蓮華池木屋教室,760,23.919579542229428,120.88106632232666,
琵蟌科,青黑琵蟌,71384,2020-10-16,18:51:00,lyajhoo,台中市,豐原區,豪傑一巷,290,24.22926700016451,120.75092554092407,
琵蟌科,青黑琵蟌,71243,2020-10-14,10:55:00,chuntinglu,南投縣,魚池鄉,蓮華池,757,23.918912637658543,120.88119506835936,
琵蟌科,青黑琵蟌,71292,2020-10-14,12:15:00,skink,南投縣,魚池鄉,蓮華池木屋教室生態池,762,23.923345526949117,120.88364124298096,
琵蟌科,青黑琵蟌,70968,2020-10-09,10:30:00,lj19990809,南投縣,魚池鄉,蓮華池,,,,
琵蟌科,青黑琵蟌,71004,2020-10-03,09:25:00,lyajhoo,宜蘭縣,員山鄉,冷埤,424,24.72582239187035,121.64804935455321,
琵蟌科,青黑琵蟌,70430,2020-09-26,12:00:00,Leo,南投縣,魚池鄉,蓮華池木屋教室,760,23.919579542229428,120.88106632232666,
琵蟌科,青黑琵蟌,70431,2020-09-26,10:30:00,allenhu1999925,苗栗縣,三義鄉,深水農路,,,,
琵蟌科,青黑琵蟌,70669,2020-09-25,12:00:00,bikupeter,新北市,坪林區,五號橋,,,,
琵蟌科,青黑琵蟌,70381,2020-09-24,11:30:00,吳登立,南投縣,魚池鄉,蓮華池,751,23.934564518623414,120.89394289667791,
琵蟌科,青黑琵蟌,70207,2020-09-21,07:30:00,趙偉凱,宜蘭縣,員山鄉,雙連埤粗坑溪支流,518,24.75538585637881,121.63086175918579,
琵蟌科,青黑琵蟌,70341,2020-09-21,09:00:00,lily,新北市,坪林區,坪林金瓜寮溪,,,,
琵蟌科,青黑琵蟌,70021,2020-09-18,10:43:00,yosi,台北市,士林區,帕米爾公園,0,,,
琵蟌科,青黑琵蟌,70062,2020-09-18,14:25:00,chiuchu29,台北市,北投區,竹子湖水車寮,670,25.17052860064321,121.5391355752945,
琵蟌科,青黑琵蟌,69523,2020-09-10,09:30:00,lily,新北市,坪林區,坪林九芎根親水公園,,,,
琵蟌科,青黑琵蟌,69483,2020-09-08,10:18:00,yosi,新北市,坪林區,金瓜寮溪,0,,,
琵蟌科,青黑琵蟌,69302,2020-09-06,08:30:00,cclin,桃園市,復興區,觀音洞步道,527,24.832778779449555,121.36407852172852,
琵蟌科,青黑琵蟌,69040,2020-09-03,10:20:00,lily,新北市,雙溪區,虎豹潭,,,,
琵蟌科,青黑琵蟌,68987,2020-09-02,12:00:00,Leo,南投縣,魚池鄉,蓮華池木屋教室,760,23.919579542229428,120.88106632232666,
琵蟌科,青黑琵蟌,70142,2020-09-02,11:30:00,lj19990809,南投縣,魚池鄉,蓮華池,,,,
琵蟌科,青黑琵蟌,69910,2020-08-29,10:00:00,liou5417,桃園市,大溪區,娘子坑,,,,
琵蟌科,青黑琵蟌,68575,2020-08-25,10:30:00,allenhu1999925,新北市,三峽區,滿月圓森林遊樂區,,,,
琵蟌科,青黑琵蟌,68723,2020-08-25,15:30:00,macintosh,宜蘭縣,員山鄉,冷埤,347,24.722372538368578,121.64762020111084,
琵蟌科,青黑琵蟌,68579,2020-08-23,10:48:00,ying-o hsiung,新竹縣,峨眉鄉,石硬子,228,24.665289905542302,121.04455232620238,
琵蟌科,青黑琵蟌,68155,2020-08-21,09:28:00,cclin,基隆市,七堵區,天使宮,94,25.08908719391699,121.67710304260255,
琵蟌科,青黑琵蟌,68190,2020-08-21,11:20:00,allenhu1999925,宜蘭縣,大同鄉,北橫67k,,,,
琵蟌科,青黑琵蟌,68208,2020-08-21,11:00:00,neo,宜蘭縣,員山鄉,冷埤(含林道),356,24.722742866208257,121.65006637573242,
琵蟌科,青黑琵蟌,68140,2020-08-20,11:00:00,allenhu1999925,宜蘭縣,三星鄉,清水地熱,,,,
琵蟌科,青黑琵蟌,68211,2020-08-19,10:00:00,lily,新北市,烏來區,內洞林道,,,,
琵蟌科,青黑琵蟌,68098,2020-08-17,10:00:00,allenhu1999925,新北市,三峽區,滿月圓森林遊樂區,,,,
琵蟌科,青黑琵蟌,68064,2020-08-16,10:20:00,cclin,桃園市,大溪區,娘子坑,144,24.902747243709545,121.31768703460693,
琵蟌科,青黑琵蟌,68031,2020-08-11,11:12:00,yosi,基隆市,安樂區,情人湖,0,,,
琵蟌科,青黑琵蟌,67747,2020-08-10,11:30:00,chiuchu29,新北市,坪林區,金瓜寮溪,254,24.909714664920518,121.67843341827393,
琵蟌科,青黑琵蟌,67622,2020-08-07,10:31:00,cclin,新北市,烏來區,雅岸步道,379,24.77896142948638,121.50390744209288,
琵蟌科,青黑琵蟌,67595,2020-08-06,16:10:00,chiuchu29,台北市,士林區,帕米爾公園,357,25.12123508521305,121.59358978271484,
琵蟌科,青黑琵蟌,67612,2020-08-06,10:00:00,allenhu1999925,宜蘭縣,員山鄉,冷埤林道 (育才國小)至冷埤,,,,
琵蟌科,青黑琵蟌,67336,2020-08-02,10:00:00,Jasonlin,台北市,士林區,帕米爾公園,,,,
琵蟌科,青黑琵蟌,67266,2020-08-01,10:40:00,Leo,南投縣,埔里鎮,水上步道,574,23.92687603789487,120.91460466384888,
琵蟌科,青黑琵蟌,67327,2020-08-01,14:08:00,chiuchu29,台北市,士林區,冷水坑生態池,735,25.16574628776189,121.56632781028748,
琵蟌科,青黑琵蟌,67330,2020-07-31,12:22:00,ying-o hsiung,新竹縣,峨眉鄉,石硬子,227,24.668682841821756,121.04588270187377,
琵蟌科,青黑琵蟌,66896,2020-07-24,10:23:00,cclin,桃園市,復興區,桃源仙谷,398,24.786773503732405,121.28301143646239,
