Species Family,Species,ID,Date,Time,User,City,District,Place,Altitude,Latitude,Longitude,Description
樸蟌科,朱背樸蟌,72000,2020-11-08,14:40:05,ysc3679,雲林縣,林內鄉,林內環保公園,,,,
樸蟌科,朱背樸蟌,72000,2020-11-08,14:40:05,ysc3679,雲林縣,林內鄉,林內環保公園,,,,
樸蟌科,朱背樸蟌,71950,2020-11-07,12:17:00,skink,台北市,文山區,小坑溪,105,24.982829368184813,121.58337593078613,
樸蟌科,朱背樸蟌,71897,2020-11-03,12:27:00,skink,台北市,文山區,小坑溪,105,24.982829368184813,121.58337593078613,
樸蟌科,朱背樸蟌,71734,2020-10-30,12:27:00,skink,台北市,南港區,坑頭福德宮,120,25.016716272548308,121.58807516098022,
樸蟌科,朱背樸蟌,71742,2020-10-30,12:43:00,skink,台北市,南港區,坑頭,124,25.016006542277147,121.58725976943968,
樸蟌科,朱背樸蟌,71661,2020-10-28,12:18:00,skink,台北市,文山區,小坑溪,105,24.982829368184813,121.58337593078613,
樸蟌科,朱背樸蟌,71527,2020-10-26,09:10:00,chuntinglu,南投縣,埔里鎮,青蛙ㄚ婆ㄟ家民宿茅埔坑溪,464,23.943085728039346,120.93734979629515,
樸蟌科,朱背樸蟌,71327,2020-10-16,12:41:00,skink,台北市,南港區,坑頭福德宮,120,25.016716272548308,121.58807516098022,
樸蟌科,朱背樸蟌,71334,2020-10-16,13:03:00,skink,台北市,南港區,聖德宮前順天橋,98,25.018942660064695,121.59252762794493,
樸蟌科,朱背樸蟌,71181,2020-10-12,12:59:00,skink,南投縣,國姓鄉,霖園養鹿場,569,23.962425842606866,120.86092829704283,
樸蟌科,朱背樸蟌,70760,2020-10-04,12:19:00,skink,台北市,文山區,小坑溪,105,24.982829368184813,121.58337593078613,
樸蟌科,朱背樸蟌,71005,2020-10-03,09:25:00,lyajhoo,宜蘭縣,員山鄉,冷埤,424,24.72582239187035,121.64804935455321,
樸蟌科,朱背樸蟌,70431,2020-09-26,10:30:00,allenhu1999925,苗栗縣,三義鄉,深水農路,,,,
樸蟌科,朱背樸蟌,70452,2020-09-26,08:14:00,skink,宜蘭縣,員山鄉,深溝水源生態園區,25,24.722564981781126,121.70472845816153,
樸蟌科,朱背樸蟌,70381,2020-09-24,11:30:00,吳登立,南投縣,魚池鄉,蓮華池,751,23.934564518623414,120.89394289667791,
樸蟌科,朱背樸蟌,70311,2020-09-22,09:00:00,chuntinglu,南投縣,埔里鎮,青蛙ㄚ婆ㄟ家民宿,463,23.943154367286652,120.93737125396729,
樸蟌科,朱背樸蟌,69872,2020-09-16,12:20:00,skink,新北市,深坑區,清涼山北德寺,288,24.993361076999378,121.61797642707825,
樸蟌科,朱背樸蟌,69461,2020-09-08,12:18:00,skink,台北市,文山區,小坑溪,105,24.982829368184813,121.58337593078613,
樸蟌科,朱背樸蟌,69910,2020-08-29,10:00:00,liou5417,桃園市,大溪區,娘子坑,,,,
樸蟌科,朱背樸蟌,68577,2020-08-25,13:25:00,lily,苗栗縣,獅潭鄉,小東勢,,,,
樸蟌科,朱背樸蟌,68583,2020-08-23,13:33:00,ying-o hsiung,新竹縣,峨眉鄉,石硬子,206,24.66702538447775,121.04427337646483,
樸蟌科,朱背樸蟌,68390,2020-08-22,11:00:00,chenjn,雲林縣,斗南鎮,斗南自行車道,37,23.66990788505816,120.47603666782378,
樸蟌科,朱背樸蟌,68208,2020-08-21,11:00:00,neo,宜蘭縣,員山鄉,冷埤(含林道),356,24.722742866208257,121.65006637573242,
樸蟌科,朱背樸蟌,68367,2020-08-21,09:46:00,yosi,新北市,汐止區,下寮溪,0,,,
樸蟌科,朱背樸蟌,67882,2020-08-12,09:00:00,lily,台北市,內湖區,大溝溪,,,,
樸蟌科,朱背樸蟌,67766,2020-08-11,12:34:00,skink,台北市,內湖區,內溝溪生態展示館,36,25.087085564983727,121.62328720092773,
樸蟌科,朱背樸蟌,67628,2020-08-08,09:00:00,lily,台北市,內湖區,大溝溪,,,,
樸蟌科,朱背樸蟌,67649,2020-08-08,07:55:00,趙偉凱,宜蘭縣,員山鄉,深溝水源生態園區,25,24.721295657730842,121.70601725578307,
樸蟌科,朱背樸蟌,67675,2020-08-08,08:05:00,skink,宜蘭縣,員山鄉,深溝水源生態園區,25,24.722564981781126,121.70472845816153,
樸蟌科,朱背樸蟌,70132,2020-08-08,10:00:00,lj19990809,台北市,內湖區,內溝溪,,,,
