Species Family,Species,ID,Date,Time,User,City,District,Place,Altitude,Latitude,Longitude,Description
洵蟌科,黃肩洵蟌,77257,2021-04-24,13:00:00,簡庭威,桃園市,復興區,東眼山,905,24.831123509056603,121.40944004058838,
洵蟌科,黃肩洵蟌,77105,2021-04-20,14:41:00,ying-o hsiung,桃園市,復興區,東眼山森林遊樂區,887,24.827997908740706,121.40983700752257,
洵蟌科,黃肩洵蟌,77021,2021-04-18,11:00:00,Leo,桃園市,復興區,東眼山國家森林遊樂區,940,24.83328669136427,121.41063180053605,
洵蟌科,黃肩洵蟌,77055,2021-04-17,13:44:00,ying-o hsiung,桃園市,復興區,東眼山森林遊樂區,887,24.82798817154481,121.40979945659639,
洵蟌科,黃肩洵蟌,76815,2021-04-10,12:54:00,ying-o hsiung,桃園市,復興區,東眼山森林遊樂區,931,24.830962849281526,121.4101481437683,
洵蟌科,黃肩洵蟌,76584,2021-04-06,10:58:00,yosi,桃園市,復興區,東眼山,0,,,
洵蟌科,黃肩洵蟌,76586,2021-04-06,09:24:00,ying-o hsiung,桃園市,復興區,東眼山森林遊樂區,887,24.828017383130206,121.40983700752257,
洵蟌科,黃肩洵蟌,76321,2021-04-02,11:00:00,allenhu1999925,宜蘭縣,大同鄉,北橫67k,0,,,
洵蟌科,黃肩洵蟌,76194,2021-03-28,10:29:00,ying-o hsiung,桃園市,復興區,東眼山森林遊樂區,916,24.8282997614339,121.4105772972107,
洵蟌科,黃肩洵蟌,76195,2021-03-28,10:51:00,ying-o hsiung,桃園市,復興區,東眼山森林遊樂區,995,24.83135018532451,121.41200637503061,
洵蟌科,黃肩洵蟌,76194,2021-03-28,10:29:00,ying-o hsiung,桃園市,復興區,東眼山森林遊樂區,916,24.8282997614339,121.4105772972107,
洵蟌科,黃肩洵蟌,76195,2021-03-28,10:51:00,ying-o hsiung,桃園市,復興區,東眼山森林遊樂區,995,24.83135018532451,121.41200637503061,
洵蟌科,黃肩洵蟌,62977,2020-05-10,12:08:00,skink,宜蘭縣,大同鄉,明池台七線67K黃肩點,1186,24.6447645742549,121.47684931755066,
洵蟌科,黃肩洵蟌,62953,2020-05-08,12:45:00,liou5417,宜蘭縣,大同鄉,明池,,,,
洵蟌科,黃肩洵蟌,62761,2020-05-04,13:15:00,yosi,宜蘭縣,大同鄉,北橫67K,0,,,
洵蟌科,黃肩洵蟌,61133,2020-03-16,14:24:36,cgwn,新竹縣,尖石鄉,水田林道2KM處,801,24.75061174515965,121.27837657928465,
洵蟌科,黃肩洵蟌,47696,2019-04-30,14:45:00,tasmanliu,宜蘭縣,大同鄉,明池,0,,,
洵蟌科,黃肩洵蟌,46648,2019-04-06,11:00:00,roach,桃園市,復興區,北橫56K,,,,
洵蟌科,黃肩洵蟌,34676,2018-05-12,08:40:00,hsulan,宜蘭縣,大同鄉,明池台7線65K攔砂壩,1120,24.646022518227458,121.46228760480881,
洵蟌科,黃肩洵蟌,34043,2018-05-07,10:23:00,ying-o hsiung,桃園市,復興區,東眼山森林遊樂區,957,24.82759378816863,121.4108302059874,
洵蟌科,黃肩洵蟌,33929,2018-05-05,11:25:00,Leo,宜蘭縣,大同鄉,北橫64k,1114,24.646112719149457,121.46213740110397,
洵蟌科,黃肩洵蟌,33930,2018-05-05,11:45:00,Leo,宜蘭縣,大同鄉,北橫67k,1189,24.644542238698328,121.4768300056437,
洵蟌科,黃肩洵蟌,32987,2018-04-02,09:31:00,cclin,桃園市,復興區,東眼山森林遊樂區,931,24.829345509001758,121.41022617395788,
洵蟌科,黃肩洵蟌,32961,2018-04-01,11:00:00,ying-o hsiung,桃園市,復興區,東眼山森林遊樂區,978,24.827398245765785,121.41133593268171,
洵蟌科,黃肩洵蟌,32962,2018-04-01,12:05:00,ying-o hsiung,桃園市,復興區,東眼山森林遊樂區,978,24.827398245765785,121.41134451561959,
洵蟌科,黃肩洵蟌,32957,2018-03-31,12:30:00,ying-o hsiung,桃園市,復興區,七星村石硬子,980,24.827631939369322,121.41131876778809,
洵蟌科,黃肩洵蟌,32958,2018-03-31,12:00:00,ying-o hsiung,桃園市,復興區,東眼山森林遊樂區,979,24.827740996352265,121.41128443538173,
洵蟌科,黃肩洵蟌,32959,2018-03-31,12:30:00,ying-o hsiung,桃園市,復興區,東眼山森林遊樂區,980,24.827631939369322,121.41131876778809,
洵蟌科,黃肩洵蟌,32964,2018-03-31,13:05:00,ying-o hsiung,桃園市,復興區,東眼山森林遊樂區,900,24.830117651585922,121.40903470171713,
洵蟌科,黃肩洵蟌,21401,2017-05-10,12:00:00,簡庭威,宜蘭縣,大同鄉,北橫67k附近,1193,24.644569543047115,121.47707462310791,
洵蟌科,黃肩洵蟌,21335,2017-05-08,09:20:00,Leo,宜蘭縣,大同鄉,北橫67k,1189,24.644542238698328,121.4768300056437,
洵蟌科,黃肩洵蟌,21336,2017-05-08,11:00:00,Leo,宜蘭縣,大同鄉,明池山莊,1188,24.65377273378628,121.47037714719772,
洵蟌科,黃肩洵蟌,21248,2017-05-05,09:34:00,Leo,宜蘭縣,大同鄉,北橫67k,1189,24.644542238698328,121.4768300056437,
洵蟌科,黃肩洵蟌,21245,2017-05-04,10:45:48,Tyus Ma,宜蘭縣,大同鄉,台7線67K,,,,
洵蟌科,黃肩洵蟌,21171,2017-04-30,10:00:00,skink,宜蘭縣,大同鄉,明池台七線67K黃肩點,1186,24.6447645742549,121.47684931755066,
洵蟌科,黃肩洵蟌,21178,2017-04-30,12:15:00,skink,宜蘭縣,大同鄉,明池山莊停車場攔砂壩,1184,24.653643047412448,121.47023499011993,
洵蟌科,黃肩洵蟌,21053,2017-04-29,13:30:00,fusowshu,宜蘭縣,大同鄉,宜蘭明池台七67Ｋ,,,,
洵蟌科,黃肩洵蟌,21138,2017-04-29,13:50:00,趙偉凱,宜蘭縣,大同鄉,北橫67公里處,1189,24.644540288339655,121.4768385887146,
洵蟌科,黃肩洵蟌,21062,2017-04-26,10:00:00,簡庭威,宜蘭縣,大同鄉,北橫67k附近,1193,24.644569543047115,121.47707462310791,
洵蟌科,黃肩洵蟌,21038,2017-04-25,12:30:00,Leo,宜蘭縣,大同鄉,北橫67k,1189,24.644542238698328,121.4768300056437,
洵蟌科,黃肩洵蟌,20735,2017-04-16,09:40:48,Tyus Ma,宜蘭縣,大同鄉,台7線67K,,,,
洵蟌科,黃肩洵蟌,20709,2017-04-15,11:00:00,neo,宜蘭縣,大同鄉,北橫台七67k處,1189,24.644696313366808,121.4769458770752,
洵蟌科,黃肩洵蟌,20953,2017-04-15,10:18:00,mom460209,宜蘭縣,大同鄉,明池,,,,
洵蟌科,黃肩洵蟌,20682,2017-04-11,09:30:00,Leo,宜蘭縣,大同鄉,北橫67k,1189,24.644542238698328,121.4768300056437,
洵蟌科,黃肩洵蟌,20683,2017-04-11,09:30:00,Leo,宜蘭縣,大同鄉,北橫66.8k,1168,24.645753377732337,121.47609186174122,
洵蟌科,黃肩洵蟌,20640,2017-04-10,10:00:00,Leo,宜蘭縣,大同鄉,北橫67k,1189,24.644542238698328,121.4768300056437,
洵蟌科,黃肩洵蟌,20644,2017-04-10,10:00:00,Leo,宜蘭縣,大同鄉,北橫66.7k,1173,24.64663100759815,121.47561979293414,
洵蟌科,黃肩洵蟌,20648,2017-04-10,10:00:00,Leo,宜蘭縣,大同鄉,北橫66.8k,1168,24.645850892598727,121.47604894637652,
洵蟌科,黃肩洵蟌,9609,2015-06-03,09:53:00,江上飄,新北市,三峽區,滿月圓森林遊樂區,345,24.83683416316203,121.44618988080765,
洵蟌科,黃肩洵蟌,9392,2015-05-10,11:30:00,skink,宜蘭縣,大同鄉,明池台七線68.1K黃肩點,1186,24.6447645742549,121.47684931755066,
洵蟌科,黃肩洵蟌,9289,2015-04-30,10:10:00,江上飄,宜蘭縣,大同鄉,北橫63.5km河潭,1271,24.648265332632817,121.46844863891601,
洵蟌科,黃肩洵蟌,9262,2015-04-27,12:06:00,江上飄,宜蘭縣,大同鄉,北橫63.5km河潭,1271,24.648265332632817,121.46844863891601,
洵蟌科,黃肩洵蟌,9174,2015-04-18,11:00:00,mhtsou,宜蘭縣,大同鄉,明池,1187,24.644559791478724,121.47669553778542,
洵蟌科,黃肩洵蟌,11665,2015-04-05,13:00:00,nobler,宜蘭縣,大同鄉,北橫64K,1138,24.646081026941047,121.46553039550781,
洵蟌科,黃肩洵蟌,6258,2014-05-25,09:00:00,lmk620721,宜蘭縣,大同鄉,明池,1059,24.648889412955334,121.48681640625,
洵蟌科,黃肩洵蟌,6214,2014-05-15,12:11:00,江上飄,宜蘭縣,大同鄉,北橫68.5Km舊,1191,24.644608549313034,121.4769995212555,
洵蟌科,黃肩洵蟌,5677,2014-04-21,10:00:00,neo,宜蘭縣,大同鄉,北橫台七67k處,1189,24.644696313366808,121.4769458770752,
洵蟌科,黃肩洵蟌,32199,2014-04-21,11:07:00,fisher1952,桃園市,復興區,北橫,1237,24.624988725686194,121.4853515985169,
