Species Family,Species,ID,Date,Time,User,City,District,Place,Altitude,Latitude,Longitude,Description
晏蜓科,朱黛晏蜓,72484,19:20:00,2020-11-20,skink,台北市,文山區,臺北市立動物園體能鍛鍊場出口,102,24.991807633743427,121.59085661172867,
晏蜓科,朱黛晏蜓,72484,19:20:00,2020-11-20,skink,台北市,文山區,臺北市立動物園體能鍛鍊場出口,102,24.991807633743427,121.59085661172867,
晏蜓科,朱黛晏蜓,72484,19:20:00,2020-11-20,skink,台北市,文山區,臺北市立動物園體能鍛鍊場出口,102,24.991807633743427,121.59085661172867,
晏蜓科,朱黛晏蜓,72486,20:20:00,2020-11-20,skink,台北市,文山區,臺北市立動物園生態池,112,24.99006940713893,121.58867195248604,
晏蜓科,朱黛晏蜓,71522,11:30:00,2020-10-26,吳登立,嘉義縣,梅山鄉,金鳳寮,949,23.575295975415504,120.62463641166687,
晏蜓科,朱黛晏蜓,71464,19:20:00,2020-10-23,skink,台北市,文山區,臺北市立動物園體能鍛鍊場出口,102,24.991807633743427,121.59085661172867,
晏蜓科,朱黛晏蜓,71466,20:10:00,2020-10-23,skink,台北市,文山區,臺北市立動物園生態池,112,24.99006940713893,121.58867195248604,
晏蜓科,朱黛晏蜓,70100,19:15:00,2020-09-18,skink,台北市,文山區,臺北市立動物園體能鍛鍊場出口,102,24.991807633743427,121.59085661172867,
晏蜓科,朱黛晏蜓,68672,19:20:00,2020-08-21,skink,台北市,文山區,臺北市立動物園體能鍛鍊場出口,102,24.991807633743427,121.59085661172867,
晏蜓科,朱黛晏蜓,68675,20:20:00,2020-08-21,skink,台北市,文山區,臺北市立動物園生態池,112,24.99006940713893,121.58867195248604,
晏蜓科,朱黛晏蜓,68386,13:00:00,2020-08-16,簡庭威,台中市,北屯區,大坑9-1,244,24.182482353397337,120.73152780532835,
晏蜓科,朱黛晏蜓,65908,19:20:00,2020-07-10,skink,台北市,文山區,臺北市立動物園體能鍛鍊場出口,102,24.991807633743427,121.59085661172867,
晏蜓科,朱黛晏蜓,65844,15:00:00,2020-07-09,neo,宜蘭縣,礁溪鄉,林美石磐步道,305,24.827832376306244,121.72877311706543,
晏蜓科,朱黛晏蜓,72184,10:34:00,2020-07-06,skink,新竹縣,關西鎮,錦山里而完窩溪源流,558,24.763667042793838,121.25746607780455,
晏蜓科,朱黛晏蜓,65412,15:40:00,2020-07-03,李宜龍,台北市,北投區,竹子湖,695,25.1776604527945,121.53668403625488,
晏蜓科,朱黛晏蜓,65026,11:00:00,2020-06-28,macintosh,南投縣,仁愛鄉,奧萬大,1273,23.95315710235409,121.17982580390014,
晏蜓科,朱黛晏蜓,65150,15:00:00,2020-06-28,macintosh,南投縣,仁愛鄉,奧萬大,1273,23.95315710235409,121.17982580390014,
晏蜓科,朱黛晏蜓,65022,15:00:00,2020-06-21,macintosh,南投縣,仁愛鄉,奧萬大,1273,23.95315710235409,121.17982580390014,
晏蜓科,朱黛晏蜓,64526,19:20:00,2020-06-12,skink,台北市,文山區,臺北市立動物園體能鍛鍊場出口,102,24.991807633743427,121.59085661172867,
晏蜓科,朱黛晏蜓,63796,14:37:00,2020-06-04,neo,宜蘭縣,頭城鎮,福德坑溪,103,24.87148631935797,121.81044101715088,
晏蜓科,朱黛晏蜓,63744,14:00:00,2020-06-03,Leo,南投縣,魚池鄉,金龍山,826,23.908192655042477,120.9065043926239,
晏蜓科,朱黛晏蜓,63691,11:56:00,2020-05-30,skink,宜蘭縣,大同鄉,明池山莊停車場攔砂壩,1184,24.653643047412448,121.47023499011993,
晏蜓科,朱黛晏蜓,63953,10:12:00,2020-05-30,cclin,新北市,新店區,二叭子植物園,119,24.937872271040924,121.50106430053711,
晏蜓科,朱黛晏蜓,67196,09:10:00,2020-05-24,skink,新竹縣,關西鎮,顯伯公半山腰,336,24.762264151228617,121.15237712860107,
晏蜓科,朱黛晏蜓,62980,12:43:00,2020-05-10,skink,宜蘭縣,大同鄉,明池山莊停車場攔砂壩,1184,24.653643047412448,121.47023499011993,
晏蜓科,朱黛晏蜓,65949,08:52:00,2020-05-08,skink,新竹縣,關西鎮,顯伯公半山腰,336,24.762264151228617,121.15237712860107,
晏蜓科,朱黛晏蜓,62842,14:00:00,2020-05-04,rswu,屏東縣,獅子鄉,內文溪一號橋,320,22.221257361046824,120.85012435913085,
晏蜓科,朱黛晏蜓,62570,11:00:00,2020-05-03,Leo,屏東縣,春日鄉,浸水營,1400,22.409664718959093,120.77733993530272,
晏蜓科,朱黛晏蜓,62371,19:05:00,2020-04-24,skink,台北市,文山區,臺北市立動物園體能鍛鍊場入口,102,24.991807633743427,121.59085661172867,
晏蜓科,朱黛晏蜓,62373,20:10:00,2020-04-24,skink,台北市,文山區,臺北市立動物園生態池,112,24.99006940713893,121.58867195248604,
晏蜓科,朱黛晏蜓,62188,13:41:00,2020-04-21,Fenabi,桃園市,復興區,巴陵地質館,571,24.680557392044843,121.3812232017517,
晏蜓科,朱黛晏蜓,61789,11:05:00,2020-04-10,chuntinglu,南投縣,魚池鄉,蓮華池,715,23.91910878641915,120.88342666625977,
晏蜓科,朱黛晏蜓,61210,12:35:00,2020-03-18,skink,台北市,文山區,臺北市立動物園體能鍛鍊場出口,102,24.991807633743427,121.59085661172867,
晏蜓科,朱黛晏蜓,61212,12:50:00,2020-03-18,skink,台北市,文山區,臺北市立動物園生態池,112,24.99006940713893,121.58867195248604,
晏蜓科,朱黛晏蜓,61069,19:25:00,2020-03-13,skink,台北市,文山區,臺北市立動物園體能鍛鍊場出口,102,24.991807633743427,121.59085661172867,
晏蜓科,朱黛晏蜓,61071,20:15:00,2020-03-13,skink,台北市,文山區,臺北市立動物園生態池,112,24.99006940713893,121.58867195248604,
晏蜓科,朱黛晏蜓,61013,17:03:00,2020-03-11,skink,台北市,文山區,臺北市立動物園體能鍛鍊場出口,102,24.991807633743427,121.59085661172867,
晏蜓科,朱黛晏蜓,61015,17:03:00,2020-03-11,skink,台北市,文山區,臺北市立動物園生態池,112,24.99006940713893,121.58867195248604,
晏蜓科,朱黛晏蜓,60885,17:06:00,2020-03-03,skink,台北市,文山區,臺北市立動物園體能鍛鍊場出口,102,24.991807633743427,121.59085661172867,
晏蜓科,朱黛晏蜓,60887,17:25:00,2020-03-03,skink,台北市,文山區,臺北市立動物園生態池,112,24.99006940713893,121.58867195248604,
晏蜓科,朱黛晏蜓,60837,16:21:00,2020-02-29,skink,台北市,文山區,臺北市立動物園生態池,112,24.99006940713893,121.58867195248604,
晏蜓科,朱黛晏蜓,60424,19:10:00,2020-02-14,skink,台北市,文山區,臺北市立動物園體能鍛鍊場出口,102,24.991807633743427,121.59085661172867,
晏蜓科,朱黛晏蜓,60426,20:10:00,2020-02-14,skink,台北市,文山區,臺北市立動物園生態池,112,24.99006940713893,121.58867195248604,
晏蜓科,朱黛晏蜓,59278,19:20:00,2020-01-10,skink,台北市,文山區,臺北市立動物園體能鍛鍊場出口,102,24.991807633743427,121.59085661172867,
晏蜓科,朱黛晏蜓,59280,20:10:00,2020-01-10,skink,台北市,文山區,臺北市立動物園生態池,112,24.99006940713893,121.58867195248604,
晏蜓科,朱黛晏蜓,58311,19:20:00,2019-12-13,skink,台北市,文山區,臺北市立動物園體能鍛鍊場出口,102,24.991807633743427,121.59085661172867,
晏蜓科,朱黛晏蜓,58313,20:30:00,2019-12-13,skink,台北市,文山區,臺北市立動物園生態池,112,24.99006940713893,121.58867195248604,
晏蜓科,朱黛晏蜓,57677,16:49:00,2019-11-14,skink,南投縣,仁愛鄉,綠生農場,749,24.005640141092186,121.08334779739378,
