Species Family,Species,ID,Date,Time,User,City,District,Place,Altitude,Latitude,Longitude,Description,weather
˸,y˸,66403,11:22:00,2020-07-14,Fenabi,򶩥,wְ,H,157,25.158288418497904,121.70478880405426,
˸,y˸,65412,15:40:00,2020-07-03,ys,x_,_,ˤl,695,25.1776604527945,121.53668403625488,
˸,y˸,65025,12:00:00,2020-06-28,Leo,Ὤ,ɨ,ӪL,1045,23.408711462247314,121.41464384129904,
˸,y˸,51329,08:25:00,2019-07-16,Tyus Ma,򶩥,C,ѨϮc,151,25.09084336341302,121.67546395750831,
˸,y˸,51282,09:04:00,2019-07-14,skink,s_,T۰,GlWBDJf,846,25.185748215803628,121.52508616447447,
˸,y˸,50747,12:55:00,2019-07-01,skink,s_,T۰,GlWBDJf,846,25.185748215803628,121.52508616447447,
˸,y˸,49966,10:00:00,2019-06-16,twingo49,򶩥,C,ѨϮc,43,25.087343057919216,121.67670607566833,
˸,y˸,49444,09:10:00,2019-06-05,cclin,x_,hL,̺,206,25.122439616733764,121.59274220466615,
˸,y˸,35734,09:00:00,2018-06-05,martina,y,sm,֤sӪ,647,24.75660850308595,121.59405745450681,
˸,y˸,32359,10:23:00,2017-08-15,fisher1952,򶩥,C,jص,119,25.11045985549664,121.70710447515557,
˸,y˸,23781,12:04:00,2017-07-02,chiuchu29,x_,hL,̺,358,25.121220514194558,121.5935991704464,
˸,y˸,23562,10:00:00,2017-06-22,roach,s_,˰,Blˤy,183,25.015870429153566,121.86457335948944,
˸,y˸,23040,10:44:00,2017-06-17,fernslu,x_,hL,̺,378,25.122236401311678,121.59446761615982,
˸,y˸,22596,10:30:00,2017-06-08,chiuchu29,x_,hL,̺,357,25.12123508521305,121.59358978271484,
˸,y˸,22439,14:19:00,2017-06-04,fernslu,x_,hL,̺,351,25.122264377554625,121.59374792565359,
˸,y˸,22409,11:36:00,2017-06-01,ying-o hsiung,饫,_,Fs˪LCְ,916,24.83115719881495,121.409543681184,
˸,y˸,21856,12:25:00,2017-05-20,Tyus Ma,򶩥,C,FA,195,25.139844044704052,121.68051481246948,
˸,y˸,21403,11:00:00,2017-05-11,Leo,򶩥,C,FA,197,25.13949606240081,121.68018221855164,
˸,y˸,21415,11:00:00,2017-05-11,²x,򶩥,C,FA,197,25.13951548751843,121.68016076087952,
˸,y˸,15503,11:00:00,2016-07-26,²x,򶩥,C,ѨϮc,35,25.08705641480596,121.67657732963562,
˸,y˸,15328,13:00:00,2016-07-20,Leo,򶩥,C,ѨϮc,80,25.088676668321508,121.67700916528702,
˸,y˸,14277,09:00:00,2016-06-27,²x,򶩥,C,ѨϮc,96,25.104098367216576,121.65942192077637,
˸,y˸,14085,10:30:00,2016-06-25,Leo,򶩥,C,ѨϮc,80,25.088676668321508,121.67700916528702,
˸,y˸,13841,09:40:00,2016-06-19,skink,s_,s,BAw޲z,99,24.904540224538447,121.56319230794907,
˸,y˸,6712,13:20:00,2014-07-12,tang,x_,s,O_߰ʪͺA,112,24.99006940713893,121.58867195248604,
˸,y˸,6684,10:00:00,2014-07-09,neo,Ὤ,ɨ,ӪL,1047,23.41016906576172,121.41446113586426,
˸,y˸,8865,09:00:00,2014-07-09,ysc3679,Ὤ,ɨ,ӪL,781,23.436730050429503,121.42083406448364,
˸,y˸,6573,11:25:00,2014-06-28,skink,x_,_,ѫ,544,25.16151244918802,121.53933137655258,
˸,y˸,6576,09:00:00,2014-06-28,ys,x_,_,ѫ,546,25.162915652797103,121.53843820095062,
˸,y˸,6536,10:30:00,2014-06-23,tang,Ὤ,ɨ,Vb차ӪL,1062,23.410365979265624,121.41583442687988,
˸,y˸,317,10:30:00,2013-07-26,skink,Ὤ,ɨ,Vb차ӪL,1062,23.410365979265624,121.41583442687988,
˸,y˸,40,09:00:00,2013-07-19,leowang,s˿,sm,F۷,296,24.710326537284647,121.18286848068237,
˸,y˸,3700,08:05:00,2013-06-22,W,򶩥,C,ѨϮc,117,25.114424766090412,121.68534278869629,
