Species Family,Species,ID,Date,Time,User,City,District,Place,Altitude,Latitude,Longitude,Description,weather
珈蟌科,細胸珈蟌,74819,10:00:00,2021-04-01,Leo,桃園市,大溪區,娘子坑,142,24.902255811580016,121.31772994995117,
珈蟌科,細胸珈蟌,76306,13:21:00,2021-04-01,ying-o hsiung,新竹縣,峨眉鄉,石硬子,220,24.668682841821756,121.04573249816896,
珈蟌科,細胸珈蟌,76309,14:11:00,2021-04-01,ying-o hsiung,新竹縣,峨眉鄉,石硬子,216,24.667551873314647,121.04431629180907,
珈蟌科,細胸珈蟌,76297,10:30:00,2021-03-31,天空遊民,新竹縣,關西鎮,石牛山溪,328,24.78132,121.24476,
珈蟌科,細胸珈蟌,76291,13:23:00,2021-03-30,ying-o hsiung,新竹縣,峨眉鄉,石硬子,220,24.66870234118886,121.04560375213622,
珈蟌科,細胸珈蟌,76292,14:22:00,2021-03-30,ying-o hsiung,新竹縣,峨眉鄉,石硬子,220,24.66870234118886,121.04577541351318,
珈蟌科,細胸珈蟌,76219,13:00:00,2021-03-29,Leo,南投縣,魚池鄉,五城社區,610,23.879775005694825,120.88703155517577,
珈蟌科,細胸珈蟌,76239,11:47:00,2021-03-29,ying-o hsiung,新竹縣,峨眉鄉,石硬子,220,24.668643843078403,121.04575395584106,
珈蟌科,細胸珈蟌,76240,11:50:00,2021-03-29,ying-o hsiung,新竹縣,峨眉鄉,石硬子,159,24.661924630962908,121.03544732734792,
珈蟌科,細胸珈蟌,76247,12:08:00,2021-03-28,skink,新竹縣,尖石鄉,水田林道1.8公里溪流,820,24.750894299705333,121.28330111503602,
珈蟌科,細胸珈蟌,76184,10:23:58,2021-03-27,天空遊民,新竹縣,關西鎮,四寮溪生態教室,214,24.78936443221541,121.20939016342163,
珈蟌科,細胸珈蟌,76188,16:03:00,2021-03-27,ying-o hsiung,新竹縣,峨眉鄉,石硬子,222,24.667805367147395,121.04474544525146,
珈蟌科,細胸珈蟌,76189,16:04:00,2021-03-27,ying-o hsiung,新竹縣,峨眉鄉,石硬子,220,24.66772736909987,121.04470252990723,
珈蟌科,細胸珈蟌,76226,10:30:00,2021-03-27,skink,南投縣,魚池鄉,十三哩橋水社水尾溪,665,23.88799587194254,120.90339303016661,
珈蟌科,細胸珈蟌,76229,12:25:00,2021-03-27,skink,南投縣,魚池鄉,五城派出所後面水社水尾溪,605,23.88097187073477,120.88739633560179,
珈蟌科,細胸珈蟌,76246,16:23:00,2021-03-27,skink,南投縣,魚池鄉,十三哩橋水社水尾溪,665,23.88799587194254,120.90339303016661,
珈蟌科,細胸珈蟌,76170,12:03:00,2021-03-26,ying-o hsiung,新竹縣,峨眉鄉,石硬子,217,24.668429349772026,121.04710578918457,
珈蟌科,細胸珈蟌,76171,12:19:00,2021-03-26,ying-o hsiung,新竹縣,峨眉鄉,石硬子,228,24.668799837978682,121.04633331298827,
珈蟌科,細胸珈蟌,76222,14:25:00,2021-03-26,skink,新竹縣,關西鎮,四寮溪溪流生態戶外教室,209,24.7911882770514,121.20477139949799,
珈蟌科,細胸珈蟌,76160,11:54:00,2021-03-25,ying-o hsiung,新竹縣,峨眉鄉,石硬子,222,24.66859509463207,121.04728817939757,
珈蟌科,細胸珈蟌,76161,12:00:00,2021-03-25,ying-o hsiung,新竹縣,峨眉鄉,石硬子,220,24.668517097078297,121.04703068733215,
珈蟌科,細胸珈蟌,76206,12:52:00,2021-03-25,skink,宜蘭縣,頭城鎮,福聖橋,162,24.882081077464893,121.81096136569975,
珈蟌科,細胸珈蟌,76211,14:20:00,2021-03-25,skink,宜蘭縣,頭城鎮,微笑灣休閒農場入口小溪,219,24.872007075135315,121.8193084001541,
