Species Family,Species,ID,Date,Time,User,City,Dictrict,Place,Altitude,Latitude,Longitude,Description
珈蟌科,中華珈蟌南臺亞種,67470,09:48:00,2020-08-04,天空遊民,新竹縣,關西鎮,石牛山溪,328,24.78132,121.24476,
珈蟌科,中華珈蟌南臺亞種,67266,10:40:00,2020-08-01,Leo,南投縣,埔里鎮,水上步道,574,23.92687603789487,120.91460466384888,
珈蟌科,中華珈蟌南臺亞種,66359,10:32:00,2020/7/14,chuntinglu,南投縣,魚池鄉,蓮華池,728,23.91907936,120.8832014,
珈蟌科,中華珈蟌南臺亞種,66019,14:12:00,2020/7/11,ying-o hsiung,新竹縣,峨眉鄉,石硬子,218,24.66772737,121.045754,
珈蟌科,中華珈蟌南臺亞種,65025,12:00:00,2020/6/28,Leo,花蓮縣,玉里鎮,馬太林池,1045,23.40871146,121.4146438,
珈蟌科,中華珈蟌南臺亞種,64900,10:00:00,2020/6/26,Leo,屏東縣,滿州鄉,出風山,257,22.03590131,120.8582522,
珈蟌科,中華珈蟌南臺亞種,64482,09:13:00,2020/6/17,天空遊民,新竹縣,關西鎮,長星橋,481,24.77079,121.26629,
珈蟌科,中華珈蟌南臺亞種,64201,10:35:00,2020/6/11,chuntinglu,南投縣,魚池鄉,蓮華池,756,23.91895187,120.8814526,
珈蟌科,中華珈蟌南臺亞種,63655,09:29:00,2020/6/3,天空遊民,新竹縣,關西鎮,石牛山溪,328,24.78132,121.24476,
珈蟌科,中華珈蟌南臺亞種,63428,10:30:00,2020/5/31,Leo,屏東縣,獅子鄉,內文三號橋,319,22.2235417,120.8564919,
珈蟌科,中華珈蟌南臺亞種,63455,10:00:00,2020/5/31,macintosh,南投縣,仁愛鄉,奧萬大,1273,23.9531571,121.1798258,
珈蟌科,中華珈蟌南臺亞種,63476,10:40:00,2020/5/25,skink,屏東縣,滿州鄉,港仔山草澤,365,22.14231543,120.8558321,
珈蟌科,中華珈蟌南臺亞種,63352,11:10:00,2020/5/24,skink,屏東縣,滿州鄉,港仔山草澤,365,22.14231543,120.8558321,
珈蟌科,中華珈蟌南臺亞種,63106,11:00:00,2020/5/16,Leo,南投縣,埔里鎮,水上步道,574,23.92687604,120.9146047,
珈蟌科,中華珈蟌南臺亞種,63015,08:35:00,2020/5/13,王振芳,南投縣,鹿谷鄉,長源圳古道,658,23.71764495,120.772469,
珈蟌科,中華珈蟌南臺亞種,62921,09:00:00,2020/5/11,chuntinglu,南投縣,仁愛鄉,綠生農場,714,24.00499328,121.0836697,
珈蟌科,中華珈蟌南臺亞種,62843,14:00:00,2020/5/6,rswu,屏東縣,滿州鄉,高士草澤,369,22.14114279,120.8539009,
珈蟌科,中華珈蟌南臺亞種,62694,07:00:00,2020/5/4,macintosh,屏東縣,獅子鄉,內文,376,22.23748532,120.8405972,
珈蟌科,中華珈蟌南臺亞種,62700,11:30:00,2020/4/28,ying-o hsiung,新竹縣,峨眉鄉,石硬子,217,24.66842935,121.046977,
珈蟌科,中華珈蟌南臺亞種,61943,10:25:00,2020/4/15,chuntinglu,南投縣,魚池鄉,水上步道,576,23.92785672,120.9143686,
珈蟌科,中華珈蟌南臺亞種,62804,11:37:00,2020/4/9,skink,新竹縣,關西鎮,七寮,246,24.79114769,121.2183076,
珈蟌科,中華珈蟌南臺亞種,61364,10:20:00,2020/3/23,skink,台東縣,卑南鄉,知本國家森林遊樂區,174,22.68898322,120.9910369,
珈蟌科,中華珈蟌南臺亞種,59442,10:30:00,2020/1/18,skink,台南市,東山區,崁頭山林道往曾文水庫路上萬姓王公,614,23.26260854,120.5115786,
珈蟌科,中華珈蟌南臺亞種,59761,10:00:00,2020/1/14,chuntinglu,南投縣,魚池鄉,蓮華池,727,23.91877533,120.8831477,
珈蟌科,中華珈蟌南臺亞種,58370,11:35:00,2019/12/13,chuntinglu,南投縣,埔里鎮,桃米里,531,23.93854565,120.9208596,
珈蟌科,中華珈蟌南臺亞種,58382,10:55:00,2019/12/13,chuntinglu,南投縣,埔里鎮,桃米里,590,23.93872216,120.9181023,
珈蟌科,中華珈蟌南臺亞種,58204,11:50:00,2019/12/10,skink,花蓮縣,秀林鄉,吉安分局水源檢查哨,120,24.00875677,121.5434325,
珈蟌科,中華珈蟌南臺亞種,57989,12:30:00,2019/12/1,Leo,苗栗縣,獅潭鄉,紙湖古道,141,24.58012432,120.9374356,
珈蟌科,中華珈蟌南臺亞種,57834,14:00:00,2019/11/24,Leo,南投縣,埔里鎮,水上步道,574,23.92687604,120.9146047,
珈蟌科,中華珈蟌南臺亞種,57670,16:05:00,2019/11/14,skink,南投縣,仁愛鄉,東岸部落生態教育園區,756,24.00526771,121.0828006,
珈蟌科,中華珈蟌南臺亞種,57552,10:30:00,2019/11/12,macintosh,南投縣,魚池鄉,蓮華池,660,23.91816237,120.8855993,
珈蟌科,中華珈蟌南臺亞種,57557,12:10:00,2019/11/10,Tyus Ma,新竹縣,尖石鄉,水田林道支線,1023,24.73891642,121.2784607,
珈蟌科,中華珈蟌南臺亞種,56805,11:00:00,2019/10/29,jerry9207,南投縣,魚池鄉,蓮華池,709,23.91815357,120.8837834,
珈蟌科,中華珈蟌南臺亞種,56915,09:10:00,2019/10/29,skink,花蓮縣,富里鄉,低調民宿,312,23.20987964,121.2941987,
珈蟌科,中華珈蟌南臺亞種,56881,10:15:00,2019/10/28,skink,花蓮縣,卓溪鄉,八通關古道東段0.6公里,510,23.32706022,121.231336,
珈蟌科,中華珈蟌南臺亞種,56891,10:48:00,2019/10/28,skink,花蓮縣,卓溪鄉,八通關古道山風一號吊橋,581,23.32652329,121.2280691,
珈蟌科,中華珈蟌南臺亞種,56892,10:58:00,2019/10/28,skink,花蓮縣,卓溪鄉,八通關古道1.4公里,633,23.32755774,121.2265992,
珈蟌科,中華珈蟌南臺亞種,56893,11:15:00,2019/10/28,skink,花蓮縣,卓溪鄉,八通關古道山風瀑布,621,23.32954779,121.2253869,
珈蟌科,中華珈蟌南臺亞種,56895,12:01:00,2019/10/28,skink,花蓮縣,卓溪鄉,八通關古道山風一號吊橋,581,23.32652329,121.2280691,
珈蟌科,中華珈蟌南臺亞種,56670,15:21:00,2019/10/25,王振芳,南投縣,鹿谷鄉,長源圳古道,658,23.71764495,120.772469,
珈蟌科,中華珈蟌南臺亞種,55560,10:30:00,2019/10/11,Tyus Ma,屏東縣,瑪家鄉,瑪筏道路,793,22.6687078,120.6915411,
珈蟌科,中華珈蟌南臺亞種,55535,10:00:00,2019/10/9,jerry9207,新竹縣,關西鎮,新富里,165,24.76843091,121.1800146,
珈蟌科,中華珈蟌南臺亞種,48758,13:10:00,2019/9/24,Leo,南投縣,埔里鎮,觀音瀑布,666,23.99229069,121.0353041,
珈蟌科,中華珈蟌南臺亞種,54606,10:00:00,2019/9/24,Leo,南投縣,埔里鎮,觀音瀑布,666,23.99229069,121.0353041,
珈蟌科,中華珈蟌南臺亞種,54588,10:00:00,2019/9/23,macintosh,南投縣,仁愛鄉,奧萬大,1273,23.9531571,121.1798258,
珈蟌科,中華珈蟌南臺亞種,53830,11:00:00,2019/9/10,jerry9207,新北市,汐止區,新山夢湖,319,25.12791814,121.6359687,
珈蟌科,中華珈蟌南臺亞種,53755,13:00:00,2019/9/8,Leo,南投縣,魚池鄉,蓮華池木屋教室,760,23.91957954,120.8810663,
珈蟌科,中華珈蟌南臺亞種,53663,09:36:00,2019/9/1,Fenabi,新北市,三峽區,雲森瀑布步道,998,24.82452168,121.4703584,
珈蟌科,中華珈蟌南臺亞種,52999,13:55:00,2019/8/22,ying-o hsiung,新竹縣,峨眉鄉,石硬子,217,24.66757137,121.0456252,
珈蟌科,中華珈蟌南臺亞種,53007,10:00:00,2019/8/22,waiting,花蓮縣,卓溪鄉,中平林道,1053,23.41170498,121.2729478,
珈蟌科,中華珈蟌南臺亞種,52901,13:24:00,2019/8/20,ying-o hsiung,新竹縣,峨眉鄉,石硬子,213,24.66676214,121.0453355,
珈蟌科,中華珈蟌南臺亞種,52838,17:23:00,2019/8/17,ying-o hsiung,新竹縣,峨眉鄉,石硬子,214,24.66746413,121.0446274,
珈蟌科,中華珈蟌南臺亞種,52322,16:14:00,2019/8/3,ying-o hsiung,新竹縣,峨眉鄉,石硬子,229,24.66740563,121.0460436,
珈蟌科,中華珈蟌南臺亞種,52062,13:55:00,2019/7/31,ying-o hsiung,新竹縣,峨眉鄉,石硬子,216,24.66655739,121.0454321,
珈蟌科,中華珈蟌南臺亞種,51913,13:54:00,2019/7/29,ying-o hsiung,新竹縣,峨眉鄉,石硬子,229,24.66748362,121.0458612,
