Species Family,Species,ID,Date,Time,User,City,District,Place,Altitude,Latitude,Longitude,Description
珈蟌科,中華珈蟌指名亞種,71692,12:22:00,2020-10-29,skink,台北市,文山區,臺北市立動物園昆蟲館,65,24.993724516679826,121.58088952302933,
珈蟌科,中華珈蟌指名亞種,71692,12:22:00,2020-10-29,skink,台北市,文山區,臺北市立動物園昆蟲館,65,24.993724516679826,121.58088952302933,
珈蟌科,中華珈蟌指名亞種,71692,12:22:00,2020-10-29,skink,台北市,文山區,臺北市立動物園昆蟲館,65,24.993724516679826,121.58088952302933,
珈蟌科,中華珈蟌指名亞種,71692,12:22:00,2020-10-29,skink,台北市,文山區,臺北市立動物園昆蟲館,65,24.993724516679826,121.58088952302933,
珈蟌科,中華珈蟌指名亞種,71692,12:22:00,2020-10-29,skink,台北市,文山區,臺北市立動物園昆蟲館,65,24.993724516679826,121.58088952302933,
珈蟌科,中華珈蟌指名亞種,70998,09:25:00,2020-10-03,lyajhoo,宜蘭縣,員山鄉,冷埤,424,24.72582239187035,121.64804935455321,
珈蟌科,中華珈蟌指名亞種,71692,12:22:00,2020-10-29,skink,台北市,文山區,臺北市立動物園昆蟲館,65,24.993724516679826,121.58088952302933,
珈蟌科,中華珈蟌指名亞種,70998,09:25:00,2020-10-03,lyajhoo,宜蘭縣,員山鄉,冷埤,424,24.72582239187035,121.64804935455321,
珈蟌科,中華珈蟌指名亞種,71692,12:22:00,2020-10-29,skink,台北市,文山區,臺北市立動物園昆蟲館,65,24.993724516679826,121.58088952302933,
珈蟌科,中華珈蟌指名亞種,71692,12:22:00,2020-10-29,skink,台北市,文山區,臺北市立動物園昆蟲館,65,24.993724516679826,121.58088952302933,
珈蟌科,中華珈蟌指名亞種,71692,12:22:00,2020-10-29,skink,台北市,文山區,臺北市立動物園昆蟲館,65,24.993724516679826,121.58088952302933,
珈蟌科,中華珈蟌指名亞種,70998,09:25:00,2020-10-03,lyajhoo,宜蘭縣,員山鄉,冷埤,424,24.72582239187035,121.64804935455321,
珈蟌科,中華珈蟌指名亞種,70205,07:30:00,2020-09-21,趙偉凱,宜蘭縣,員山鄉,雙連埤粗坑溪支流,518,24.75538585637881,121.63086175918579,
珈蟌科,中華珈蟌指名亞種,70060,14:25:00,2020-09-18,chiuchu29,台北市,北投區,竹子湖水車寮,670,25.17052860064321,121.5391355752945,
珈蟌科,中華珈蟌指名亞種,69499,14:10:00,2020-09-07,趙偉凱,宜蘭縣,大同鄉,北橫74.7k,1131,24.615686936328796,121.48437023162843,
珈蟌科,中華珈蟌指名亞種,69502,11:30:00,2020-09-07,趙偉凱,桃園市,復興區,北橫公路56.9K,996,24.643545624209292,121.43742084503174,
珈蟌科,中華珈蟌指名亞種,69302,08:30:00,2020-09-06,cclin,桃園市,復興區,觀音洞步道,527,24.832778779449555,121.36407852172852,
珈蟌科,中華珈蟌指名亞種,68846,11:48:00,2020-08-30,skink,宜蘭縣,冬山鄉,佛光慈惠寺取水山谷,51,24.615399198249058,121.80359601974486,
珈蟌科,中華珈蟌指名亞種,68576,15:15:00,2020-08-25,cclin,基隆市,七堵區,天使宮,94,25.08908719391699,121.67710304260255,
珈蟌科,中華珈蟌指名亞種,68723,15:30:00,2020-08-25,macintosh,宜蘭縣,員山鄉,冷埤,347,24.722372538368578,121.64762020111084,
珈蟌科,中華珈蟌指名亞種,68208,11:00:00,2020-08-21,neo,宜蘭縣,員山鄉,冷埤(含林道),356,24.722742866208257,121.65006637573242,
珈蟌科,中華珈蟌指名亞種,68137,11:00:00,2020-08-19,neo,宜蘭縣,員山鄉,阿玉山林道至草埤,589,24.758211264372168,121.61363124847412,
珈蟌科,中華珈蟌指名亞種,67746,11:30:00,2020-08-10,chiuchu29,新北市,坪林區,金瓜寮溪,254,24.909714664920518,121.67843341827393,
珈蟌科,中華珈蟌指名亞種,67622,10:31:00,2020-08-07,cclin,新北市,烏來區,雅岸步道,379,24.77896142948638,121.50390744209288,
珈蟌科,中華珈蟌指名亞種,67593,16:10:00,2020-08-06,chiuchu29,台北市,士林區,帕米爾公園,357,25.12123508521305,121.59358978271484,
珈蟌科,中華珈蟌指名亞種,67329,14:08:00,2020-08-01,chiuchu29,台北市,士林區,冷水坑生態池,735,25.16574628776189,121.56632781028748,
珈蟌科,中華珈蟌指名亞種,66814,11:27:00,2020-07-22,chiuchu29,新北市,雙溪區,烏山越嶺古道,328,24.95842695794041,121.79453015327452,
珈蟌科,中華珈蟌指名亞種,66702,11:55:00,2020-07-19,ying-o hsiung,新竹縣,峨眉鄉,石硬子,217,24.667532373767724,121.04565739631653,
珈蟌科,中華珈蟌指名亞種,66406,14:42:00,2020-07-15,chiuchu29,台北市,北投區,竹子湖,624,25.17111217561306,121.5321135520935,
珈蟌科,中華珈蟌指名亞種,66415,16:05:00,2020-07-15,chiuchu29,台北市,北投區,竹子湖水車寮,670,25.17052860064321,121.5391355752945,
珈蟌科,中華珈蟌指名亞種,66266,09:21:00,2020-07-14,chiuchu29,宜蘭縣,大同鄉,棲蘭山莊小泰山步道,348,24.601645521470576,121.51569843292235,
珈蟌科,中華珈蟌指名亞種,66023,14:53:00,2020-07-11,ying-o hsiung,新竹縣,峨眉鄉,石硬子,229,24.667512874217746,121.04594707489014,
珈蟌科,中華珈蟌指名亞種,65907,19:20:00,2020-07-10,skink,台北市,文山區,臺北市立動物園體能鍛鍊場出口,102,24.991807633743427,121.59085661172867,
珈蟌科,中華珈蟌指名亞種,65896,15:21:00,2020-07-09,ying-o hsiung,新竹縣,峨眉鄉,石硬子,217,24.667512874217746,121.04577541351318,
珈蟌科,中華珈蟌指名亞種,65634,11:05:00,2020-07-08,chiuchu29,宜蘭縣,大同鄉,松羅國家步道,281,24.66764449612095,121.56440198421478,
珈蟌科,中華珈蟌指名亞種,65567,10:06:00,2020-07-07,chiuchu29,宜蘭縣,礁溪鄉,林美石磐步道,26,24.816127698639914,121.75310611724854,
