Species Family,Species,ID,Date,Time,User,City,Dictrict,Place,Altitude,Latitude,Longitude,Description
鼓蟌科,脊紋鼓蟌,64412,13:10:00,2020-06-14,cclin,台南市,龍崎區,土崎里,77,22.996185039791218,120.38365602493285,
鼓蟌科,脊紋鼓蟌,62567,11:00:00,2020-05-02,Leo,台南市,關廟區,新光里,44,22.97583354528898,120.35782635211943,
鼓蟌科,脊紋鼓蟌,55547,07:04:00,2019-10-10,Tyus Ma,台南市,新營區,綠川,18,23.308115561463346,120.31299751564804,
鼓蟌科,脊紋鼓蟌,53608,12:18:00,2019-09-01,skink,台南市,新化區,五甲勢新豐二號橋,35,23.002940208509013,120.33421754837036,
鼓蟌科,脊紋鼓蟌,41506,10:50:00,2018-11-03,fernslu,台南市,新營區,新營文化中心,19,23.307958568707583,120.31454398333153,
鼓蟌科,脊紋鼓蟌,41515,11:49:00,2018-11-03,fernslu,台南市,新營區,綠川北街,20,23.309128934935295,120.32011847280955,
鼓蟌科,脊紋鼓蟌,39750,09:36:00,2018-09-16,王振芳,台南市,新營區,新營文化中心,20,23.30809852211437,120.3151577796234,
鼓蟌科,脊紋鼓蟌,38196,09:12:00,2018-08-11,c0959,台南市,新營區,南瀛綠都心公園,20,23.308104814584286,120.31496920034112,
鼓蟌科,脊紋鼓蟌,37772,14:00:00,2018-08-07,c0959,台南市,新營區,文化中心,20,23.30809417911256,120.31518144745632,
鼓蟌科,脊紋鼓蟌,37935,14:47:00,2018-07-31,skink,台南市,新化區,五甲勢新豐二號橋,35,23.002940208509013,120.33421754837036,
鼓蟌科,脊紋鼓蟌,37288,12:30:00,2018-07-18,c0959,台南市,新營區,文化中心,20,23.308065514235242,120.31543099811665,
鼓蟌科,脊紋鼓蟌,35746,12:00:00,2018-06-12,c0959,台南市,新營區,新營文化中心,20,23.30811615328586,120.31541661410426,
鼓蟌科,脊紋鼓蟌,35596,16:30:00,2018-06-09,c0959,台南市,新營區,新營文化中心,20,23.308062009072326,120.315603493141,
鼓蟌科,脊紋鼓蟌,33232,14:30:00,2018-04-14,trasierjmt,台南市,官田區,官田交流道系統,25,23.16588387044343,120.35237343967287,
鼓蟌科,脊紋鼓蟌,33262,16:15:00,2018-04-14,c0959,台南市,新營區,新營文化中心,20,23.308041621160487,120.31548636192542,
鼓蟌科,脊紋鼓蟌,33018,15:15:00,2018-04-08,c0959,台南市,新營區,新營文化中心,20,23.308044888822582,120.31543668356187,
鼓蟌科,脊紋鼓蟌,32862,16:15:00,2018-04-01,c0959,台南市,新營區,文化中心,20,23.308044768147223,120.31538490610046,
鼓蟌科,脊紋鼓蟌,32581,11:33:00,2018-03-21,c0959,台南市,新營區,新營文化中心,20,23.308057338323405,120.31562410421202,
鼓蟌科,脊紋鼓蟌,29825,10:30:00,2017-11-07,Leo,台南市,龍崎區,烏龍水,77,22.963806894745673,120.3832483291626,
鼓蟌科,脊紋鼓蟌,29804,12:30:00,2017-11-06,Leo,台南市,龍崎區,烏龍水,77,22.963806894745673,120.3832483291626,
鼓蟌科,脊紋鼓蟌,29507,08:30:00,2017-10-22,allenhu1999925,台南市,新營區,新營文化中心前綠川,19,23.30824676839748,120.31640768051147,
鼓蟌科,脊紋鼓蟌,29512,09:00:00,2017-10-22,allenhu1999925,台南市,新營區,新營文化中心前綠川,19,23.30824676839748,120.31640768051147,
鼓蟌科,脊紋鼓蟌,28295,10:10:32,2017-10-04,Tyus Ma,台南市,龍崎區,烏龍水,79,22.963941799197514,120.38384914398193,
鼓蟌科,脊紋鼓蟌,28297,11:00:00,2017-10-04,Leo,台南市,龍崎區,烏龍水,77,22.963806894745673,120.3832483291626,
鼓蟌科,脊紋鼓蟌,27267,12:20:00,2017-09-18,Leo,台南市,龍崎區,烏龍水,77,22.963806894745673,120.3832483291626,
