Species Family,Species,ID,Date,Time,User,City,Dictrict,Place,Altitude,Latitude,Longitude,Description
勾蜓科,褐翼勾蜓,67313,09:21:00,2020-08-01,chiuchu29,台北市,士林區,菁山路101巷71弄,429,25.15085922823907,121.5533995628357,
勾蜓科,褐翼勾蜓,66255,07:16:00,2020/7/14,chiuchu29,宜蘭縣,大同鄉,英仕山莊下方蘭陽溪河床,265,24.62638154,121.5425205,
勾蜓科,褐翼勾蜓,66006,12:59:00,2020/7/11,ying-o hsiung,新竹縣,峨眉鄉,石硬子,220,24.66852685,121.0456896,
勾蜓科,褐翼勾蜓,65412,15:40:00,2020/7/3,李宜龍,台北市,北投區,竹子湖,695,25.17766045,121.536684,
勾蜓科,褐翼勾蜓,65025,12:00:00,2020/6/28,Leo,花蓮縣,玉里鎮,馬太林池,1045,23.40871146,121.4146438,
勾蜓科,褐翼勾蜓,65032,15:16:00,2020/6/28,chiuchu29,台北市,士林區,帕米爾公園,357,25.12123509,121.5935898,
勾蜓科,褐翼勾蜓,64666,10:06:00,2020/6/23,chiuchu29,台北市,北投區,東昇路,417,25.15876426,121.5315771,
勾蜓科,褐翼勾蜓,64484,09:40:00,2020/6/17,天空遊民,新竹縣,關西鎮,長星橋,481,24.77079,121.26629,
勾蜓科,褐翼勾蜓,64321,11:16:00,2020/6/14,chiuchu29,台北市,士林區,風櫃嘴附近,483,25.13592179,121.5998554,
勾蜓科,褐翼勾蜓,64214,09:13:00,2020/6/12,chiuchu29,台北市,北投區,青春嶺,446,25.16074044,121.5357131,
勾蜓科,褐翼勾蜓,64492,09:13:00,2020/6/12,chiuchu29,台北市,北投區,大大屯瀑布,446,25.16074044,121.5357131,
勾蜓科,褐翼勾蜓,63569,16:00:00,2020/6/1,chiuchu29,台北市,北投區,竹子湖,612,25.17099954,121.531384,
勾蜓科,褐翼勾蜓,63701,09:05:00,2020/5/31,skink,宜蘭縣,冬山鄉,三富休閒農場,74,24.61822778,121.7531919,
勾蜓科,褐翼勾蜓,63673,20:00:00,2020/5/30,skink,宜蘭縣,冬山鄉,十三份坑,70,24.61990539,121.7661095,
勾蜓科,褐翼勾蜓,63490,10:40:00,2020/5/25,skink,屏東縣,滿州鄉,港仔山草澤,365,22.14231543,120.8558321,
勾蜓科,褐翼勾蜓,63015,08:35:00,2020/5/13,王振芳,南投縣,鹿谷鄉,長源圳古道,658,23.71764495,120.772469,
勾蜓科,褐翼勾蜓,62871,12:21:00,2020/5/9,skink,新北市,深坑區,清涼山北德寺,288,24.99336108,121.6179764,
勾蜓科,褐翼勾蜓,62843,14:00:00,2020/5/6,rswu,屏東縣,滿州鄉,高士草澤,369,22.14114279,120.8539009,
勾蜓科,褐翼勾蜓,62745,09:00:00,2020/5/5,趙偉凱,宜蘭縣,大同鄉,出水溪清靜寺,236,24.61450184,121.6661596,
勾蜓科,褐翼勾蜓,62572,09:53:00,2020/5/3,cclin,桃園市,大溪區,山豬湖,67,24.90403177,121.3034606,
勾蜓科,褐翼勾蜓,62387,10:00:00,2020/4/26,skink,南投縣,國姓鄉,惠蓀林場觀景臺,765,24.08929746,121.0347408,
勾蜓科,褐翼勾蜓,51924,07:35:00,2019/7/30,Tyus Ma,新北市,三芝區,二子坪蝴蝶步道往面天山,835,25.17839504,121.5140891,
勾蜓科,褐翼勾蜓,51284,09:10:00,2019/7/14,skink,新北市,三芝區,二子坪遊客服務站,840,25.18609288,121.5252042,
勾蜓科,褐翼勾蜓,51171,12:20:00,2019/7/12,skink,新北市,深坑區,清涼山北德寺,288,24.99336108,121.6179764,
勾蜓科,褐翼勾蜓,50961,13:25:00,2019/7/6,skink,台北市,士林區,福田園教育休閒農場,432,25.14382293,121.5683073,
勾蜓科,褐翼勾蜓,50751,13:15:00,2019/7/1,skink,新北市,三芝區,大屯自然公園,801,25.1864958,121.523509,
勾蜓科,褐翼勾蜓,50567,09:00:00,2019/6/29,ysc3679,新北市,雙溪區,泰平里,386,24.97236484,121.8280792,
勾蜓科,褐翼勾蜓,50270,11:00:00,2019/6/22,skink,新北市,貢寮區,內坑蕭家莊,323,24.9706312,121.8869403,
勾蜓科,褐翼勾蜓,50144,16:00:00,2019/6/19,neo,宜蘭縣,員山鄉,福山植物園,669,24.75934141,121.5850067,
