Species Family,Species,ID,Date,Time,User,City,District,Place,Altitude,Latitude,Longitude,Description
勾蜓科,斑翼勾蜓,66849,10:00:00,2020-07-24,allenhu1999925,宜蘭縣,員山鄉,粗坑大壩,276,24.720442917583135,121.6444444656372,
勾蜓科,斑翼勾蜓,66451,12:28:00,2020-07-16,skink,新北市,深坑區,清涼山北德寺,288,24.993361076999378,121.61797642707825,
勾蜓科,斑翼勾蜓,66205,06:43:00,2020-06-26,lyajhoo,屏東縣,獅子鄉,內文一號橋,318,22.222608107770526,120.85074663162231,
勾蜓科,斑翼勾蜓,66219,11:00:00,2020-06-26,lyajhoo,台東縣,達仁鄉,安朔國小附近,41,22.29207454638233,120.86501598358154,
勾蜓科,斑翼勾蜓,64773,10:00:00,2020-06-24,neo,宜蘭縣,員山鄉,阿玉山林道至草埤,589,24.758211264372168,121.61363124847412,
勾蜓科,斑翼勾蜓,63428,10:30:00,2020-05-31,Leo,屏東縣,獅子鄉,內文三號橋,319,22.223541704520123,120.8564919233322,
勾蜓科,斑翼勾蜓,63702,09:05:00,2020-05-31,skink,宜蘭縣,冬山鄉,三富休閒農場,74,24.618227781143805,121.753191947937,
勾蜓科,斑翼勾蜓,62745,09:00:00,2020-05-05,趙偉凱,宜蘭縣,大同鄉,出水溪清靜寺,236,24.61450184134173,121.66615962982178,
勾蜓科,斑翼勾蜓,62842,14:00:00,2020-05-04,rswu,屏東縣,獅子鄉,內文溪一號橋,320,22.221257361046824,120.85012435913085,
勾蜓科,斑翼勾蜓,61986,12:06:00,2020-04-16,skink,台北市,士林區,田仔尾橋,352,25.13480966246455,121.58631563186646,
勾蜓科,斑翼勾蜓,62005,14:13:00,2020-04-16,skink,台北市,士林區,大崎頭步道,332,25.130831441438335,121.58543635717774,
勾蜓科,斑翼勾蜓,51924,07:35:00,2019-07-30,Tyus Ma,新北市,三芝區,二子坪蝴蝶步道往面天山,835,25.178395036564726,121.51408910751343,
勾蜓科,斑翼勾蜓,51268,06:59:00,2019-07-15,Tyus Ma,台北市,士林區,聖人瀑布,252,25.126798241398173,121.58893883228302,
勾蜓科,斑翼勾蜓,51184,10:00:00,2019-07-12,neo,宜蘭縣,員山鄉,阿玉山林道,581,24.75786052756252,121.61384582519531,
勾蜓科,斑翼勾蜓,50984,15:16:00,2019-07-07,skink,宜蘭縣,員山鄉,雙連埤,469,24.750748150882607,121.64036750793457,
勾蜓科,斑翼勾蜓,50962,13:25:00,2019-07-06,skink,台北市,士林區,福田園教育休閒農場,432,25.143822931024115,121.56830728054047,
勾蜓科,斑翼勾蜓,50567,09:00:00,2019-06-29,ysc3679,新北市,雙溪區,泰平里,386,24.972364838003802,121.82807922363281,
勾蜓科,斑翼勾蜓,50237,10:54:00,2019-06-21,skink,新北市,三峽區,滿月圓森林遊樂區處女瀑布,601,24.819385059847754,121.45353555679321,
勾蜓科,斑翼勾蜓,50144,16:00:00,2019-06-19,neo,宜蘭縣,員山鄉,福山植物園,669,24.759341409578678,121.5850067138672,
勾蜓科,斑翼勾蜓,50301,11:00:00,2019-06-17,吳登立,雲林縣,古坑鄉,嵙角溪中游,359,23.593810879956962,120.59273421764374,
勾蜓科,斑翼勾蜓,47503,10:00:00,2019-04-25,roach,屏東縣,獅子鄉,內文,308,22.223362931155577,120.84975957870483,
勾蜓科,斑翼勾蜓,38318,14:55:00,2018-08-11,skink,宜蘭縣,員山鄉,冷埤林道(從冷埤到內城國中小化育分校),235,24.722023754442578,121.65808866262239,
勾蜓科,斑翼勾蜓,38041,09:06:00,2018-08-08,江上飄,新北市,三峽區,滿月圓森林遊樂區,345,24.83683416316203,121.44618988080765,
勾蜓科,斑翼勾蜓,37755,11:37:00,2018-08-02,skink,桃園市,復興區,東眼山林道1.7公里溪溝,867,24.836501350722347,121.41004009094036,
勾蜓科,斑翼勾蜓,37506,11:00:00,2018-07-29,neo,宜蘭縣,員山鄉,雙溪口,494,24.75447,121.62322,
勾蜓科,斑翼勾蜓,37131,10:00:00,2018-07-18,skink,台北市,文山區,臺北市立動物園雨林區,46,24.995180695656668,121.58326864242554,
勾蜓科,斑翼勾蜓,36527,16:37:00,2018-07-04,skink,台北市,文山區,新光路二段74巷土地公廟,161,24.986871381600956,121.59719774803511,
勾蜓科,斑翼勾蜓,36532,16:57:00,2018-07-04,skink,台北市,文山區,猴山坑涼亭,324,24.98477435001393,121.60006999969482,
勾蜓科,斑翼勾蜓,36536,17:50:00,2018-07-04,skink,台北市,文山區,萬壽路,182,24.982417680188373,121.58934838291407,
勾蜓科,斑翼勾蜓,36460,16:00:00,2018-07-02,neo,宜蘭縣,員山鄉,雙溪口,494,24.75447,121.62322,
勾蜓科,斑翼勾蜓,36422,15:00:00,2018-07-01,neo,宜蘭縣,員山鄉,雙溪口,494,24.75447,121.62322,
勾蜓科,斑翼勾蜓,36425,11:45:00,2018-07-01,cclin,桃園市,復興區,西村,1208,24.64815810575211,121.44488604927653,
勾蜓科,斑翼勾蜓,36231,14:35:00,2018-06-25,skink,宜蘭縣,冬山鄉,牛寮坑瀑布,73,24.615362621327083,121.8020161986351,
勾蜓科,斑翼勾蜓,36191,12:44:00,2018-06-24,skink,新北市,汐止區,白匏湖福德宮,92,25.05283583029386,121.65176754436357,
勾蜓科,斑翼勾蜓,36201,16:20:00,2018-06-21,neo,宜蘭縣,大同鄉,北橫64km攔砂壩,1111,24.646198044285992,121.4619255065918,
勾蜓科,斑翼勾蜓,35738,09:41:00,2018-06-09,martina,宜蘭縣,員山鄉,阿玉林道,587,24.758616487306355,121.61314870270144,
勾蜓科,斑翼勾蜓,35739,14:09:00,2018-06-09,martina,宜蘭縣,大同鄉,台7縣67K,1186,24.644813974633212,121.47692345946132,
勾蜓科,斑翼勾蜓,35334,14:30:00,2018-06-03,skink,宜蘭縣,大同鄉,微丹民宿,200,24.66798312641591,121.58900872878417,
