Species Family,Species,ID,Date,Time,User,City,Dictrict,Place,Altitude,Latitude,Longitude,Description
弓蜓科,慧眼弓蜓,66403,11:22:00,2020/7/14,Fenabi,基隆市,安樂區,情人湖,157,25.15828842,121.7047888,
弓蜓科,慧眼弓蜓,65586,08:52:00,2020/7/5,skink,連江縣,莒光鄉,東莒福正水庫,32,25.96564583,119.9783635,
弓蜓科,慧眼弓蜓,65455,09:04:00,2020/7/4,skink,連江縣,南竿鄉,津沙水庫,63,26.14567252,119.9156642,
弓蜓科,慧眼弓蜓,65505,14:49:00,2020/7/4,skink,連江縣,南竿鄉,儲水沃上壩,134,26.15356969,119.9206853,
弓蜓科,慧眼弓蜓,65066,17:43:00,2020/6/28,skink,宜蘭縣,員山鄉,望龍埤,99,24.77633132,121.6988611,
弓蜓科,慧眼弓蜓,64702,09:07:00,2020/6/17,skink,連江縣,南竿鄉,志清發電廠水池,77,26.1492215,119.9303037,
弓蜓科,慧眼弓蜓,64810,12:52:00,2020/6/17,skink,連江縣,南竿鄉,秋桂山水庫,43,26.16714773,119.9248052,
弓蜓科,慧眼弓蜓,64378,11:39:00,2020/6/15,skink,連江縣,南竿鄉,陽明橋,191,26.14905296,119.9228311,
弓蜓科,慧眼弓蜓,64152,15:00:00,2020/6/9,趙偉凱,金門縣,金湖鎮,金門植物園,71,24.45471629,118.3964127,
弓蜓科,慧眼弓蜓,63664,12:35:00,2020/5/28,skink,苗栗縣,銅鑼鄉,泳豐大閘蟹養殖場,229,24.42615192,120.8133856,
弓蜓科,慧眼弓蜓,63345,13:50:00,2020/5/23,skink,台南市,新營區,南瀛綠都心公園,16,23.30904263,120.31409,
弓蜓科,慧眼弓蜓,63062,09:00:00,2020/5/14,chuntinglu,南投縣,魚池鄉,蓮華池藥用植物園,698,23.92311016,120.8919239,
弓蜓科,慧眼弓蜓,62948,14:00:00,2020/5/10,趙偉凱,宜蘭縣,員山鄉,雙連埤,470,24.74902358,121.6382647,
弓蜓科,慧眼弓蜓,66194,14:55:00,2020/5/8,skink,新竹縣,關西鎮,東光一鄰公埤,191,24.7738765,121.2025023,
弓蜓科,慧眼弓蜓,65129,08:57:00,2020/4/30,skink,新竹縣,關西鎮,東光一鄰公埤,191,24.7738765,121.2025023,
弓蜓科,慧眼弓蜓,65143,12:55:00,2020/4/30,skink,新竹縣,關西鎮,老社寮野塘,164,24.76818249,121.1795908,
弓蜓科,慧眼弓蜓,64931,08:54:00,2020/4/29,skink,新竹縣,關西鎮,湖肚茄苳窩,163,24.78379554,121.1874253,
弓蜓科,慧眼弓蜓,62376,11:45:00,2020/4/25,skink,苗栗縣,造橋鄉,籠昇湖(大潭埤),39,24.63289637,120.8253837,
弓蜓科,慧眼弓蜓,62852,08:57:00,2020/4/10,skink,新竹縣,關西鎮,老社寮野塘,164,24.76818249,121.1795908,
弓蜓科,慧眼弓蜓,63163,13:00:00,2020/4/10,skink,新竹縣,關西鎮,東光一鄰公埤,191,24.7738765,121.2025023,
弓蜓科,慧眼弓蜓,61640,13:13:00,2020/4/3,skink,宜蘭縣,員山鄉,太陽埤步道,65,24.71744123,121.6828001,
弓蜓科,慧眼弓蜓,61435,14:40:00,2020/3/25,skink,南投縣,中寮鄉,下水堀農場,326,23.95411657,120.7968771,
弓蜓科,慧眼弓蜓,61403,15:20:00,2020/3/23,skink,台東縣,大武鄉,金龍湖,33,22.35110778,120.8908081,
弓蜓科,慧眼弓蜓,61321,11:34:00,2020/3/21,skink,花蓮縣,光復鄉,吉利潭,208,23.68005801,121.3972092,
弓蜓科,慧眼弓蜓,61667,08:45:00,2020/3/21,skink,新竹縣,關西鎮,東光一鄰公埤,191,24.7738765,121.2025023,
弓蜓科,慧眼弓蜓,57833,12:00:00,2019/11/24,Leo,南投縣,魚池鄉,桃米溪,668,23.91765728,120.9061289,
弓蜓科,慧眼弓蜓,57594,09:10:00,2019/11/16,天空遊民,桃園市,龍潭區,高原池,294,24.82380111,121.1913764,
弓蜓科,慧眼弓蜓,57609,09:50:00,2019/11/16,chuntinglu,南投縣,埔里鎮,鯉魚潭,521,23.96315625,120.998311,
弓蜓科,慧眼弓蜓,57697,09:05:00,2019/11/16,skink,宜蘭縣,員山鄉,深溝水源生態園區,25,24.72256498,121.7047285,
弓蜓科,慧眼弓蜓,57596,11:48:00,2019/11/15,cclin,桃園市,大溪區,山豬湖,67,24.90403177,121.3034606,
弓蜓科,慧眼弓蜓,57382,16:30:00,2019/11/9,Leo,南投縣,集集鎮,特有生物研究保育中心,251,23.82714125,120.8009541,
弓蜓科,慧眼弓蜓,56507,09:25:00,2019/10/24,skink,宜蘭縣,員山鄉,深溝水源生態園區,25,24.72256498,121.7047285,
弓蜓科,慧眼弓蜓,55798,11:05:00,2019/10/15,skink,宜蘭縣,員山鄉,深溝水源生態園區,25,24.72256498,121.7047285,
弓蜓科,慧眼弓蜓,54586,13:28:00,2019/9/18,ying-o hsiung,雲林縣,斗六市,九九莊園,46,23.74386882,120.5478287,
弓蜓科,慧眼弓蜓,53905,10:18:58,2019/9/13,Tyus Ma,台北市,大安區,國立臺灣大學醉月湖,12,25.01996705,121.5377052,
弓蜓科,慧眼弓蜓,53925,13:24:00,2019/9/13,skink,宜蘭縣,羅東鎮,羅東林業文化園區,8,24.68389961,121.7728141,
弓蜓科,慧眼弓蜓,53462,08:45:00,2019/8/30,skink,宜蘭縣,員山鄉,深溝水源生態園區,25,24.72256498,121.7047285,
弓蜓科,慧眼弓蜓,53718,08:50:00,2019/8/30,趙偉凱,宜蘭縣,員山鄉,深溝水源生態園區,25,24.72129566,121.7060173,
弓蜓科,慧眼弓蜓,53277,15:14:00,2019/8/29,趙偉凱,台北市,大安區,台灣大學醉月湖,14,25.01961349,121.5374136,
弓蜓科,慧眼弓蜓,53319,09:48:00,2019/8/26,skink,花蓮縣,花蓮市,林務局花蓮林區管理處,22,23.97749883,121.5911087,
弓蜓科,慧眼弓蜓,53106,10:00:00,2019/8/20,skink,金門縣,金湖鎮,金門植物園,71,24.45484569,118.3974695,
弓蜓科,慧眼弓蜓,57195,10:39:00,2019/8/20,skink,新竹縣,關西鎮,新富石拱橋,173,24.75399526,121.1888093,
弓蜓科,慧眼弓蜓,52842,10:00:00,2019/8/18,Leo,新北市,汐止區,新山夢湖,314,25.12763888,121.6363978,
弓蜓科,慧眼弓蜓,52301,10:12:00,2019/8/5,joanne,宜蘭縣,羅東鎮,羅東林業文化園區,11,24.68285808,121.773169,
弓蜓科,慧眼弓蜓,52110,09:00:00,2019/8/1,Tyus Ma,台北市,大安區,國立臺灣大學醉月湖,12,25.01996705,121.5377052,
弓蜓科,慧眼弓蜓,51650,10:55:00,2019/7/21,skink,屏東縣,牡丹鄉,東源森林遊樂區,296,22.20550183,120.8545581,
弓蜓科,慧眼弓蜓,50906,09:00:00,2019/7/7,Leo,基隆市,安樂區,情人湖,162,25.15982276,121.7047513,
弓蜓科,慧眼弓蜓,50985,15:16:00,2019/7/7,skink,宜蘭縣,員山鄉,雙連埤,469,24.75074815,121.6403675,
弓蜓科,慧眼弓蜓,50599,14:30:00,2019/6/30,Leo,南投縣,魚池鄉,蓮華池藥用植物標本園,696,23.9240026,120.8905828,
弓蜓科,慧眼弓蜓,50661,09:31:00,2019/6/30,cclin,宜蘭縣,員山鄉,冷埤,368,24.72375639,121.6492939,
弓蜓科,慧眼弓蜓,50307,10:40:00,2019/6/25,skink,新北市,萬里區,鏡湖,192,25.17489321,121.6552591,
弓蜓科,慧眼弓蜓,50349,11:03:00,2019/6/25,skink,新北市,萬里區,麻斯廩,203,25.18287435,121.6460216,
弓蜓科,慧眼弓蜓,50255,17:14:00,2019/6/21,skink,基隆市,安樂區,金龍湖,93,25.12518862,121.7125243,
弓蜓科,慧眼弓蜓,50197,18:35:00,2019/6/20,skink,桃園市,復興區,角板山行館園區生態池,431,24.81651722,121.3500345,
弓蜓科,慧眼弓蜓,50144,16:00:00,2019/6/19,neo,宜蘭縣,員山鄉,福山植物園,669,24.75934141,121.5850067,
弓蜓科,慧眼弓蜓,49991,07:59:00,2019/6/18,skink,宜蘭縣,頭城鎮,港口埤圳,6,24.86841041,121.8345809,
弓蜓科,慧眼弓蜓,50005,12:25:00,2019/6/18,skink,宜蘭縣,頭城鎮,港口埤圳,4,24.86744674,121.8327248,
弓蜓科,慧眼弓蜓,49938,16:25:00,2019/6/17,趙偉凱,台北市,大安區,台灣大學生態池,15,25.01626905,121.5399724,
弓蜓科,慧眼弓蜓,49907,17:48:00,2019/6/15,王振芳,屏東縣,牡丹鄉,東源水上草原,298,22.20274287,120.8548021,
弓蜓科,慧眼弓蜓,49682,17:47:00,2019/6/9,skink,宜蘭縣,礁溪鄉,虎頭埤,232,24.81474488,121.7484069,
弓蜓科,慧眼弓蜓,49346,06:20:00,2019/6/5,Tyus Ma,桃園市,蘆竹區,開南大學,85,25.01124249,121.2701797,
弓蜓科,慧眼弓蜓,49315,15:53:00,2019/6/2,skink,嘉義市,東區,嘉義大學植物園,74,23.47285249,120.4890937,
