Species Family,Species,ID,Date,Time,User,City,District,Place,Altitude,Latitude,Longitude,Description
弓蜓科,天王弓蜓,68588,11:22:00,2020-08-23,ying-o hsiung,新竹縣,峨眉鄉,石硬子,221,24.668390350949412,121.04577541351318,
弓蜓科,天王弓蜓,67266,10:40:00,2020-08-01,Leo,南投縣,埔里鎮,水上步道,574,23.92687603789487,120.91460466384888,
弓蜓科,天王弓蜓,65048,10:32:00,2020-06-28,skink,宜蘭縣,大同鄉,前候橋,168,24.683990579160806,121.61733138125362,
弓蜓科,天王弓蜓,64904,07:35:00,2020-06-27,Leo,屏東縣,獅子鄉,內文一號橋,306,22.224142579991735,120.84956109523772,
弓蜓科,天王弓蜓,64993,17:00:00,2020-06-27,Leo,屏東縣,牡丹鄉,東源水上草原,291,22.20168000536358,120.85148692131042,
弓蜓科,天王弓蜓,63492,10:40:00,2020-05-25,skink,屏東縣,滿州鄉,港仔山草澤,365,22.142315433755794,120.85583209991455,
弓蜓科,天王弓蜓,63365,12:20:00,2020-05-24,skink,屏東縣,牡丹鄉,牡丹高士聯絡道0.6公里處,282,22.169064883808957,120.83644509315491,
弓蜓科,天王弓蜓,62843,14:00:00,2020-05-06,rswu,屏東縣,滿州鄉,高士草澤,369,22.141142793255156,120.85390090942383,
弓蜓科,天王弓蜓,53728,11:30:00,2019-09-08,Leo,南投縣,魚池鄉,蓮華池藥用植物標本園,696,23.92400260157388,120.8905827999115,
弓蜓科,天王弓蜓,53008,08:00:00,2019-08-25,allenhu1999925,花蓮縣,光復鄉,光復車站,125,23.66598714955243,121.42098426818848,
弓蜓科,天王弓蜓,52255,08:20:00,2019-08-04,cclin,宜蘭縣,大同鄉,員山路三段,155,24.683598966834726,121.61762237548828,
弓蜓科,天王弓蜓,52207,08:01:00,2019-08-02,Tyus Ma,新竹縣,關西鎮,赤柯山吊橋,244,24.749648475980944,121.20363793961587,
弓蜓科,天王弓蜓,51736,08:55:00,2019-07-26,Tyus Ma,新竹縣,關西鎮,赤柯山吊橋,244,24.749648475980944,121.20363793961587,
弓蜓科,天王弓蜓,51747,09:36:00,2019-07-23,skink,屏東縣,牡丹鄉,東源水上草原步道,290,22.198928428026548,120.84986686706543,
弓蜓科,天王弓蜓,51634,10:00:00,2019-07-21,skink,屏東縣,牡丹鄉,東源水上草原步道,290,22.198928428026548,120.84986686706543,
弓蜓科,天王弓蜓,50224,09:00:00,2019-06-26,allenhu1999925,宜蘭縣,大同鄉,蘭陽溪支流(崙埤),164,24.682532566260157,121.61852704647151,
弓蜓科,天王弓蜓,48723,10:50:00,2019-05-10,skink,新竹縣,關西鎮,東光里一鄰公埤,205,24.77233779705628,121.20350807905197,
弓蜓科,天王弓蜓,46283,11:00:00,2019-03-23,skink,台北市,北投區,珠海路臺北市泉源公園溫泉泡腳池園區,65,25.141781704501547,121.50948434379427,
弓蜓科,天王弓蜓,37869,09:30:00,2018-08-08,allenhu1999925,宜蘭縣,大同鄉,蘭陽溪支流(崙埤),164,24.682532566260157,121.61852704647151,
弓蜓科,天王弓蜓,37502,09:35:00,2018-07-29,Leo,宜蘭縣,大同鄉,崙埤,170,24.684131889574065,121.61737872886647,
