Species Family,Species,ID,Date,Time,User,City,District,Place,Altitude,Latitude,Longitude,Description
幽蟌科,短尾幽蟌,71784,09:30:00,2020-11-01,chuntinglu,嘉義縣,梅山鄉,龍眼村金鳳寮,906,23.57403729974249,120.62582731246948,
幽蟌科,短尾幽蟌,71824,10:25:00,2020-11-01,skink,嘉義縣,梅山鄉,三川茶園附近銅寮溪,898,23.57429296921507,120.62584877014159,
幽蟌科,短尾幽蟌,71784,09:30:00,2020-11-01,chuntinglu,嘉義縣,梅山鄉,龍眼村金鳳寮,906,23.57403729974249,120.62582731246948,
幽蟌科,短尾幽蟌,71824,10:25:00,2020-11-01,skink,嘉義縣,梅山鄉,三川茶園附近銅寮溪,898,23.57429296921507,120.62584877014159,
幽蟌科,短尾幽蟌,71791,10:10:00,2020-10-31,skink,嘉義縣,梅山鄉,三川茶園附近銅寮溪,141,24.763140960313716,121.17379188537596,
幽蟌科,短尾幽蟌,71680,11:30:00,2020-10-28,吳登立,嘉義縣,梅山鄉,金鳳寮,949,23.575295975415504,120.62463641166687,
幽蟌科,短尾幽蟌,70665,08:40:00,2020-09-28,chiuchu29,花蓮縣,卓溪鄉,瓦拉米步道,1252,23.349170866226725,121.17533683776855,
幽蟌科,短尾幽蟌,69635,12:28:00,2020-09-11,skink,花蓮縣,秀林鄉,砂卡礑步道,91,24.164296196060473,121.61212921142578,
幽蟌科,短尾幽蟌,69775,11:00:00,2020-09-11,macintosh,南投縣,仁愛鄉,奧萬大,1273,23.95315710235409,121.17982580390014,
幽蟌科,短尾幽蟌,69580,11:00:00,2020-09-10,macintosh,南投縣,仁愛鄉,奧萬大,1273,23.95315710235409,121.17982580390014,
幽蟌科,短尾幽蟌,69500,14:10:00,2020-09-07,趙偉凱,宜蘭縣,大同鄉,北橫74.7k,1131,24.615686936328796,121.48437023162843,
幽蟌科,短尾幽蟌,68582,12:26:00,2020-08-26,簡庭威,南投縣,竹山鎮,杉林溪森林生態渡假園區,1696,23.63680524474067,120.79283084339295,
幽蟌科,短尾幽蟌,68693,12:02:00,2020-08-25,skink,台中市,和平區,710林道0.12公里有勝溪,1992,24.38962882208007,121.35429382324219,
幽蟌科,短尾幽蟌,68137,11:00:00,2020-08-19,neo,宜蘭縣,員山鄉,阿玉山林道至草埤,589,24.758211264372168,121.61363124847412,
幽蟌科,短尾幽蟌,67622,10:31:00,2020-08-07,cclin,新北市,烏來區,雅岸步道,379,24.77896142948638,121.50390744209288,
幽蟌科,短尾幽蟌,66896,10:23:00,2020-07-24,cclin,桃園市,復興區,桃源仙谷,398,24.786773503732405,121.28301143646239,
幽蟌科,短尾幽蟌,66812,11:27:00,2020-07-22,chiuchu29,新北市,雙溪區,烏山越嶺古道,328,24.95842695794041,121.79453015327452,
幽蟌科,短尾幽蟌,66560,10:34:00,2020-07-18,Fenabi,宜蘭縣,大同鄉,思源埡口,1959,24.39411380489678,121.35443329811095,
幽蟌科,短尾幽蟌,65844,15:00:00,2020-07-09,neo,宜蘭縣,礁溪鄉,林美石磐步道,305,24.827832376306244,121.72877311706543,
幽蟌科,短尾幽蟌,65630,09:49:00,2020-07-08,chiuchu29,宜蘭縣,大同鄉,松羅國家步道,281,24.66764449612095,121.56440198421478,
幽蟌科,短尾幽蟌,71931,08:10:00,2020-07-06,skink,新竹縣,關西鎮,錦山里石牛坑溪登山口,311,24.784942288562245,121.2491512298584,
幽蟌科,短尾幽蟌,72181,10:34:00,2020-07-06,skink,新竹縣,關西鎮,錦山里而完窩溪源流,558,24.763667042793838,121.25746607780455,
幽蟌科,短尾幽蟌,66225,08:30:00,2020-06-27,lyajhoo,台東縣,達仁鄉,安朔國小附近,41,22.29207454638233,120.86501598358154,
幽蟌科,短尾幽蟌,64773,10:00:00,2020-06-24,neo,宜蘭縣,員山鄉,阿玉山林道至草埤,589,24.758211264372168,121.61363124847412,
幽蟌科,短尾幽蟌,64585,10:18:00,2020-06-20,chiuchu29,台北市,士林區,魚路古道,431,25.176087500166407,121.58443808555602,
幽蟌科,短尾幽蟌,70413,08:27:00,2020-06-19,skink,新竹縣,關西鎮,錦山里石牛坑溪登山口,311,24.784942288562245,121.2491512298584,
幽蟌科,短尾幽蟌,70476,11:11:00,2020-06-19,skink,新竹縣,關西鎮,錦山里而完窩溪源流,558,24.763667042793838,121.25746607780455,
幽蟌科,短尾幽蟌,70496,08:07:00,2020-06-19,skink,新竹縣,關西鎮,馬武督溪探索森林入口,514,24.755717114433914,121.25126481056212,
幽蟌科,短尾幽蟌,64483,09:13:00,2020-06-17,天空遊民,新竹縣,關西鎮,長星橋,481,24.77079,121.26629,
幽蟌科,短尾幽蟌,64300,13:25:00,2020-06-14,chiuchu29,台北市,士林區,登峰圳,423,25.137098979133572,121.58899784088135,
幽蟌科,短尾幽蟌,69218,08:07:00,2020-06-05,skink,新竹縣,關西鎮,錦山里石牛坑溪登山口,311,24.784942288562245,121.2491512298584,
幽蟌科,短尾幽蟌,69233,10:36:00,2020-06-05,skink,新竹縣,關西鎮,錦山里而完窩溪源流,558,24.763667042793838,121.25746607780455,
幽蟌科,短尾幽蟌,70023,07:59:00,2020-06-05,skink,新竹縣,關西鎮,馬武督溪探索森林入口,514,24.755717114433914,121.25126481056212,
幽蟌科,短尾幽蟌,63428,10:30:00,2020-05-31,Leo,屏東縣,獅子鄉,內文三號橋,319,22.223541704520123,120.8564919233322,
幽蟌科,短尾幽蟌,63682,09:53:00,2020-05-30,skink,宜蘭縣,大同鄉,北橫公路80.8公里,748,24.60683502963371,121.48862957954407,
幽蟌科,短尾幽蟌,65637,12:23:00,2020-05-30,lyajhoo,宜蘭縣,員山鄉,草埤,839,24.766667618783643,121.60453319549559,
幽蟌科,短尾幽蟌,63482,10:40:00,2020-05-25,skink,屏東縣,滿州鄉,港仔山草澤,365,22.142315433755794,120.85583209991455,
幽蟌科,短尾幽蟌,63363,12:20:00,2020-05-24,skink,屏東縣,牡丹鄉,牡丹高士聯絡道0.6公里處,282,22.169064883808957,120.83644509315491,
幽蟌科,短尾幽蟌,67407,09:13:00,2020-05-24,skink,新竹縣,關西鎮,馬武督溪探索森林入口,514,24.755717114433914,121.25126481056212,
幽蟌科,短尾幽蟌,67725,08:53:00,2020-05-24,skink,新竹縣,關西鎮,錦山里石牛坑溪登山口,311,24.784942288562245,121.2491512298584,
幽蟌科,短尾幽蟌,67783,11:05:00,2020-05-24,skink,新竹縣,關西鎮,錦山里而完窩溪源流,558,24.763667042793838,121.25746607780455,
幽蟌科,短尾幽蟌,67794,13:27:00,2020-05-24,skink,新竹縣,關西鎮,錦山里錦發橋,241,24.775513050757304,121.23855113983154,
幽蟌科,短尾幽蟌,63217,14:30:00,2020-05-18,Leo,南投縣,仁愛鄉,摩摩納爾瀑布,867,23.921857510477412,121.06102067831671,
幽蟌科,短尾幽蟌,63114,12:00:00,2020-05-17,Leo,嘉義縣,阿里山鄉,樂米吊橋,1219,23.469899172997327,120.71427583694458,
幽蟌科,短尾幽蟌,62946,12:10:00,2020-05-11,趙偉凱,宜蘭縣,員山鄉,雙連埤粗坑溪支流,518,24.75538585637881,121.63086175918579,
幽蟌科,短尾幽蟌,62957,10:34:00,2020-05-10,skink,宜蘭縣,大同鄉,北橫公路80.8公里,748,24.60683502963371,121.48862957954407,
幽蟌科,短尾幽蟌,62970,11:10:00,2020-05-10,skink,宜蘭縣,大同鄉,北橫公路80.7公里,748,24.60683502963371,121.48862957954407,
幽蟌科,短尾幽蟌,62975,12:08:00,2020-05-10,skink,宜蘭縣,大同鄉,明池台七線67K黃肩點,1186,24.6447645742549,121.47684931755066,
幽蟌科,短尾幽蟌,62982,13:20:00,2020-05-10,skink,宜蘭縣,大同鄉,明池台七線64K攔砂壩,1116,24.6459445065667,121.46222054958344,
幽蟌科,短尾幽蟌,62985,13:35:00,2020-05-10,skink,宜蘭縣,大同鄉,明池台七線63.7K短痣點,1054,24.639245073425915,121.45302057266235,
幽蟌科,短尾幽蟌,62986,14:10:00,2020-05-10,skink,宜蘭縣,大同鄉,明池台七線64.2公里,1107,24.643857676553957,121.4596939086914,
幽蟌科,短尾幽蟌,62987,15:23:00,2020-05-10,skink,宜蘭縣,大同鄉,北橫公路80.7公里,748,24.60683502963371,121.48862957954407,
幽蟌科,短尾幽蟌,66833,08:22:00,2020-05-09,skink,新竹縣,關西鎮,馬武督溪探索森林入口,514,24.755717114433914,121.25126481056212,
幽蟌科,短尾幽蟌,65973,11:02:00,2020-05-08,skink,新竹縣,關西鎮,阿化窩溪源流,307,24.77865056161526,121.22848644853548,
幽蟌科,短尾幽蟌,66096,10:40:00,2020-05-08,skink,新竹縣,關西鎮,錦山里而完窩溪源流,558,24.763667042793838,121.25746607780455,
幽蟌科,短尾幽蟌,62679,06:20:00,2020-05-04,趙偉凱,宜蘭縣,員山鄉,雙連埤粗坑溪支流,518,24.75538585637881,121.63086175918579,
幽蟌科,短尾幽蟌,62694,07:00:00,2020-05-04,macintosh,屏東縣,獅子鄉,內文,376,22.237485324669706,120.84059715270996,
幽蟌科,短尾幽蟌,62842,14:00:00,2020-05-04,rswu,屏東縣,獅子鄉,內文溪一號橋,320,22.221257361046824,120.85012435913085,
幽蟌科,短尾幽蟌,62460,12:25:00,2020-04-30,skink,台北市,文山區,指南路三段二格山登山口,413,24.970578789487025,121.61453209363617,
幽蟌科,短尾幽蟌,63916,12:04:00,2020-04-28,skink,新竹縣,關西鎮,馬武督溪探索森林入口,514,24.755717114433914,121.25126481056212,
幽蟌科,短尾幽蟌,63936,12:50:00,2020-04-28,skink,新竹縣,關西鎮,錦山里而完窩溪源流,558,24.763667042793838,121.25746607780455,
幽蟌科,短尾幽蟌,62156,14:00:00,2020-04-20,Leo,南投縣,魚池鄉,吉仙宮,486,23.87899998062525,120.87454319000243,
幽蟌科,短尾幽蟌,61990,12:15:00,2020-04-16,skink,台北市,士林區,坪頂古圳步道,390,25.136533695788952,121.586776971817,
幽蟌科,短尾幽蟌,61995,12:46:00,2020-04-16,skink,台北市,士林區,桃仔腳橋,389,25.13664053648979,121.58570408821106,
幽蟌科,短尾幽蟌,61923,11:30:00,2020-04-15,rswu,桃園市,復興區,東眼山大門前約三百公尺路旁水源地,864,24.836537134760995,121.41008377075197,
幽蟌科,短尾幽蟌,61946,10:25:00,2020-04-15,chuntinglu,南投縣,魚池鄉,水上步道,576,23.927856718250435,120.91436862945557,
幽蟌科,短尾幽蟌,61786,11:05:00,2020-04-10,chuntinglu,南投縣,魚池鄉,蓮華池,715,23.91910878641915,120.88342666625977,
幽蟌科,短尾幽蟌,62828,09:41:00,2020-04-10,skink,新竹縣,關西鎮,錦山里而完窩溪源流,558,24.763667042793838,121.25746607780455,
幽蟌科,短尾幽蟌,63203,09:09:00,2020-04-10,skink,新竹縣,關西鎮,馬武督溪探索森林入口,514,24.755717114433914,121.25126481056212,
幽蟌科,短尾幽蟌,61203,12:00:00,2020-03-17,chuntinglu,南投縣,魚池鄉,蓮華池,727,23.918932252548004,120.88308334350585,
幽蟌科,短尾幽蟌,55560,10:30:00,2019-10-11,Tyus Ma,屏東縣,瑪家鄉,瑪筏道路,793,22.668707797781334,120.69154111508395,
幽蟌科,短尾幽蟌,55562,10:10:00,2019-10-11,neo,新北市,坪林區,九芎根親水公園,369,24.884957127395754,121.66208267211914,
幽蟌科,短尾幽蟌,54173,12:00:00,2019-09-17,jerry9207,新竹縣,五峰鄉,大鹿林道西線,2095,24.497771154019716,121.10965490341185,
幽蟌科,短尾幽蟌,54070,09:25:00,2019-09-16,skink,新北市,烏來區,福山植物園哈盆溪,676,24.764699716737812,121.58621907234192,
幽蟌科,短尾幽蟌,53663,09:36:00,2019-09-01,Fenabi,新北市,三峽區,雲森瀑布步道,998,24.82452168115433,121.47035837173462,
幽蟌科,短尾幽蟌,53007,10:00:00,2019-08-22,waiting,花蓮縣,卓溪鄉,中平林道,1053,23.411704983321723,121.27294778823854,
幽蟌科,短尾幽蟌,57420,07:55:00,2019-08-22,skink,新竹縣,關西鎮,馬武督溪探索森林入口,514,24.755717114433914,121.25126481056212,
幽蟌科,短尾幽蟌,57312,10:09:00,2019-08-21,skink,新竹縣,關西鎮,六曲窩小溪頭,549,24.754976654032642,121.25146865844725,
幽蟌科,短尾幽蟌,57328,11:00:00,2019-08-21,skink,新竹縣,關西鎮,錦山里而完窩溪源流,558,24.763667042793838,121.25746607780455,
幽蟌科,短尾幽蟌,57003,08:45:00,2019-08-07,skink,新竹縣,關西鎮,錦山里而完窩溪源流,558,24.763667042793838,121.25746607780455,
幽蟌科,短尾幽蟌,56571,07:58:00,2019-08-05,skink,新竹縣,關西鎮,馬武督溪探索森林入口,514,24.755717114433914,121.25126481056212,
幽蟌科,短尾幽蟌,52349,10:00:00,2019-08-04,skink,桃園市,復興區,東眼山森林遊樂區景觀步道,935,24.83213400564052,121.41019197097194,
幽蟌科,短尾幽蟌,52358,10:30:00,2019-08-04,skink,桃園市,復興區,東眼山森林遊樂區森林知性步道,1029,24.82339212962013,121.41089916229248,
幽蟌科,短尾幽蟌,52363,13:20:00,2019-08-04,skink,桃園市,復興區,東眼山森林遊樂區東眼山林道,953,24.82255469683353,121.40592098236083,
幽蟌科,短尾幽蟌,56358,08:30:00,2019-08-04,skink,新竹縣,關西鎮,六曲窩小溪頭,549,24.754976654032642,121.25146865844725,
幽蟌科,短尾幽蟌,52326,10:35:00,2019-08-03,skink,桃園市,復興區,東眼山林道1.7公里溪溝,791,24.841113216453394,121.4018440246582,
幽蟌科,短尾幽蟌,52339,15:30:00,2019-08-03,skink,桃園市,復興區,東眼山國家森林遊樂區第二小木屋攔砂壩,941,24.828407783887492,121.41066312731596,
幽蟌科,短尾幽蟌,52028,10:00:00,2019-07-31,天空遊民,新竹縣,關西鎮,四寮溪,193,24.791098181207094,121.20205163955688,
幽蟌科,短尾幽蟌,51884,16:00:00,2019-07-29,neo,宜蘭縣,員山鄉,雙溪口,494,24.75447,121.62322,
幽蟌科,短尾幽蟌,51767,10:55:00,2019-07-23,skink,屏東縣,獅子鄉,內文三號橋,317,22.223362931155577,120.85516691207886,
幽蟌科,短尾幽蟌,56273,11:10:00,2019-07-23,skink,新竹縣,關西鎮,六曲窩小溪頭,549,24.754976654032642,121.25146865844725,
幽蟌科,短尾幽蟌,56211,13:10:00,2019-07-22,skink,新竹縣,關西鎮,錦山里而完窩溪源流,558,24.763667042793838,121.25746607780455,
幽蟌科,短尾幽蟌,56243,10:30:00,2019-07-22,skink,新竹縣,關西鎮,馬武督溪探索森林入口,514,24.755717114433914,121.25126481056212,
幽蟌科,短尾幽蟌,51529,08:30:00,2019-07-21,cclin,新竹縣,五峰鄉,大鹿林道9K,1190,24.529633541314364,121.09414100646971,
幽蟌科,短尾幽蟌,51547,10:10:00,2019-07-21,趙偉凱,桃園市,復興區,北橫公路56.9K,996,24.643545624209292,121.43742084503174,
幽蟌科,短尾幽蟌,51549,10:10:00,2019-07-21,趙偉凱,桃園市,復興區,北橫公路56.4K,1166,24.646744123779243,121.43420219421385,
幽蟌科,短尾幽蟌,51462,10:25:00,2019-07-17,王振芳,新竹縣,關西鎮,石牛山,279,24.782136970359584,121.24649047851562,
幽蟌科,短尾幽蟌,51257,09:00:00,2019-07-14,ysc3679,新竹縣,五峰鄉,大鹿林道,1370,24.534971715180596,121.1143087774933,
幽蟌科,短尾幽蟌,51184,10:00:00,2019-07-12,neo,宜蘭縣,員山鄉,阿玉山林道,581,24.75786052756252,121.61384582519531,
幽蟌科,短尾幽蟌,51187,09:04:00,2019-07-12,cclin,桃園市,復興區,北橫西村,1182,24.647524233198574,121.44415855407713,
幽蟌科,短尾幽蟌,50958,13:25:00,2019-07-06,skink,台北市,士林區,福田園教育休閒農場,432,25.143822931024115,121.56830728054047,
幽蟌科,短尾幽蟌,55447,10:45:00,2019-07-02,skink,新竹縣,關西鎮,六曲窩小溪頭,549,24.754976654032642,121.25146865844725,
幽蟌科,短尾幽蟌,55475,09:00:00,2019-07-02,skink,新竹縣,關西鎮,錦山里而完窩溪源流,558,24.763667042793838,121.25746607780455,
幽蟌科,短尾幽蟌,50777,17:00:00,2019-07-01,skink,台北市,士林區,帕米爾公園,354,25.12177906866049,121.59384727478027,
幽蟌科,短尾幽蟌,50567,09:00:00,2019-06-29,ysc3679,新北市,雙溪區,泰平里,386,24.972364838003802,121.82807922363281,
幽蟌科,短尾幽蟌,50268,11:00:00,2019-06-22,skink,新北市,貢寮區,內坑蕭家莊,323,24.97063119953426,121.88694030046463,
