Species Family,Species,ID,Date,Time,User,City,District,Place,Altitude,Latitude,Longitude,Description,weather
Species Family,Species,ID,Time,Date,User,City,District,Place,Altitude,Latitude,Longitude,Description
春蜓科,鉤紋春蜓,80135,08:00:00,2021-06-21,kss5802,桃園市,龍潭區,小粗坑古道入口溪流,287,24.81142409324449,121.22093439102171,
春蜓科,鉤紋春蜓,80161,13:37:00,2021-06-20,ying-o hsiung,新竹縣,峨眉鄉,七星村石硬子,218,24.66449040712424,121.04028224945067,
春蜓科,鉤紋春蜓,79881,09:00:00,2021-06-18,kss5802,桃園市,龍潭區,高原池,292,24.824813804874633,121.1917519569397,
春蜓科,鉤紋春蜓,78875,14:17:00,2021-06-03,ying-o hsiung,新竹縣,峨眉鄉,七星村石硬子,226,24.665660403072057,121.03955268859862,
春蜓科,鉤紋春蜓,79351,10:08:00,2021-06-03,skink,新竹縣,關西鎮,阿化窩上游,307,24.77865056161526,121.22848644853548,
春蜓科,鉤紋春蜓,79372,08:05:00,2021-06-03,skink,新竹縣,關西鎮,錦山里石牛坑溪登山口,311,24.784942288562245,121.2491512298584,
春蜓科,鉤紋春蜓,78802,13:57:00,2021-05-28,ying-o hsiung,新竹縣,峨眉鄉,七星村石硬子,218,24.66534840522541,121.03970289230347,
春蜓科,鉤紋春蜓,78828,13:15:00,2021-05-27,ying-o hsiung,新竹縣,峨眉鄉,七星村石硬子,223,24.665094906400512,121.04000329971312,
春蜓科,鉤紋春蜓,78838,15:41:00,2021-05-26,ying-o hsiung,新竹縣,峨眉鄉,七星村石硬子,223,24.665543403971004,121.03976726531984,
春蜓科,鉤紋春蜓,78761,07:52:00,2021-05-20,skink,新竹縣,關西鎮,錦山里石牛坑溪登山口,311,24.784942288562245,121.2491512298584,
春蜓科,鉤紋春蜓,78482,08:21:00,2021-05-06,skink,新竹縣,關西鎮,錦山里石牛坑溪登山口,311,24.784942288562245,121.2491512298584,
春蜓科,鉤紋春蜓,78527,10:12:00,2021-05-06,skink,新竹縣,關西鎮,阿化窩溪源流,307,24.77865056161526,121.22848644853548,
春蜓科,鉤紋春蜓,77332,12:20:00,2021-04-26,skink,新北市,深坑區,清涼山北德寺,288,24.993361076999378,121.61797642707825,
春蜓科,鉤紋春蜓,77171,13:09:00,2021-04-22,skink,台北市,文山區,小坑溪,105,24.982829368184813,121.58337593078613,
春蜓科,鉤紋春蜓,77152,12:17:00,2021-04-21,skink,台北市,文山區,小坑溪,105,24.982829368184813,121.58337593078613,
春蜓科,鉤紋春蜓,78064,08:14:00,2021-04-21,skink,新竹縣,關西鎮,錦山里石牛坑溪登山口,311,24.784942288562245,121.2491512298584,
春蜓科,鉤紋春蜓,78182,10:21:00,2021-04-21,skink,新竹縣,關西鎮,阿化窩溪源流,307,24.77865056161526,121.22848644853548,
春蜓科,鉤紋春蜓,78255,09:00:00,2021-04-21,skink,新竹縣,關西鎮,四寮溪溪流生態戶外教室,209,24.7911882770514,121.20477139949799,
春蜓科,鉤紋春蜓,77833,09:37:00,2021-04-10,skink,新竹縣,關西鎮,七寮,246,24.79114769337063,121.21830761421734,
春蜓科,鉤紋春蜓,77660,09:30:00,2021-04-03,skink,新竹縣,關西鎮,四寮溪溪流生態戶外教室,209,24.7911882770514,121.20477139949799,
春蜓科,鉤紋春蜓,76155,10:52:00,2021-03-25,天空遊民,新竹縣,關西鎮,四寮溪生態教室,214,24.78936443221541,121.20939016342163,
春蜓科,鉤紋春蜓,76266,08:40:00,2021-03-19,skink,新竹縣,關西鎮,四寮溪溪流生態戶外教室,209,24.7911882770514,121.20477139949799,
春蜓科,鉤紋春蜓,73744,10:09:00,2020-09-05,skink,新竹縣,關西鎮,壽桃橋,218,24.769766385811515,121.22445240617708,
春蜓科,鉤紋春蜓,67467,09:48:00,2020-08-04,天空遊民,新竹縣,關西鎮,石牛山溪,328,24.78132,121.24476,
春蜓科,鉤紋春蜓,65370,09:53:00,2020-07-02,chiuchu29,台北市,北投區,半嶺水圳步道,286,25.142919691653603,121.53743505477905,
春蜓科,鉤紋春蜓,64590,09:44:00,2020-06-20,chiuchu29,台北市,士林區,魚路古道,431,25.176087500166407,121.58443808555602,
春蜓科,鉤紋春蜓,70418,08:27:00,2020-06-19,skink,新竹縣,關西鎮,錦山里石牛坑溪登山口,311,24.784942288562245,121.2491512298584,
春蜓科,鉤紋春蜓,70518,13:30:00,2020-06-19,skink,新竹縣,關西鎮,錦山里錦發橋,241,24.775513050757304,121.23855113983154,
春蜓科,鉤紋春蜓,70834,11:01:00,2020-06-19,skink,新竹縣,關西鎮,阿化窩溪源流,307,24.77865056161526,121.22848644853548,
春蜓科,鉤紋春蜓,64298,13:25:00,2020-06-14,chiuchu29,台北市,士林區,登峰圳,423,25.137098979133572,121.58899784088135,
春蜓科,鉤紋春蜓,64251,10:49:00,2020-06-13,天空遊民,新竹縣,關西鎮,石牛山溪,328,24.78132,121.24476,
春蜓科,鉤紋春蜓,64229,12:15:00,2020-06-12,chiuchu29,台北市,北投區,頂湖,746,25.180165483590645,121.54028892517091,
