Species Family,Species,ID,Date,Time,User,City,District,Place,Altitude,Latitude,Longitude,Description
絲蟌科,長痣絲蟌,66340,09:00:00,2020-07-14,chuntinglu,南投縣,魚池鄉,蓮華池藥用植物園,714,23.922894399151897,120.89278221130371,
絲蟌科,長痣絲蟌,66358,10:32:00,2020-07-14,chuntinglu,南投縣,魚池鄉,蓮華池,728,23.919079364124045,120.8832013607025,
絲蟌科,長痣絲蟌,65415,09:20:00,2020-07-04,Leo,南投縣,魚池鄉,蓮華池藥用植物標本園,696,23.92400260157388,120.8905827999115,
絲蟌科,長痣絲蟌,65430,14:00:00,2020-07-04,ysc3679,南投縣,水里鄉,水里木球場,374,23.804124440095773,120.8634603023529,
絲蟌科,長痣絲蟌,64651,12:20:00,2020-06-30,Leo,南投縣,埔里鎮,種瓜坑叉路草澤,730,23.925650176977054,120.88657021522522,
絲蟌科,長痣絲蟌,66235,07:00:00,2020-06-28,lyajhoo,屏東縣,滿州鄉,高士草澤,365,22.140621064469727,120.85416376590727,
絲蟌科,長痣絲蟌,64992,15:00:00,2020-06-27,Leo,屏東縣,滿州鄉,高士草澤,365,22.142057056179222,120.85546731948853,
絲蟌科,長痣絲蟌,66224,08:30:00,2020-06-27,lyajhoo,台東縣,達仁鄉,安朔國小附近,41,22.29207454638233,120.86501598358154,
絲蟌科,長痣絲蟌,66211,08:46:00,2020-06-26,lyajhoo,屏東縣,滿州鄉,高士草澤,365,22.140621064469727,120.85415840148924,
絲蟌科,長痣絲蟌,66212,08:46:00,2020-06-26,lyajhoo,屏東縣,滿州鄉,高士草澤,365,22.140621064469727,120.85415840148924,
絲蟌科,長痣絲蟌,64771,16:30:00,2020-06-25,Leo,屏東縣,滿州鄉,高士草澤,365,22.142057056179222,120.85546731948853,
絲蟌科,長痣絲蟌,64772,15:00:00,2020-06-25,Leo,屏東縣,滿州鄉,南仁山生態保護區,397,22.07618836602858,120.84828027756885,
絲蟌科,長痣絲蟌,64183,09:00:00,2020-06-11,chuntinglu,南投縣,魚池鄉,蓮華池藥用植物園,698,23.92314938462221,120.89192390441895,
絲蟌科,長痣絲蟌,64200,10:35:00,2020-06-11,chuntinglu,南投縣,魚池鄉,蓮華池,756,23.918951867434487,120.8814525604248,
絲蟌科,長痣絲蟌,63867,08:35:00,2020-06-06,Leo,南投縣,魚池鄉,擅腳巷,637,23.900492942271054,120.91184735298155,
絲蟌科,長痣絲蟌,63850,17:00:00,2020-06-05,Leo,南投縣,水里鄉,水里木球場,377,23.804575981777887,120.86305260658264,
絲蟌科,長痣絲蟌,63428,10:30:00,2020-05-31,Leo,屏東縣,獅子鄉,內文三號橋,319,22.223541704520123,120.8564919233322,
絲蟌科,長痣絲蟌,63524,10:39:00,2020-05-26,skink,屏東縣,牡丹鄉,普力姆部落(中興部落),235,22.12945529213702,120.79294344777202,
絲蟌科,長痣絲蟌,63484,10:40:00,2020-05-25,skink,屏東縣,滿州鄉,港仔山草澤,365,22.142315433755794,120.85583209991455,
絲蟌科,長痣絲蟌,63504,17:02:00,2020-05-25,skink,屏東縣,牡丹鄉,普力姆部落(中興部落),235,22.12945529213702,120.79294344777202,
絲蟌科,長痣絲蟌,63354,11:10:00,2020-05-24,skink,屏東縣,滿州鄉,港仔山草澤,365,22.142315433755794,120.85583209991455,
絲蟌科,長痣絲蟌,63378,15:50:00,2020-05-24,skink,屏東縣,牡丹鄉,普力姆部落(中興部落),235,22.12945529213702,120.79294344777202,
絲蟌科,長痣絲蟌,63289,12:00:00,2020-05-23,Leo,南投縣,魚池鄉,擅腳巷,637,23.900492942271054,120.91184735298155,
絲蟌科,長痣絲蟌,63055,09:00:00,2020-05-14,chuntinglu,南投縣,魚池鄉,蓮華池藥用植物園,698,23.923110156121073,120.89192390441895,
絲蟌科,長痣絲蟌,63073,10:45:00,2020-05-14,chuntinglu,南投縣,魚池鄉,蓮華池,727,23.91894205999161,120.8830189704895,
絲蟌科,長痣絲蟌,63082,12:00:00,2020-05-14,macintosh,南投縣,魚池鄉,蓮華池,660,23.918162365900855,120.88559925556183,
絲蟌科,長痣絲蟌,62843,14:00:00,2020-05-06,rswu,屏東縣,滿州鄉,高士草澤,369,22.141142793255156,120.85390090942383,
絲蟌科,長痣絲蟌,65535,15:09:00,2020-05-02,lyajhoo,南投縣,魚池鄉,蓮華池,727,23.918888119042517,120.88278293609619,
絲蟌科,長痣絲蟌,61920,14:00:00,2020-04-15,Leo,南投縣,魚池鄉,肖楠林步道,702,23.921599849767915,120.8916664123535,
絲蟌科,長痣絲蟌,61772,09:00:00,2020-04-10,chuntinglu,南投縣,魚池鄉,蓮華池藥用植物園,699,23.923227841588712,120.89205265045166,
絲蟌科,長痣絲蟌,61784,11:05:00,2020-04-10,chuntinglu,南投縣,魚池鄉,蓮華池,715,23.91910878641915,120.88342666625977,
絲蟌科,長痣絲蟌,61692,11:00:00,2020-04-07,macintosh,南投縣,魚池鄉,蓮華池,660,23.918162365900855,120.88559925556183,
絲蟌科,長痣絲蟌,61472,10:00:00,2020-03-29,chuntinglu,南投縣,埔里鎮,廣成里,549,24.018204216946327,120.9433364868164,
絲蟌科,長痣絲蟌,61288,12:30:00,2020-03-24,Leo,南投縣,魚池鄉,蓮華池木屋教室,760,23.919579542229428,120.88106632232666,
絲蟌科,長痣絲蟌,61359,15:30:00,2020-03-22,skink,台東縣,東河鄉,東富公路登仙橋遊憩區,84,22.98907397070471,121.29516184329987,
絲蟌科,長痣絲蟌,61197,09:45:00,2020-03-17,chuntinglu,南投縣,魚池鄉,蓮華池,700,23.92369858238692,120.89239597320555,
絲蟌科,長痣絲蟌,61202,12:00:00,2020-03-17,chuntinglu,南投縣,魚池鄉,蓮華池,727,23.918932252548004,120.88308334350585,
絲蟌科,長痣絲蟌,61130,14:00:00,2020-03-16,Leo,南投縣,魚池鄉,猴龍溪(巨竹林),681,23.92250211282997,120.88696718215942,
絲蟌科,長痣絲蟌,61053,15:00:00,2020-03-12,Leo,南投縣,魚池鄉,猴龍溪(巨竹林),681,23.92250211282997,120.88696718215942,
絲蟌科,長痣絲蟌,60851,13:20:00,2020-03-02,Leo,南投縣,魚池鄉,蓮華池木屋教室,760,23.919579542229428,120.88106632232666,
絲蟌科,長痣絲蟌,57748,10:00:00,2019-10-22,chuntinglu,南投縣,埔里鎮,廣成里,553,24.017724021318728,120.94385147094727,
絲蟌科,長痣絲蟌,53728,11:30:00,2019-09-08,Leo,南投縣,魚池鄉,蓮華池藥用植物標本園,696,23.92400260157388,120.8905827999115,
絲蟌科,長痣絲蟌,53588,10:00:00,2019-08-30,jerry9207,南投縣,埔里鎮,草湳濕地,591,23.94674316849432,120.91303825378418,
絲蟌科,長痣絲蟌,53160,12:35:00,2019-08-28,Leo,南投縣,埔里鎮,種瓜坑叉路草澤,730,23.925650176977054,120.88657021522522,
絲蟌科,長痣絲蟌,52867,12:40:00,2019-08-22,Leo,南投縣,埔里鎮,種瓜坑叉路草澤,730,23.925650176977054,120.88657021522522,
絲蟌科,長痣絲蟌,52443,12:00:00,2019-08-09,neo,屏東縣,牡丹鄉,高士草澤,376,22.14209,120.85597,
絲蟌科,長痣絲蟌,51945,16:45:00,2019-07-30,Leo,南投縣,埔里鎮,種瓜坑叉路草澤,730,23.925650176977054,120.88657021522522,
絲蟌科,長痣絲蟌,57747,10:00:00,2019-07-23,chuntinglu,南投縣,埔里鎮,廣成里,553,24.017733821247425,120.94398021697998,
絲蟌科,長痣絲蟌,51705,12:10:00,2019-07-22,skink,屏東縣,滿州鄉,港仔山草澤,365,22.142315433755794,120.85583209991455,
絲蟌科,長痣絲蟌,51514,15:00:00,2019-07-21,Leo,南投縣,埔里鎮,種瓜坑叉路草澤,730,23.925650176977054,120.88657021522522,
絲蟌科,長痣絲蟌,51259,16:30:00,2019-07-14,Leo,南投縣,水里鄉,水里木球場,377,23.804575981777887,120.86305260658264,
絲蟌科,長痣絲蟌,51011,07:00:00,2019-07-09,Leo,南投縣,魚池鄉,擅腳巷,637,23.900492942271054,120.91184735298155,
絲蟌科,長痣絲蟌,51112,10:30:00,2019-07-06,王振芳,南投縣,魚池鄉,山楂腳巷,639,23.898943135724608,120.91063499450682,
絲蟌科,長痣絲蟌,50703,17:00:00,2019-07-01,Leo,南投縣,魚池鄉,擅腳巷,637,23.900492942271054,120.91184735298155,
絲蟌科,長痣絲蟌,57746,10:00:00,2019-06-29,chuntinglu,南投縣,埔里鎮,廣成里,553,24.01771422138929,120.9437656402588,
絲蟌科,長痣絲蟌,50089,12:40:00,2019-06-20,Leo,南投縣,埔里鎮,種瓜坑叉路草澤,730,23.925650176977054,120.88657021522522,
絲蟌科,長痣絲蟌,49906,14:05:00,2019-06-16,王振芳,屏東縣,牡丹鄉,東源水上草原,298,22.202742874588832,120.85480213165282,
絲蟌科,長痣絲蟌,49956,15:20:00,2019-06-08,Tyus Ma,南投縣,魚池鄉,蓮華池木屋教室,711,23.918909024664767,120.8834808529309,
絲蟌科,長痣絲蟌,49482,12:50:00,2019-06-06,Leo,南投縣,魚池鄉,蓮華池木屋教室,760,23.919579542229428,120.88106632232666,
絲蟌科,長痣絲蟌,48873,17:12:00,2019-05-24,王振芳,屏東縣,牡丹鄉,東源水上草原,298,22.202742874588832,120.85480213165282,
絲蟌科,長痣絲蟌,57745,10:00:00,2019-05-19,chuntinglu,南投縣,埔里鎮,廣成里,553,24.017694621528168,120.94393730163574,
絲蟌科,長痣絲蟌,48208,14:00:00,2019-05-13,Leo,南投縣,魚池鄉,蓮華池木屋教室,760,23.919579542229428,120.88106632232666,
絲蟌科,長痣絲蟌,47727,10:00:00,2019-05-02,Leo,南投縣,魚池鄉,蓮華池木屋教室,760,23.919579542229428,120.88106632232666,
絲蟌科,長痣絲蟌,47220,15:00:00,2019-04-22,macintosh,南投縣,魚池鄉,蓮華池,660,23.918162365900855,120.88559925556183,
