Species Family,Species,ID,Date,Time,User,City,District,Place,Altitude,Latitude,Longitude,Description,weather
蜻蜓科,白刃蜻蜓,77616,09:25:00,2021-05-06,samson711,台北市,文山區,動物園,50,24.995860158908414,121.58307552337646,
蜻蜓科,白刃蜻蜓,68602,10:59:00,2020-08-20,skink,連江縣,南竿鄉,下腰山,71,26.149452634005637,119.93108689785004,
蜻蜓科,白刃蜻蜓,68321,15:24:00,2020-08-16,skink,連江縣,南竿鄉,下腰山,71,26.149452634005637,119.93108689785004,
蜻蜓科,白刃蜻蜓,68333,15:52:00,2020-08-16,skink,連江縣,南竿鄉,志清發電廠水池,77,26.149221496661553,119.93030369281767,
蜻蜓科,白刃蜻蜓,66515,08:30:00,2020-07-17,thkai,新北市,貢寮區,下坪,332,24.982839093170483,121.9006758928299,
蜻蜓科,白刃蜻蜓,65527,08:36:00,2020-07-07,thkai,新北市,貢寮區,下坪,332,24.982839093170483,121.9006758928299,
蜻蜓科,白刃蜻蜓,65611,14:09:00,2020-07-05,skink,連江縣,南竿鄉,下腰山,71,26.149452634005637,119.93108689785004,
蜻蜓科,白刃蜻蜓,64645,08:41:00,2020-06-17,skink,連江縣,南竿鄉,下腰山,71,26.149452634005637,119.93108689785004,
蜻蜓科,白刃蜻蜓,64694,09:03:00,2020-06-17,skink,連江縣,南竿鄉,志清坑道旁水池,77,26.149221496661553,119.93030369281767,
蜻蜓科,白刃蜻蜓,64371,11:10:00,2020-06-15,skink,連江縣,南竿鄉,下腰山,71,26.149452634005637,119.93108689785004,
蜻蜓科,白刃蜻蜓,52821,10:20:00,2019-08-17,Tyus Ma,新北市,萬里區,二坪,302,25.17118706431201,121.64525985717773,
蜻蜓科,白刃蜻蜓,52822,10:00:00,2019-08-17,Leo,新北市,萬里區,二坪,296,25.171385513033666,121.64617449045181,
蜻蜓科,白刃蜻蜓,51585,14:20:00,2019-07-23,Tyus Ma,新北市,石門區,尖山湖,194,25.24643601865587,121.56269073486328,
蜻蜓科,白刃蜻蜓,51304,10:27:00,2019-07-14,skink,新北市,石門區,山溪里15鄰尖山湖16號下面梯田,226,25.243744938473196,121.56425714492796,
蜻蜓科,白刃蜻蜓,50357,11:03:00,2019-06-25,skink,新北市,萬里區,麻斯廩,203,25.182874354295016,121.64602160453796,
