Species Family,Species,ID,Date,Time,User,City,Dictrict,Place,Altitude,Latitude,Longitude,Description
蜻蜓科,纖腰蜻蜓,67485,12:23:00,2020-08-04,skink,台北市,南港區,仁福里福德街池塘,25,25.04011629364323,121.59005845199908,
蜻蜓科,纖腰蜻蜓,67169,18:12:00,2020-07-30,skink,台北市,文山區,臺北市立動物園保育區停車場,53,24.996867799640658,121.58813148736954,
蜻蜓科,纖腰蜻蜓,67169,18:12:00,2020-07-30,skink,台北市,文山區,臺北市立動物園保育區停車場,53,24.996867799640658,121.58813148736954,
蜻蜓科,纖腰蜻蜓,66972,13:00:00,2020-07-27,趙偉凱,台北市,文山區,臺北市立動物園亞洲熱帶雨林區,40,24.995087102034265,121.58341884613037,
蜻蜓科,纖腰蜻蜓,66959,17:48:00,2020-07-26,skink,宜蘭縣,員山鄉,望龍埤,99,24.77633131878555,121.69886112213135,
蜻蜓科,纖腰蜻蜓,66694,18:00:00,2020-07-20,chenjn,台北市,大安區,大安森林公園,14,25.031046112747134,121.53646945953369,
蜻蜓科,纖腰蜻蜓,66780,17:00:00,2020-07-17,neo,金門縣,金寧鄉,金門乳山遊客中心,43,24.436679011140914,118.35326671600342,
蜻蜓科,纖腰蜻蜓,65889,18:00:00,2020-07-10,skink,台北市,文山區,臺北市立動物園水生植物園區,49,24.995076162515293,121.5844152867794,
蜻蜓科,纖腰蜻蜓,65430,14:00:00,2020-07-04,ysc3679,南投縣,水里鄉,水里木球場,374,23.804124440095773,120.8634603023529,
蜻蜓科,纖腰蜻蜓,65073,17:43:00,2020-06-28,skink,宜蘭縣,員山鄉,望龍埤,99,24.77633131878555,121.69886112213135,
蜻蜓科,纖腰蜻蜓,66490,17:39:00,2020-06-22,lyajhoo,台中市,豐原區,情人谷,325,24.225326132407687,120.75728965536653,
蜻蜓科,纖腰蜻蜓,66489,17:28:00,2020-06-21,lyajhoo,台中市,豐原區,情人谷,325,24.225326132407687,120.75728965536653,
蜻蜓科,纖腰蜻蜓,64823,18:15:00,2020-06-17,skink,宜蘭縣,冬山鄉,安平坑林道入口,93,24.614974905296464,121.77780926227568,
蜻蜓科,纖腰蜻蜓,64259,18:27:00,2020-06-13,chiuchu29,台北市,士林區,至德園,33,25.09883737924959,121.54639899730681,
蜻蜓科,纖腰蜻蜓,64067,16:29:00,2020-06-09,skink,台北市,文山區,臺北市立動物園昆蟲館,65,24.993724516679826,121.58088952302933,
蜻蜓科,纖腰蜻蜓,63850,17:00:00,2020-06-05,Leo,南投縣,水里鄉,水里木球場,377,23.804575981777887,120.86305260658264,
蜻蜓科,纖腰蜻蜓,63852,17:23:00,2020-06-05,skink,台北市,文山區,臺北市立動物園昆蟲館,65,24.993724516679826,121.58088952302933,
蜻蜓科,纖腰蜻蜓,63388,10:00:00,2020-05-30,Leo,台南市,新化區,崎埤,36,23.039604870100977,120.33639862434937,
